"character","frequencyTot","frequencyRet"
"e",12443,0.125697026022305
"a",12393,0.125191934701794
"o",10391,0.104968078228544
"s",7663,0.0774102957814773
"r",6407,0.0647224018102473
"i",6244,0.0630758041053823
"d",5874,0.0593381283336027
"n",5225,0.0527820429933732
"m",4849,0.0489837562631324
"t",4699,0.0474684823016001
"u",3775,0.0381343946985615
"c",3420,0.0345482463229352
"l",2856,0.0288508162275739
"p",2624,0.0265071925004041
"v",1279,0.0129202359786649
"g",1146,0.0115766930661064
"f",960,0.00969775335380637
"b",924,0.00933408760303863
"h",834,0.00842492322611928
"q",724,0.00731372232099564
"ã",645,0.00651567803458865
"ç",526,0.00531356069177307
"é",458,0.00462663649587845
"á",390,0.00393971229998384
"z",333,0.00336390819460158
"í",297,0.00300024244383385
"x",249,0.00251535477614353
"j",222,0.00224260546306772
"ó",195,0.00196985614999192
"ê",161,0.00162639405204461
"õ",150,0.00151527396153225
"k",121,0.00122232099563601
"ú",119,0.00120211734281558
"y",113,0.00114150638435429
"à",75,0.000757636980766123
"â",70,0.000707127848715048
"w",68,0.000686924195894618
"ô",51,0.000515193146920963
