"character","frequencyTot","frequencyRet"
"о",10297,0.109020645844362
"е",8155,0.0863419798835363
"и",7644,0.0809317098994177
"а",7425,0.0786130227633669
"н",6429,0.0680677607199577
"т",5646,0.059777660137639
"с",4917,0.0520592906299629
"р",4808,0.0509052408681842
"в",4336,0.0459078877713076
"л",4290,0.045420857596612
"к",3131,0.0331498147167814
"м",3046,0.0322498676548438
"д",2928,0.0310005293806247
"п",2597,0.027496029645315
"у",2007,0.0212493382742192
"ы",1837,0.0194494441503441
"я",1832,0.0193965060878772
"г",1676,0.0177448385389095
"б",1558,0.0164955002646903
"з",1494,0.0158178930651138
"ь",1474,0.0156061408152462
"й",1201,0.0127157226045527
"ч",1200,0.0127051349920593
