"character","frequencyTot","frequencyRet"
"า",6573,0.0696026938879241
"น",5904,0.0625185310686603
"ร",4748,0.0502774365707993
"่",4363,0.0462006014655428
"อ",4257,0.0450781481638358
"ก",4094,0.0433521114829091
"เ",3978,0.0421237663602863
"ง",3779,0.0400165191240629
"ม",3153,0.0333876911347368
"ั",3015,0.0319263840060994
"้",2941,0.0311427845313228
"ี",2800,0.0296497098564107
"ล",2670,0.0282731161845059
"ย",2606,0.0275954085306451
"ว",2473,0.0261870473124656
"ด",2285,0.0241962810792494
"ท",2110,0.0223431742132238
"ิ",2079,0.0220149095683849
"ต",2064,0.0218560718370113
"ส",2034,0.0215383963742641
"ป",1677,0.0177580583675717
"บ",1669,0.0176733449108391
"ค",1626,0.0172180100809014
"ห",1617,0.0171227074420772
"ะ",1565,0.0165720699733153
"แ",1481,0.0156825786776229
"ใ",1266,0.0134059045279343
"ข",1263,0.0133741369816595
"จ",1211,0.0128234995128976
"์",1061,0.0112351221991613
"ไ",1051,0.0111292303782456
"พ",986,0.0104409335422932
"ื",954,0.0101020797153628
"ช",921,0.0097526367063408
"็",849,0.00899021559574738
"ู",780,0.00825956203142869
"ุ",765,0.00810072430005506
"โ",757,0.00801601084332246
"ำ",648,0.00686178999534076
"ึ",508,0.00537930450252023
"ซ",443,0.00469100766656783
"ถ",422,0.00446863484264475
"ผ",355,0.00375915964250921
"ศ",349,0.00369562454995976
"ธ",339,0.00358973272904401
"ภ",259,0.00274259816171799
"ษ",257,0.00272141979753484
"ญ",235,0.00248845779152018
"ณ",230,0.00243551188106231
"ฟ",208,0.00220254987504765
