"character","frequency","frequencyRel"
"ا",10889,0.143868828200351
"ل",8410,0.111115515213973
"ي",6124,0.0809121777848243
"م",4618,0.0610144410532852
"ن",4409,0.0582530685586693
"و",3787,0.0500350126177547
"ر",3645,0.0481588647984462
"ت",3610,0.0476964339979125
"ب",2693,0.0355807470239275
"ع",2255,0.0297937558629619
"ة",2246,0.0296748450856818
"د",2244,0.0296484204685085
"س",1872,0.0247334416742637
"ك",1851,0.0244559831939435
"ف",1791,0.0236632446787427
"أ",1709,0.022579835374635
"ه",1619,0.0213907276018339
"ق",1581,0.0208886598755401
"ح",1276,0.0168589057566029
"ج",1034,0.0136615270786264
"ش",746,0.0098563822056628
"ط",686,0.00906364369046203
"ص",653,0.00862763750710162
"ى",648,0.00856157596416822
"خ",646,0.00853515134699486
"إ",606,0.00800665900352769
"ث",513,0.00677791430496651
"ً",495,0.00654009275040628
"ز",479,0.00632869581301941
"ذ",451,0.00595875117259239
"غ",447,0.00590590193824567
"ض",445,0.00587947732107231
"ئ",273,0.00360696024416346
"ٍ",237,0.00313131713504301
"ء",235,0.00310489251786965
"ظ",158,0.00208754475669534
"ٌ",114,0.00150620317888145
"آ",103,0.00136086778442797
"ؤ",66,0.000872012366720837
