"character","frequency","frequencyRel"
"e",11042,0.124964633718496
"t",8141,0.0921334072724392
"a",7572,0.0856939147361392
"i",6686,0.0756668666040448
"n",6466,0.0731770803861432
"o",6388,0.0722943379997963
"r",5751,0.0650852751779631
"s",5596,0.0633311076153507
"h",4400,0.0497957243580313
"l",3706,0.04194158056156
"d",3406,0.0385464175371487
"c",2896,0.0327746403956497
"u",2338,0.0264596371702448
"m",2153,0.0243659533051912
"p",1875,0.0212197689025701
"f",1863,0.0210839623815937
"g",1732,0.0196014078609341
"w",1566,0.0177227509874266
"b",1408,0.01593463179457
"y",1380,0.0156177499122916
"v",917,0.010377881644617
"k",568,0.00642817532621858
"x",155,0.00175416756261246
"j",152,0.00172021593236835
"z",95,0.00107513495773022
