character,frequency,frequencyRel
e,5643831,0.12460692942574554
t,4103641,0.09060195184363172
a,3742335,0.08262488250135368
o,3375826,0.07453293908616274
i,3258369,0.07193967289701571
n,3066905,0.06771244831577454
s,3015476,0.06657697672326288
r,2763390,0.061011313539652584
h,2458109,0.05427118825559978
l,1901745,0.041987544453539534
d,1798009,0.039697216406702346
c,1289678,0.028474065847814485
u,1244788,0.02748296511111246
m,1146977,0.025323451763873395
w,950891,0.020994180677730536
g,915485,0.020212471774106747
y,911236,0.020118660523711408
f,881907,0.019471122241093146
p,847612,0.0187139424735459
b,707604,0.015622785602434809
v,459566,0.010146495904727158
k,382707,0.00844956982938341
',182161,0.004021828944049394
x,79361,0.0017521663079841676
j,75828,0.0016741632136921595
z,44715,0.0009872370113974376
q,38117,0.0008415635281993992
’,5797,0.00012798866051819179
