"character","frequency","frequencyRel"
"a",11747,0.121726785695781
"i",10433,0.108110628685119
"t",9296,0.0963286115457551
"n",8552,0.0886190066630053
"e",7870,0.081551868853818
"s",7347,0.0761323482171539
"l",5511,0.0571070329419811
"o",5190,0.0537807114804721
"k",4756,0.0492834419655348
"u",4642,0.0481021315399521
"ä",4030,0.0417603597815612
"m",2968,0.0307555205537652
"r",2456,0.0254499860107976
"v",2274,0.0235640342787271
"h",1877,0.0194501725334964
"j",1838,0.0190460400194813
"p",1658,0.0171808130317192
"y",1613,0.0167145062847787
"d",951,0.0098546159186761
"ö",387,0.00401023802368838
"g",337,0.00349211941597671
"b",245,0.00253878117778722
"c",233,0.00241443271193642
"f",125,0.00129529651927919
