"character","frequency","frequencyRel"
"e",15161,0.151687360553882
"s",7753,0.0775695604758427
"n",7685,0.0768892134988844
"a",7676,0.0767991675754635
"i",7243,0.0724669581486558
"t",7157,0.0716065193248557
"r",6723,0.0672643047954457
"l",5933,0.0593602737396072
"o",5249,0.0525167835596154
"u",4921,0.0492351099060521
"d",3949,0.0395101501765901
"c",3223,0.0322464456873005
"p",2962,0.0296351139080931
"é",2795,0.0279642617735045
"m",2780,0.0278141852344696
"v",1365,0.0136569650521766
"g",1081,0.0108155159131157
"f",974,0.00974496993466668
"q",917,0.00917467908633403
"b",898,0.00898458213688981
"h",813,0.008134148415692
"à",564,0.00564287786771253
"è",416,0.00416212268256811
"x",370,0.00370188796286106
"y",337,0.00337171957698426
"j",294,0.00294150016508419
