character,frequencyTot,frequencyRet
ा,7226,0.08300595032968043
क,6404,0.07356353527695453
े,5786,0.06646449330300733
र,5693,0.06539619087003469
्,4736,0.05440301422105819
ि,3941,0.04527075148758242
न,3930,0.045144393135295335
स,3922,0.045052496151813816
ं,3189,0.0366324350403198
ी,3073,0.0352999287798378
म,2953,0.03392147402761504
त,2780,0.03193420175982723
ह,2668,0.030647643991085993
य,2455,0.028200886805890595
ो,2337,0.02684540629953822
ल,2293,0.026339972890389873
प,2218,0.02547843867025065
व,1816,0.020860615250304408
द,1495,0.017173248788108532
ज,1451,0.016667815378960185
ब,1305,0.014990695430422496
ग,1233,0.014163622579088842
ै,1132,0.013003423162634687
ु,1027,0.011797275254439772
ट,960,0.011027638017782067
ए,819,0.009407953683920325
श,777,0.00892549452064236
थ,719,0.00825924139040136
अ,702,0.008063960300503136
ू,690,0.00792611482528086
उ,619,0.0071105290968823944
च,607,0.006972683621660119
ड,607,0.006972683621660119
ष,496,0.005697612975854067
भ,464,0.005330025041927999
इ,458,0.005261102304316861
ध,456,0.005238128058446482
औ,455,0.005226640935511292
ख,381,0.004376593838307258
आ,374,0.00429618397776093
फ,324,0.0037218278310014474
ण,299,0.003434649757621706
ई,280,0.003216394421853103
़,244,0.002802857996186275
