character,frequencyTot,frequencyRet
a,18859,0.1874204961043091
n,10764,0.10697249165209095
e,8525,0.08472133884560343
i,8124,0.08073620607409764
r,5236,0.052035299729686756
t,5144,0.051121004929241536
u,4728,0.046986802353315316
k,4535,0.045068770869772616
m,4387,0.04359794879949117
s,4320,0.04293210367307998
d,4136,0.04110351407218954
g,3757,0.03733701701383368
l,3507,0.0348525202734934
p,2939,0.029207743679440294
b,2662,0.026454921291143265
h,2418,0.024030052472571155
o,2032,0.02019398950548577
y,2017,0.020044919701065353
j,822,0.00816902528223883
c,644,0.0064000636031165525
w,444,0.004412466210844331
f,301,0.002991334075369693
v,193,0.0019180314835426937
