"character","frequency","frequencyRel"
"a",8753,0.100311719269293
"r",7757,0.0888972930848747
"n",6810,0.0780444199958743
"i",6780,0.0777006119782713
"e",5368,0.0615187146164249
"s",4986,0.0571408925256137
"t",4514,0.0517316463819936
"u",4043,0.046333860505627
"l",3892,0.0446033601503587
"ð",3656,0.0418987370785487
"m",3382,0.0387586238511082
"g",3330,0.0381626899539297
"k",2726,0.0312406885328566
"f",2659,0.0304728506268766
"v",2032,0.0232872630589745
"o",1952,0.0223704416786999
"h",1703,0.0195168351325953
"í",1558,0.0178550963808476
"á",1552,0.017786334777327
"d",1503,0.0172247816819088
"þ",1042,0.0119415984780765
"j",987,0.0113112837791377
"b",920,0.0105434458731578
"y",892,0.0102225583900617
"ó",868,0.00994751197597928
"p",750,0.00859520044007426
"æ",737,0.00844621696577964
"ö",733,0.00840037589676591
"ú",479,0.0054894680143941
"é",279,0.00319741456370763
"ý",235,0.0026931628045566
"c",196,0.00224621238167274
