character,frequencyTot,frequencyRet
a,8753,0.10029907527300645
r,7758,0.08889754666605552
n,6810,0.07803458272697063
i,6782,0.07771373569079512
e,5369,0.061522419186652764
s,4986,0.0571336900846807
t,4515,0.05173658458329991
u,4043,0.04632802025919857
l,3893,0.044609196851115515
ð,3658,0.0419163735117854
m,3382,0.03875373844091258
g,3330,0.03815787965944379
k,2726,0.03123675073622936
f,2659,0.030469009613952262
v,2032,0.023284327768165098
o,1952,0.022367621950520805
h,1704,0.01952583391582349
í,1558,0.01785284579862265
á,1553,0.01779555168501988
d,1503,0.017222610548992198
þ,1042,0.011940093274816946
j,987,0.011309858025186493
b,920,0.010542116902909396
y,893,0.010232728689454445
ó,868,0.009946258121440604
p,750,0.008594117040415268
æ,737,0.00844515234504807
ö,733,0.008399317054165856
ú,479,0.005488776083145218
é,279,0.0031970115390344794
ý,235,0.0026928233393301174
c,196,0.0022459292532285235
