"character","frequency","frequencyRel"
"a",12357,0.12935745242133
"o",11496,0.120344199484957
"i",10380,0.108661516236417
"u",9525,0.0997110734250361
"n",8123,0.085034440885204
"t",6595,0.0690387957205368
"k",6512,0.0681699223248121
"e",6183,0.0647258338044093
"s",5357,0.0560789732638235
"r",4510,0.0472122772857651
"y",2716,0.0284320499131127
"m",2196,0.0229885057471264
"d",1928,0.0201829868308105
"g",1729,0.0180997843519042
"h",1494,0.015639721123045
"w",1471,0.0153989489772418
"z",1299,0.0135983920608002
"b",971,0.0101647718945627
"p",506,0.00529698720767121
