"character","frequency","frequencyRel"
"ー",2569,0.0570280589593323
"ン",2284,0.0507014739833067
"ス",1397,0.0310113656544131
"ル",1195,0.0265272598117563
"ト",962,0.0213549991120582
"リ",924,0.0205114544485882
"ア",905,0.0200896821168531
"ラ",831,0.018446989877464
"イ",773,0.0171594743384834
"ッ",757,0.0168042976380749
"ク",631,0.0140072811223584
"ィ",620,0.0137630971408276
"ド",581,0.012897353933582
"レ",488,0.0108328893624578
"テ",482,0.0106996980998047
"シ",474,0.0105221097496004
"フ",468,0.0103889184869473
"る",435,0.00965636654235482
"タ",434,0.00963416799857929
"マ",424,0.00941218256082401
"カ",405,0.00899041022908897
"ジ",403,0.00894601314153791
"ロ",392,0.0087018291600071
"コ",368,0.00816906410939442
"デ",367,0.0081468655656189
"プ",360,0.0079914757591902
"い",343,0.00761410051500622
"バ",340,0.00754750488367963
"し",332,0.0073699165334754
"り",320,0.00710353400816906
"ニ",318,0.00705913692061801
"ウ",318,0.00705913692061801
"っ",307,0.0068149529390872
"サ",304,0.00674835730776061
"オ",282,0.00625998934469899
"ブ",276,0.00612679808204582
"グ",267,0.00592701118806606
"ャ",265,0.00588261410051501
"ュ",264,0.00586041555673948
"ナ",259,0.00574942283786184
"チ",252,0.00559403303143314
"エ",247,0.0054830403125555
"ム",243,0.00539424613745338
"メ",235,0.00521665778724916
"ェ",232,0.00515006215592257
"か",226,0.0050168708932694
"キ",198,0.00439531166755461
"く",196,0.00435091458000355
"ョ",191,0.00423992186112591
"け",182,0.00404013496714616
"パ",179,0.00397353933581957
"セ",178,0.00395134079204404
"ガ",177,0.00392914224826851
"き",175,0.00388474516071746
"れ",171,0.00379595098561534
"ノ",171,0.00379595098561534
"ハ",170,0.00377375244183982
"ミ",169,0.00375155389806429
"ら",168,0.00372935535428876
"ベ",163,0.00361836263541112
"ま",161,0.00357396554786006
"ズ",158,0.00350736991653348
"ビ",157,0.00348517137275795
"モ",154,0.00341857574143136
"ネ",152,0.00337417865388031
"ポ",149,0.00330758302255372
"わ",141,0.00312999467234949
"ダ",141,0.00312999467234949
"ァ",138,0.00306339904102291
"た",137,0.00304120049724738
"え",136,0.00301900195347185
