"character","frequency","frequencyRel"
"이",1332,0.0334370920775178
"다",1305,0.0327593131840546
"는",1000,0.0251029219801185
"에",963,0.0241741138668541
"의",756,0.0189778090169696
"을",642,0.0161160759112361
"로",592,0.0148609298122301
"지",579,0.0145345918264886
"가",562,0.0141078421528266
"은",539,0.0135304749472839
"하",517,0.0129782106637213
"한",515,0.012928004819761
"고",495,0.0124259463801587
"그",463,0.0116226528767949
"를",422,0.01059343307561
"서",418,0.0104930213876895
"기",413,0.0103675067777889
"인",401,0.0100662717140275
"사",388,0.00973993372828597
"스",380,0.00953911035244502
"대",354,0.00888643438096194
"리",349,0.00876091977106135
"했",337,0.00845968470729993
"아",332,0.00833417009739934
"으",322,0.00808314087759815
"시",319,0.0080078321116578
"해",314,0.00788231750175721
"수",311,0.00780700873581685
"자",310,0.00778190581383673
"도",309,0.00775680289185661
"있",307,0.00770659704789638
"들",289,0.00725474445225424
"라",275,0.00690330354453258
"었",249,0.0062506275730495
"나",241,0.00604980419720855
"어",235,0.00589918666532784
"전",222,0.0055728486795863
"것",220,0.00552264283562607
"일",217,0.00544733406968571
"년",209,0.00524651069384476
"국",208,0.00522140777186465
"부",208,0.00522140777186465
"게",205,0.00514609900592429
"적",204,0.00512099608394417
"과",199,0.00499548147404358
"정",195,0.00489506978612311
"되",189,0.00474445225424239
"주",182,0.00456873180038156
"보",175,0.00439301134652074
"제",174,0.00436790842454062
"마",163,0.00409177628275931
"만",162,0.00406667336077919
"중",161,0.00404157043879908
"장",156,0.00391605582889848
"트",156,0.00391605582889848
"드",156,0.00391605582889848
"상",155,0.00389095290691837
"와",149,0.00374033537503765
"세",145,0.00363992368711718
"러",144,0.00361482076513706
"였",133,0.00333868862335576
"후",131,0.00328848277939552
"원",129,0.00323827693543528
"성",127,0.00318807109147505
"면",125,0.00313786524751481
"미",124,0.00311276232553469
"동",123,0.00308765940355457
"화",123,0.00308765940355457
"여",122,0.00306255648157446
"르",122,0.00306255648157446
"유",122,0.00306255648157446
"니",122,0.00306255648157446
"며",121,0.00303745355959434
"구",120,0.00301235063761422
"a",118,0.00296214479365398
"조",114,0.00286173310573351
"공",114,0.00286173310573351
"경",113,0.00283663018375339
"계",112,0.00281152726177327
"모",112,0.00281152726177327
"발",112,0.00281152726177327
"작",111,0.00278642433979315
"문",110,0.00276132141781303
"역",110,0.00276132141781303
"거",110,0.00276132141781303
"할",108,0.0027111155738528
"당",107,0.00268601265187268
"위",106,0.00266090972989256
"오",106,0.00266090972989256
"비",106,0.00266090972989256
"안",105,0.00263580680791244
"우",105,0.00263580680791244
"e",105,0.00263580680791244
"n",103,0.0025856009639522
"신",102,0.00256049804197209
"요",101,0.00253539511999197
"생",101,0.00253539511999197
"된",100,0.00251029219801185
"영",98,0.00246008635405161
"분",96,0.00240988051009137
"용",96,0.00240988051009137
"i",96,0.00240988051009137
"치",95,0.00238477758811126
"통",94,0.00235967466613114
"명",94,0.00235967466613114
"소",93,0.00233457174415102
"연",92,0.0023094688221709
"결",91,0.00228436590019078
"데",89,0.00223416005623055
"프",88,0.00220905713425043
"선",87,0.00218395421227031
"운",85,0.00213374836831007
"내",85,0.00213374836831007
"파",85,0.00213374836831007
"간",84,0.00210864544632995
"히",84,0.00210864544632995
"바",84,0.00210864544632995
"개",83,0.00208354252434983
"카",83,0.00208354252434983
"관",82,0.00205843960236972
"터",81,0.0020333366803896
"레",80,0.00200823375840948
"방",79,0.00198313083642936
"t",79,0.00198313083642936
"말",77,0.00193292499246912
"월",76,0.001907822070489
"o",76,0.001907822070489
"회",76,0.001907822070489
"진",75,0.00188271914850889
"반",74,0.00185761622652877
"않",72,0.00180741038256853
"r",71,0.00178230746058841
"야",70,0.00175720453860829
"두",69,0.00173210161662818
"물",69,0.00173210161662818
"민",69,0.00173210161662818
"s",69,0.00173210161662818
"식",68,0.00170699869464806
"학",68,0.00170699869464806
"실",68,0.00170699869464806
"때",67,0.00168189577266794
"타",67,0.00168189577266794
"크",67,0.00168189577266794
"교",66,0.00165679285068782
"무",66,0.00165679285068782
"노",64,0.00160658700672758
"행",64,0.00160658700672758
"남",63,0.00158148408474746
"디",63,0.00158148408474746
"력",63,0.00158148408474746
"각",62,0.00155638116276735
"재",61,0.00153127824078723
"람",61,0.00153127824078723
"최",61,0.00153127824078723
"더",60,0.00150617531880711
"았",60,0.00150617531880711
"포",60,0.00150617531880711
"차",59,0.00148107239682699
"표",59,0.00148107239682699
"던",59,0.00148107239682699
"산",59,0.00148107239682699
"호",58,0.00145596947484687
"c",58,0.00145596947484687
"및",57,0.00143086655286675
"없",56,0.00140576363088664
"건",55,0.00138066070890652
"금",54,0.0013555577869264
"투",54,0.0013555577869264
"법",54,0.0013555577869264
"출",53,0.00133045486494628
"코",53,0.00133045486494628
"또",52,0.00130535194296616
"녀",52,0.00130535194296616
"약",52,0.00130535194296616
"단",52,0.00130535194296616
"m",52,0.00130535194296616
"받",51,0.00128024902098604
"음",50,0.00125514609900592
"같",48,0.00120494025504569
"직",48,0.00120494025504569
"종",48,0.00120494025504569
"양",47,0.00117983733306557
"업",47,0.00117983733306557
"체",46,0.00115473441108545
"른",45,0.00112963148910533
"불",45,0.00112963148910533
"근",45,0.00112963148910533
"속",45,0.00112963148910533
"임",45,0.00112963148910533
"알",45,0.00112963148910533
"예",45,0.00112963148910533
"달",44,0.00110452856712521
"군",44,0.00110452856712521
"강",44,0.00110452856712521
"입",44,0.00110452856712521
"토",44,0.00110452856712521
"함",43,0.00107942564514509
"독",43,0.00107942564514509
"려",43,0.00107942564514509
"심",43,0.00107942564514509
"등",42,0.00105432272316498
"브",42,0.00105432272316498
"메",42,0.00105432272316498
"언",41,0.00102921980118486
"티",41,0.00102921980118486
"까",40,0.00100411687920474
"란",40,0.00100411687920474
"래",40,0.00100411687920474
"피",40,0.00100411687920474
"처",39,0.000979013957224621
"네",39,0.000979013957224621
"청",39,0.000979013957224621
"버",39,0.000979013957224621
"g",39,0.000979013957224621
"난",38,0.000953911035244502
"현",37,0.000928808113264384
"초",37,0.000928808113264384
"졌",37,0.000928808113264384
"권",37,0.000928808113264384
"b",37,0.000928808113264384
"든",36,0.000903705191284266
"향",36,0.000903705191284266
"번",36,0.000903705191284266
"왕",36,0.000903705191284266
"d",36,0.000903705191284266
"키",36,0.000903705191284266
"l",36,0.000903705191284266
"많",35,0.000878602269304147
"설",35,0.000878602269304147
"집",35,0.000878602269304147
"확",35,0.000878602269304147
"페",35,0.000878602269304147
"감",35,0.000878602269304147
"론",34,0.000853499347324029
"능",34,0.000853499347324029
"술",34,0.000853499347324029
"린",34,0.000853499347324029
"태",34,0.000853499347324029
"저",34,0.000853499347324029
"따",33,0.00082839642534391
"쟁",33,0.00082839642534391
"령",33,0.00082839642534391
"평",33,0.00082839642534391
"테",33,0.00082839642534391
"질",33,0.00082839642534391
"합",33,0.00082839642534391
"필",32,0.000803293503363792
"준",32,0.000803293503363792
"살",32,0.000803293503363792
"배",32,0.000803293503363792
"목",32,0.000803293503363792
"석",32,0.000803293503363792
"새",31,0.000778190581383673
"특",31,0.000778190581383673
"품",31,0.000778190581383673
"올",31,0.000778190581383673
"협",31,0.000778190581383673
"럼",30,0.000753087659403555
"추",30,0.000753087659403555
"항",29,0.000727984737423436
"케",29,0.000727984737423436
"록",29,0.000727984737423436
"막",28,0.000702881815443318
"런",28,0.000702881815443318
"랑",28,0.000702881815443318
"름",28,0.000702881815443318
"점",28,0.000702881815443318
"변",28,0.000702881815443318
"족",28,0.000702881815443318
"형",28,0.000702881815443318
"립",28,0.000702881815443318
"u",28,0.000702881815443318
"격",27,0.000677778893463199
"h",27,0.000677778893463199
"즈",27,0.000677778893463199
"증",27,0.000677778893463199
"돌",27,0.000677778893463199
"매",26,0.000652675971483081
"승",26,0.000652675971483081
"본",26,0.000652675971483081
"참",26,0.000652675971483081
"럽",25,0.000627573049502962
"온",25,0.000627573049502962
"열",25,0.000627573049502962
"턴",25,0.000627573049502962
"편",25,0.000627573049502962
"판",25,0.000627573049502962
"망",25,0.000627573049502962
"큰",24,0.000602470127522844
"될",24,0.000602470127522844
"습",24,0.000602470127522844
"북",24,0.000602470127522844
"침",24,0.000602470127522844
"복",24,0.000602470127522844
"철",24,0.000602470127522844
"플",24,0.000602470127522844
"몇",23,0.000577367205542725
"못",23,0.000577367205542725
"접",23,0.000577367205542725
"외",23,0.000577367205542725
"존",23,0.000577367205542725
"축",23,0.000577367205542725
"베",23,0.000577367205542725
"벌",23,0.000577367205542725
"누",22,0.000552264283562607
"련",22,0.000552264283562607
"겨",22,0.000552264283562607
"랜",22,0.000552264283562607
"퍼",22,0.000552264283562607
"글",22,0.000552264283562607
"절",22,0.000552264283562607
"루",22,0.000552264283562607
"울",22,0.000552264283562607
"류",22,0.000552264283562607
"움",21,0.000527161361582488
"곳",21,0.000527161361582488
"쪽",21,0.000527161361582488
"머",21,0.000527161361582488
"악",21,0.000527161361582488
"찰",20,0.00050205843960237
"친",20,0.00050205843960237
"났",20,0.00050205843960237
"탈",20,0.00050205843960237
"극",20,0.00050205843960237
"갈",20,0.00050205843960237
"k",20,0.00050205843960237
"y",20,0.00050205843960237
"날",19,0.000476955517622251
"책",19,0.000476955517622251
"곡",19,0.000476955517622251
"져",19,0.000476955517622251
"황",19,0.000476955517622251
"완",18,0.000451852595642133
"갖",18,0.000451852595642133
"견",18,0.000451852595642133
"v",18,0.000451852595642133
"험",18,0.000451852595642133
"병",18,0.000451852595642133
"애",18,0.000451852595642133
"슬",18,0.000451852595642133
"느",17,0.000426749673662014
"충",17,0.000426749673662014
"채",17,0.000426749673662014
"골",17,0.000426749673662014
"클",17,0.000426749673662014
"담",17,0.000426749673662014
"혼",17,0.000426749673662014
"량",17,0.000426749673662014
"급",17,0.000426749673662014
"p",17,0.000426749673662014
"활",16,0.000401646751681896
"왔",16,0.000401646751681896
"허",16,0.000401646751681896
"볼",15,0.000376543829701777
"환",15,0.000376543829701777
"측",15,0.000376543829701777
"f",15,0.000376543829701777
"너",15,0.000376543829701777
"냈",15,0.000376543829701777
"넘",15,0.000376543829701777
"천",15,0.000376543829701777
"렇",15,0.000376543829701777
"걸",15,0.000376543829701777
"덴",15,0.000376543829701777
"별",15,0.000376543829701777
"길",15,0.000376543829701777
"범",15,0.000376543829701777
"패",15,0.000376543829701777
"총",15,0.000376543829701777
"겠",15,0.000376543829701777
"워",15,0.000376543829701777
"캐",14,0.000351440907721659
"섬",14,0.000351440907721659
"색",14,0.000351440907721659
"락",14,0.000351440907721659
"탄",14,0.000351440907721659
"료",14,0.000351440907721659
"께",13,0.00032633798574154
"높",13,0.00032633798574154
"밝",13,0.00032633798574154
"례",13,0.00032633798574154
"폴",13,0.00032633798574154
"죽",13,0.00032633798574154
"블",13,0.00032633798574154
"찾",13,0.00032633798574154
"커",13,0.00032633798574154
"규",13,0.00032633798574154
"뉴",13,0.00032633798574154
"밀",13,0.00032633798574154
"광",13,0.00032633798574154
"취",13,0.00032633798574154
"렌",13,0.00032633798574154
"좋",12,0.000301235063761422
"홍",12,0.000301235063761422
"w",12,0.000301235063761422
"줄",12,0.000301235063761422
"헤",12,0.000301235063761422
"렸",12,0.000301235063761422
"착",12,0.000301235063761422
"송",12,0.000301235063761422
"슨",12,0.000301235063761422
