"character","frequency","frequencyRel"
"a",8280,0.0891031573510105
"i",7746,0.0833566493769236
"e",7233,0.0778361276714805
"o",7187,0.0773411101306416
"n",5554,0.059767987430859
"z",4781,0.0514495404945871
"r",4588,0.0493726190732411
"w",4314,0.046424036329983
"s",3910,0.0420764909713105
"y",3631,0.0390741019736134
"c",3616,0.0389126832102964
"t",3612,0.0388696382067452
"d",3102,0.0333814002539655
"k",2891,0.031110776316639
"p",2751,0.0296042011923466
"m",2601,0.0279900135591761
"j",2244,0.0241482469922304
"l",2169,0.0233411531756451
"u",2161,0.0232550631685427
"ł",1617,0.0174009426855778
"g",1334,0.0143555086843295
"b",1279,0.0137636398855003
"h",1104,0.0118804209801347
"ę",1024,0.0110195209091105
"ą",933,0.0100402470783204
"ó",876,0.0094268557777156
"ż",757,0.00814626692206702
"ś",559,0.00601553924628199
"f",344,0.0037018703054043
"ć",335,0.00360501904741407
"ń",185,0.00199083141424359
"v",83,0.000893183823687665
