character,frequency,frequencyRel
а,19071,0.13240623741616564
э,11243,0.07805795853756752
т,10965,0.07612785870002917
н,10513,0.07298971076273658
и,9589,0.06657455878473138
р,9453,0.0656303372814752
ы,8037,0.05579932515933738
о,6835,0.047454073343793826
у,6785,0.04710693308524376
л,6505,0.0451629476373634
б,5751,0.03992807253842843
к,5343,0.0370954080286599
с,5236,0.036352527875362764
д,3875,0.026903370037630003
х,3502,0.024313703708846522
ү,3191,0.02215449130066512
ө,2575,0.017877723315328324
һ,2384,0.01655164752766708
й,2262,0.01570462529680492
м,2084,0.014468805976366692
г,1953,0.013559298498965523
ҕ,1818,0.012622019800880348
п,1327,0.009213102461918714
ь,1198,0.008317480594859547
ҥ,952,0.006609550522793229
ч,866,0.006012469278087118
е,304,0.0021106127719843926
в,179,0.0012427621256092313
