"character","frequency","frequencyRel"
"e",13607,0.135940856186623
"a",11594,0.11582996153654
"o",8168,0.0816024776462361
"n",7301,0.0729407063289875
"s",7229,0.0722213896798042
"r",6631,0.0662470652879764
"i",6464,0.0645786502822319
"l",5636,0.0563065088166242
"d",5093,0.0508816624207003
"t",4638,0.0463359808182227
"c",4382,0.0437784105100155
"u",3801,0.0379739247714671
"m",2828,0.0282531594984764
"p",2561,0.0255856935910885
"b",1398,0.0139667316049753
"g",1204,0.012028572855787
"v",936,0.00935111643938259
"h",845,0.00844198011888706
"ó",842,0.00841200859183775
"y",795,0.00794245466806534
"f",763,0.00762275837953944
"q",653,0.00652380238773165
"í",556,0.00555472301313752
"j",434,0.00433588091313252
"á",415,0.00414606124182027
"z",335,0.00334682052050552
"é",290,0.00289724761476597
"ñ",182,0.00181827264099106
"x",175,0.00174833907787602
"k",134,0.00133872820820221
"ú",118,0.00117888006393926
"w",71,0.000709326140166841
