character,frequencyTot,frequencyRet
e,13974,0.13729343105853686
a,11773,0.11566878229942426
o,8218,0.08074119195928553
n,7343,0.07214438702324576
s,7284,0.0715647167475585
r,6709,0.06591538778958951
i,6509,0.063950403804209
l,6074,0.05967656363600637
d,5394,0.0529956180857126
t,4658,0.04576447701951229
c,4402,0.043249297518225226
u,3815,0.0374820695211334
m,2838,0.027883122752549568
p,2577,0.025318818651627988
b,1402,0.01377453773751744
g,1209,0.011878328191625239
v,945,0.009284549330922954
h,848,0.0083315320980134
ó,842,0.008272582578451985
y,795,0.007810811341887563
f,769,0.0075553634237880965
q,654,0.006425497632194297
í,556,0.005462655479357844
j,436,0.004283665088129531
á,421,0.004136291289225992
z,339,0.00333064785521998
é,301,0.0029573008979976814
ñ,182,0.0017881354266962724
x,176,0.0017291859071348569
k,134,0.0013165392702049479
ú,118,0.0011593405513745064
w,71,0.0006975693148100843
