"character","frequency","frequencyRel"
"e",9470,0.104763590503794
"a",8777,0.0970971524658716
"r",7707,0.0852600836338695
"n",7705,0.0852379582715667
"t",7677,0.0849282031993274
"s",5674,0.0627696528530655
"i",5402,0.0597606035798836
"l",4573,0.0505896409053698
"d",4349,0.0481116003274554
"o",3852,0.0426134477952076
"m",2983,0.0329999778746377
"k",2763,0.0305661880213288
"g",2501,0.027667765559661
"v",2121,0.0234639467221276
"f",1886,0.0208642166515477
"h",1849,0.0204548974489457
"p",1702,0.0188286833196894
"u",1648,0.0182312985375136
"ä",1598,0.0176781644799434
"ö",1360,0.0150452463659092
"å",1189,0.0131535278890192
"b",1136,0.0125672057879948
"c",1086,0.0120140717304246
"j",561,0.00620616412593756
"y",532,0.00588534637254685
