"character","frequencyTot","frequencyRet"
"า",6573,0.0694717483670493
"น",5904,0.0624009131840954
"ร",4748,0.0501828482042827
"่",4363,0.0461136829644661
"อ",4257,0.0449933413659712
"ก",4094,0.0432705519267762
"เ",3978,0.0420445177246496
"ง",3779,0.0399412349123808
"ม",3153,0.0333248779250428
"ั",3015,0.0318663199949268
"้",2941,0.0310841947280529
"ี",2800,0.0295939290168474
"ล",2670,0.0282199251696366
"ย",2606,0.0275434925063944
"ว",2473,0.0261377808780942
"ด",2285,0.0241507599298201
"ท",2110,0.0223011393662671
"ิ",2079,0.0219734922950092
"ต",2064,0.0218149533895618
"ส",2034,0.021497875578667
"ป",1677,0.017724649629019
"บ",1669,0.0176400955461137
"ค",1626,0.0171856173504978
"ห",1617,0.0170904940072294
"ะ",1565,0.0165408924683451
"แ",1481,0.0156530745978396
"ใ",1266,0.0133806836197603
"ข",1263,0.0133489758386708
"จ",1211,0.0127993742997865
"์",1061,0.0112139852453125
"ไ",1051,0.0111082926416809
"พ",986,0.0104212907180755
"ื",954,0.0100830743864544
"ช",921,0.00973428879447016
"็",849,0.00897330204832266
"ู",780,0.00824402308326463
"ุ",765,0.00808548417781724
"โ",757,0.00800093009491196
"ำ",648,0.00684888071532754
"ึ",508,0.00536918426448517
"ซ",443,0.00468218234087979
"ถ",422,0.00446022787325343
"ผ",355,0.00375208742892172
"ศ",349,0.00368867186674277
"ธ",339,0.00358297926311117
"ภ",259,0.00273743843405838
"ษ",257,0.00271629991333207
"ญ",235,0.00248377618534255
"ณ",230,0.00243092988352675
"ฟ",208,0.00219840615553724
"ฐ",145,0.00153254275265817
"ๆ",116,0.00122603420212654
