"character","frequency","frequencyRel"
"的",1375,0.0438554524287947
"在",449,0.0143207986476573
"了",392,0.0125027908015182
"一",366,0.0116735240646828
"是",324,0.0103339393359487
"他",282,0.00899435460721462
"人",281,0.00896245973272095
"有",242,0.00771855962746787
"年",238,0.00759098012949319
"和",222,0.00708066213759449
"為",212,0.0067617133926578
"國",206,0.00657034414569579
"這",201,0.00641086977322744
"中",200,0.00637897489873377
"個",197,0.00628329027525277
"大",185,0.00590055178132874
"a",175,0.00558160303639205
"們",172,0.00548591841291104
"不",164,0.00523075941696169
"斯",163,0.00519886454246803
"地",159,0.00507128504449335
"於",158,0.00503939016999968
"e",152,0.00484802092303767
"來",144,0.00459286192708832
"r",142,0.00452907217810098
"時",139,0.00443338755461997
"會",137,0.00436959780563263
"n",137,0.00436959780563263
"以",136,0.00433770293113897
"後",121,0.00385927981373393
"能",116,0.00369980544126559
"i",116,0.00369980544126559
"爾",113,0.00360412081778458
"上",110,0.00350843619430358
"到",109,0.00347654131980991
"發",108,0.00344464644531624
"之",107,0.00341275157082257
"對",106,0.0033808566963289
"多",106,0.0033808566963289
"作",104,0.00331706694734156
"o",104,0.00331706694734156
"被",103,0.00328517207284789
"其",103,0.00328517207284789
"但",102,0.00325327719835422
"我",101,0.00322138232386056
"可",101,0.00322138232386056
"成",97,0.00309380282588588
"生",95,0.00303001307689854
"法",95,0.00303001307689854
"出",94,0.00299811820240487
"用",93,0.0029662233279112
"部",92,0.00293432845341754
"公",91,0.00290243357892387
"最",91,0.00290243357892387
"要",89,0.00283864382993653
"特",89,0.00283864382993653
"自",87,0.00277485408094919
"s",87,0.00277485408094919
"t",86,0.00274295920645552
"前",85,0.00271106433196185
"行",83,0.00264727458297452
"利",83,0.00264727458297452
"月",81,0.00258348483398718
"說",79,0.00251969508499984
"家",79,0.00251969508499984
"區",76,0.00242401046151883
"世",75,0.00239211558702517
"分",75,0.00239211558702517
"c",75,0.00239211558702517
"拉",75,0.00239211558702517
"過",74,0.0023602207125315
"並",73,0.00232832583803783
"而",73,0.00232832583803783
"l",73,0.00232832583803783
"經",72,0.00229643096354416
"方",72,0.00229643096354416
"西",72,0.00229643096354416
"得",70,0.00223264121455682
"克",70,0.00223264121455682
"工",69,0.00220074634006315
"同",69,0.00220074634006315
"也",68,0.00216885146556948
"美",68,0.00216885146556948
"當",68,0.00216885146556948
"現",68,0.00216885146556948
"亞",68,0.00216885146556948
"她",67,0.00213695659107581
"就",67,0.00213695659107581
"所",67,0.00213695659107581
"開",67,0.00213695659107581
"因",67,0.00213695659107581
"學",67,0.00213695659107581
"海",65,0.00207316684208848
"德",64,0.00204127196759481
"很",63,0.00200937709310114
"代",63,0.00200937709310114
"加",63,0.00200937709310114
"及",62,0.00197748221860747
"間",62,0.00197748221860747
"如",62,0.00197748221860747
"下",61,0.0019455873441138
"戰",61,0.0019455873441138
"次",60,0.00191369246962013
"些",60,0.00191369246962013
"那",60,0.00191369246962013
"位",58,0.00184990272063279
