"character","frequency","frequencyRel"
"n",9752,0.113113879416336
"h",5151,0.0597466768738256
"i",5091,0.0590507342195003
"g",4906,0.0569049110353307
"u",3512,0.0407358433665066
"s",3188,0.0369777530331501
"à",3070,0.035609065812977
"l",2477,0.0287308325793955
"ì",2325,0.0269677778551047
"ā",2215,0.0256918829888417
"d",2159,0.0250423365114715
"y",2136,0.0247755584939801
"z",2007,0.0232792817871807
"o",1996,0.0231516923005544
"ī",1955,0.0226761314867655
"j",1921,0.0222817639826478
"ǎ",1896,0.021991787876679
"r",1775,0.0205883035237896
"á",1668,0.0193472057902429
"é",1610,0.0186744612243951
"b",1604,0.0186048669589626
"x",1499,0.0173869673138933
"è",1463,0.0169694017212982
"t",1449,0.0168070151019556
"c",1436,0.0166562275268518
"í",1420,0.0164706428190317
"ù",1387,0.0160878743591528
"m",1384,0.0160530772264365
"a",1028,0.0119238174774399
"f",1010,0.0117150346811423
"e",997,0.0115642471060385
"k",946,0.010972695849862
"ē",921,0.0106827197438931
"ǐ",912,0.0105783283457443
"ě",875,0.0101491637089104
"q",865,0.0100331732665228
"w",833,0.00966200385088269
"ò",788,0.00914004686013872
"ō",746,0.00865288700211103
"ó",685,0.00794534530354699
"ú",647,0.00750458162247431
"p",631,0.00731899691465423
"ǔ",581,0.0067390447027165
"ū",561,0.0065070638179414
"ǒ",465,0.00539355557102095
