"character","frequency","frequencyRel"
"斯",471,0.0178835858298212
"爾",318,0.0120742681398793
"人",250,0.00949234916657174
"拉",209,0.00793560390325398
"大",198,0.00751794053992482
"克",181,0.00687246079659794
"亞",165,0.00626495044993735
"特",158,0.00599916467327334
"德",152,0.00577134829327562
"利",151,0.00573337889660933
"尼",141,0.00535368492994646
"羅",130,0.00493602156661731
"西",130,0.00493602156661731
"不",122,0.00463226639328701
"里",122,0.00463226639328701
"卡",109,0.00413866423662528
"國",107,0.00406272544329271
"安",103,0.00391084785662756
"阿",98,0.00372100087329612
"加",94,0.00356912328663098
"法",93,0.00353115388996469
"者",92,0.0034931844932984
"會",88,0.00334130690663325
"地",88,0.00334130690663325
"海",87,0.00330333750996697
"新",83,0.00315145992330182
"格",83,0.00315145992330182
"部",81,0.00307552112996924
"有",80,0.00303755173330296
"家",80,0.00303755173330296
"多",78,0.00296161293997038
"布",78,0.00296161293997038
"奧",78,0.00296161293997038
"達",76,0.00288567414663781
"蘭",76,0.00288567414663781
"一",75,0.00284770474997152
"發",74,0.00280973535330524
"馬",74,0.00280973535330524
"分",73,0.00277176595663895
"巴",73,0.00277176595663895
"普",72,0.00273379655997266
"出",71,0.00269582716330637
"學",71,0.00269582716330637
"高",70,0.00265785776664009
"薩",69,0.0026198883699738
"生",65,0.00246801078330865
"性",65,0.00246801078330865
"來",64,0.00243004138664237
"州",64,0.00243004138664237
"到",63,0.00239207198997608
"行",63,0.00239207198997608
"動",63,0.00239207198997608
"力",63,0.00239207198997608
"區",62,0.00235410259330979
"塞",62,0.00235410259330979
"山",61,0.00231613319664351
"河",61,0.00231613319664351
"小",61,0.00231613319664351
"納",61,0.00231613319664351
"上",60,0.00227816379997722
"美",60,0.00227816379997722
"用",60,0.00227816379997722
"成",60,0.00227816379997722
"長",60,0.00227816379997722
"機",60,0.00227816379997722
"民",59,0.00224019440331093
"科",59,0.00224019440331093
"公",58,0.00220222500664464
"時",57,0.00216425560997836
"前",57,0.00216425560997836
"內",57,0.00216425560997836
"子",57,0.00216425560997836
"維",56,0.00212628621331207
