frequency,word,meanDuration,medianDuration,stDevDuration,n_characters
898,an,0.16379732739420935,0.15999999999999992,0.05380039820305098,2
107,dud,0.2392523364485981,0.2200000000000002,0.06473022295155047,3
1624,a,0.07632389162561576,0.07000000000000006,0.04244784871037149,1
2,chome,0.37,0.37,NA,5
696,da,0.14073275862068965,0.13,0.04951166264910059,2
58,labourat,0.5820689655172413,0.565,0.15446294758892323,8
150,evit,0.25753333333333334,0.25,0.06827634989699782,4
1,pennadoù,0.54,0.54,NA,8
17,hir,0.39411764705882346,0.3999999999999999,NA,3
107,pe,0.1441121495327103,0.1399999999999999,0.047562337863815855,2
2,hiroc'h,0.6199999999999997,0.6199999999999997,NA,7
23,teir,0.2752173913043478,0.25,0.07976497096398505,4
7,c'hiez,0.7471428571428572,0.77,NA,6
115,deuet,0.32991304347826084,0.32000000000000006,0.10579271069120418,5
1201,e,0.08432972522897586,0.07999999999999985,0.04601526403279428,1
206,oa,0.1742233009708738,0.16999999999999993,0.05630170157959487,2
118,amañ,0.4473728813559322,0.41999999999999993,0.20315220165204037,4
199,er,0.15055276381909546,0.1399999999999999,0.06207844483417571,2
12,sizhun,0.39833333333333326,0.4,NA,6
3,dremenet,0.59,0.6299999999999999,NA,8
484,ur,0.16669421487603303,0.16000000000000003,0.06018795171527639,2
2,gannerez,0.645,0.645,NA,8
4,trouzus,0.735,0.7349999999999999,NA,7
3,teul,0.25333333333333335,0.27000000000000013,NA,4
167,mañ,0.2916766467065868,0.25,0.1488253310096553,3
5,hepken,0.5320000000000001,0.5100000000000002,NA,6
320,bet,0.22750000000000004,0.20999999999999996,0.08683931039984716,3
79,eur,0.22468354430379742,0.20999999999999996,0.10771324041934599,3
8,teu,0.25625,0.25,NA,3
1,palefarzh,0.74,0.74,NA,9
1077,ar,0.1425162488393686,0.13000000000000012,0.05519887132524673,2
3,skoliad,0.6266666666666666,0.6499999999999999,NA,7
29,kentañ,0.44413793103448274,0.43999999999999995,0.07253163060640262,6
520,eus,0.2021153846153846,0.16999999999999993,0.09810019137115866,3
10,glas,0.492,0.4300000000000001,NA,4
955,eo,0.1717801047120419,0.15999999999999992,0.08274872817550778,2
1,goulen,0.3799999999999999,0.3799999999999999,NA,6
3,fulup,0.5033333333333333,0.41999999999999993,NA,5
109,am,0.13211009174311927,0.1299999999999999,0.05434923752396119,2
47,ouzh,0.19595744680851054,0.18999999999999972,0.04985455255772342,4
13,pellgomz,0.4776923076923077,0.5,NA,8
17,met,0.23588235294117652,0.21999999999999997,NA,3
259,petra,0.36185328185328186,0.32999999999999996,0.16959036859159382,5
6,diorren,0.6233333333333333,0.635,NA,7
2,padus,0.5299999999999999,0.5299999999999999,NA,5
54,dre,0.21777777777777782,0.20000000000000012,0.05794163187555655,3
7,just,0.46428571428571425,0.42999999999999994,NA,4
67,gallout,0.3971641791044776,0.37999999999999995,0.08229300883721888,7
91,rit,0.2213186813186813,0.21999999999999997,0.07708882021853886,3
25,kavout,0.3924,0.39999999999999997,0.0837297239137134,6
24,ac'hanoc'h,0.6050000000000001,0.6000000000000001,0.09169894030016876,10
120,peseurt,0.40275000000000005,0.3600000000000001,0.18289438794795518,7
49,deiz,0.3046938775510204,0.29000000000000004,0.10328161422409457,4
18,emaint,0.44555555555555554,0.43500000000000005,NA,6
13,zont,0.3246153846153846,0.31999999999999984,NA,4
25,d'ober,0.43839999999999996,0.43999999999999995,0.1380422640594781,6
276,un,0.17844202898550723,0.17000000000000004,0.06449327160011678,2
42,tamm,0.2542857142857142,0.24499999999999988,0.05717507802389363,4
19,tro,0.32157894736842113,0.33000000000000007,NA,3
4,diwallit,0.635,0.6050000000000002,NA,8
192,gant,0.21515625000000002,0.20000000000000018,0.05785861592859592,4
2,diri,0.4750000000000001,0.4750000000000001,NA,4
76,gwelet,0.4172368421052632,0.395,0.13011378286418415,6
160,vo,0.173,0.16000000000000014,0.054111461950915825,2
282,se,0.25641843971631206,0.25,0.08504306265499793,2
