frequency,word,meanDuration,medianDuration,stDevDuration,n_characters
50,zei,0.2722,0.27,0.057686344014110325,3
9,ruang,0.30333333333333323,0.31000000000000005,NA,5
449,ah,0.23091314031180402,0.2200000000000002,0.07962139222136358,2
65,dah,0.25015384615384617,0.2400000000000002,0.07438271614789593,3
35,bia,0.2899999999999999,0.27,0.08888194417315588,3
576,na,0.1469097222222222,0.14000000000000012,0.04738554733901844,2
3,el,0.22333333333333338,0.22999999999999998,NA,2
39,khawh,0.29025641025641025,0.29000000000000004,0.06888156041875067,5
22,lio,0.26318181818181813,0.26,0.07530170197509697,3
306,lo,0.2923856209150327,0.30000000000000004,0.08908567430476413,2
1,mihlen,0.6000000000000001,0.6000000000000001,NA,6
1827,a,0.0808264915161467,0.07999999999999985,0.036113578876993485,1
16,hman,0.31499999999999995,0.30499999999999994,NA,4
108,caah,0.47638888888888886,0.45499999999999996,0.10073058666732104,4
1,hohmanhnih,0.79,0.79,NA,10
488,an,0.16956967213114754,0.16000000000000014,0.05086539855661699,2
4,zum,0.25750000000000006,0.24,NA,3
100,ti,0.2409,0.2200000000000001,0.07684557517672974,2
2,faknak,0.635,0.635,NA,6
140,hi,0.28321428571428575,0.26,0.12575680456806132,2
15,sibawi,0.5493333333333333,0.5199999999999999,NA,6
260,nih,0.2758846153846154,0.2699999999999997,0.07557492736728,3
32,chim,0.341875,0.31999999999999995,0.06703092690161999,4
16,ning,0.28812499999999996,0.28500000000000014,NA,4
1,siloin,0.73,0.73,NA,6
10,dang,0.24699999999999994,0.24,NA,4
328,si,0.3679268292682927,0.3700000000000001,0.13184865575411256,2
121,ko,0.2911570247933884,0.2999999999999998,0.09210673231496731,2
11,rua,0.3127272727272727,0.2999999999999998,NA,3
16,tiah,0.31187500000000007,0.27500000000000013,NA,4
3,ruat,0.28000000000000014,0.27000000000000046,NA,4
196,maw,0.38882653061224487,0.3800000000000002,0.08991819935123418,3
1,ṭingtang,0.6399999999999999,0.6399999999999999,NA,8
8,hri,0.38875,0.33999999999999986,NA,3
169,kha,0.3131360946745562,0.30000000000000004,0.10299785798230644,3
1,rengh,0.31000000000000005,0.31000000000000005,NA,5
90,ahcun,0.509888888888889,0.4899999999999999,0.1329737191610267,5
60,ṭha,0.2876666666666667,0.27,0.08644321476282033,3
301,lai,0.32800664451827244,0.3200000000000003,0.10250209732343633,3
64,nan,0.22703125000000002,0.22999999999999998,0.05141427408186447,3
63,inn,0.23539682539682538,0.21999999999999997,0.08734110728641703,3
2,vang,0.4600000000000001,0.4600000000000001,NA,4
16,pe,0.246875,0.25,NA,2
9,zeizat,0.4844444444444444,0.4900000000000002,NA,6
7,nikhat,0.4685714285714285,0.46999999999999975,NA,6
15,tangka,0.43333333333333335,0.43000000000000005,NA,6
4,zakhat,0.46749999999999997,0.46499999999999997,NA,6
4,hlawh,0.32750000000000007,0.32999999999999996,NA,5
2,ṭhim,0.385,0.385,NA,4
5,sum,0.392,0.3999999999999999,NA,3
388,cu,0.3022164948453608,0.29000000000000004,0.10278918761989565,2
12,fawi,0.34,0.32500000000000007,NA,4
600,ka,0.12501666666666666,0.12000000000000005,0.032641110976269844,2
72,tuah,0.32583333333333336,0.32000000000000006,0.09857791656249797,4
6,hrimhrim,0.5133333333333333,0.5099999999999999,NA,8
38,naa,0.21394736842105266,0.21,0.051388266285277026,3
18,kam,0.29999999999999993,0.3,NA,3
39,nu,0.2643589743589743,0.26,0.0628613709428542,2
1,zapei,0.45999999999999974,0.45999999999999974,NA,5
9,pum,0.3088888888888888,0.29000000000000015,NA,3
138,mi,0.23528985507246375,0.2199999999999998,0.09157336836733386,2
48,te,0.239375,0.20999999999999996,0.07875105537962176,2
12,chiah,0.41083333333333344,0.41000000000000014,NA,5
45,rawl,0.3255555555555556,0.32999999999999996,0.06659086599784862,4
1,khop,0.30000000000000004,0.30000000000000004,NA,4
126,ngai,0.37246031746031744,0.3700000000000001,0.10335714011474204,4
58,kaa,0.22586206896551728,0.2100000000000002,0.05678628703872337,3
22,hmu,0.23363636363636375,0.2250000000000002,0.07587869106393279,3
2,thih,0.38500000000000006,0.38500000000000006,NA,4
6,thawng,0.35166666666666657,0.31999999999999995,NA,6
48,lung,0.33687500000000004,0.30999999999999994,0.10171207275776484,4
6,suk,0.28499999999999986,0.2799999999999998,NA,3
14,nizaan,0.5642857142857143,0.5449999999999999,NA,6
424,kan,0.21745283018867922,0.20999999999999996,0.09791018531865933,3
39,rian,0.34538461538461535,0.33000000000000007,0.09227664795106624,4
10,hrang,0.4469999999999999,0.415,NA,5
297,i,0.17053872053872055,0.1299999999999999,0.10814645045333086,1
1,ceer,0.4299999999999997,0.4299999999999997,NA,4
70,dih,0.2657142857142858,0.2549999999999999,0.08713759614842426,3
3,palhnak,0.5233333333333333,0.48,NA,7
13,tuahmi,0.4961538461538462,0.4800000000000001,NA,6
16,ruangah,0.458125,0.4450000000000002,NA,7
3,mawhchiat,0.5266666666666667,0.54,NA,9
18,keimah,0.4538888888888889,0.43500000000000005,NA,6
27,lawng,0.29,0.28,0.07098212125924061,5
3,nunnak,0.4599999999999999,0.4999999999999998,NA,6
2,thleng,0.30999999999999994,0.30999999999999994,NA,6
3,tuchan,0.49333333333333323,0.46999999999999975,NA,6
49,cun,0.31938775510204076,0.31999999999999984,0.09290246146867573,3
1,sarlam,0.5799999999999998,0.5799999999999998,NA,6
5,puai,0.40800000000000003,0.3799999999999999,NA,4
1,sawsawh,0.4299999999999997,0.4299999999999997,NA,7
9,zongah,0.498888888888889,0.48,NA,6
