 ,frequency,word,meanDuration,medianDuration,stDevDuration,n_characters
γιατί,116,γιατί,0.4142241379310346,0.4,0.12273088879523267,5
όχι,52,όχι,0.4603846153846154,0.485,0.1341635165402182,3
αν,108,αν,0.2049074074074074,0.21,0.07209152244313416,2
είναι,263,είναι,0.27809885931558936,0.26,0.09593750808056847,5
ανάγκη,18,ανάγκη,0.4783333333333333,0.45,NA,6
ο,827,ο,0.09602176541717049,0.09000000000000008,0.045077436846143196,1
βασιλιάς,186,βασιλιάς,0.7267204301075268,0.73,0.13872585180395514,8
σηκώθηκε,31,σηκώθηκε,0.7529032258064516,0.73,0.12124887761369439,8
μ',52,μ',0.13153846153846152,0.13000000000000012,0.03219941634988129,2
έναν,26,έναν,0.2876923076923077,0.29,0.06993183494276078,4
πήδο,6,πήδο,0.525,0.5049999999999999,NA,4
και,1665,και,0.15639039039039038,0.15000000000000002,0.035692044253370005,3
στάθηκε,5,στάθηκε,0.6199999999999999,0.63,NA,7
μπροστά,44,μπροστά,0.45,0.45000000000000007,0.09167688456088971,7
στο,433,στο,0.18461893764434179,0.17999999999999994,0.04668060616987856,3
γιο,20,γιο,0.2625,0.27,0.020487480130686245,3
του,1063,του,0.19522107243650047,0.16999999999999993,0.08774064593522939,3
φώναξε,103,φώναξε,0.5976699029126213,0.5799999999999998,0.11815745463272559,6
μια,154,μια,0.23980519480519485,0.22999999999999998,0.06722774461515302,3
θυμωμένη,2,θυμωμένη,0.6000000000000001,0.6000000000000001,NA,8
φωνή,48,φωνή,0.46937500000000004,0.4400000000000003,0.1110377786965875,4
που,446,που,0.16856502242152469,0.1599999999999997,0.0636048477826979,3
αξίζει,8,αξίζει,0.63875,0.6100000000000001,NA,6
πιότερο,2,πιότερο,0.6450000000000001,0.6450000000000001,NA,7
από,388,από,0.20226804123711337,0.18999999999999995,0.055795958188371526,3
κείνα,3,κείνα,0.4033333333333335,0.3500000000000001,NA,5
δεν,452,δεν,0.23904867256637172,0.2300000000000001,0.06773646155799763,3
έμαθες,3,έμαθες,0.6233333333333334,0.6699999999999999,NA,6
φύγανε,1,φύγανε,0.59,0.59,NA,6
τα,559,τα,0.13105545617173522,0.1299999999999999,0.036722276521706766,2
παλικάρια,3,παλικάρια,0.7399999999999999,0.7799999999999998,NA,9
πρόσθεσε,16,πρόσθεσε,0.680625,0.63,NA,8
πάλι,94,πάλι,0.36000000000000004,0.3400000000000001,0.09041124680252507,4
η,372,η,0.10524193548387094,0.09999999999999998,0.05518110896439379,1
βασίλισσα,21,βασίλισσα,0.7752380952380953,0.7600000000000002,0.13959294565339064,9
μας,157,μας,0.29050955414012736,0.25,0.11219714893278744,3
είπε,330,είπε,0.34454545454545454,0.3200000000000002,0.10225395732091097,4
το,1502,το,0.11882157123834887,0.11000000000000032,0.030067813441028633,2
μαγειριό,15,μαγειριό,0.6613333333333333,0.6499999999999995,NA,8
ήταν,176,ήταν,0.3097159090909091,0.29999999999999993,0.08349117303060229,4
σε,177,σε,0.1859322033898305,0.18999999999999995,0.047113932655119393,2
τάξη,1,τάξη,0.56,0.56,NA,4
όλες,13,όλες,0.38384615384615384,0.3599999999999999,NA,4
οι,146,οι,0.11164383561643838,0.10000000000000009,0.04509036745914116,2
γυναίκες,10,γυναίκες,0.666,0.6600000000000003,NA,8
φώναζαν,2,φώναζαν,0.4999999999999999,0.4999999999999999,NA,7
μαζί,59,μαζί,0.39152542372881355,0.3799999999999999,0.09145968698005574,4
τι,231,τι,0.1573160173160173,0.14,0.06791093690287144,2
κάνεις,20,κάνεις,0.4734999999999999,0.43499999999999994,0.14184034761141245,6
λοιπόν,59,λοιπόν,0.48881355932203396,0.48,0.10957731872286396,6
επανέλαβε,8,επανέλαβε,0.78125,0.7200000000000001,NA,9
πικρόχολη,11,πικρόχολη,0.9027272727272727,0.9199999999999999,NA,9
πού,93,πού,0.1854838709677419,0.16000000000000003,0.07924255731108482,3
να,1132,να,0.14042402826855124,0.13,0.05221695598157285,2
ακολουθήσει,2,ακολουθήσει,0.855,0.855,NA,11
θα,357,θα,0.16529411764705884,0.16000000000000003,0.044110882935967335,2
εννοήσεις,1,εννοήσεις,0.6500000000000001,0.6500000000000001,NA,9
τότε,39,τότε,0.37307692307692314,0.3700000000000001,0.10756035872583719,4
καλύτερα,4,καλύτερα,0.55,0.52,NA,8
αλλά,53,αλλά,0.28547169811320755,0.27,0.08502411508000471,4
είχε,146,είχε,0.28294520547945207,0.27,0.082730704038145,4
άλλο,38,άλλο,0.34078947368421053,0.32499999999999996,0.12529708650324628,4
κάνει,34,κάνει,0.37470588235294117,0.34499999999999975,0.11701425176389635,5
μπορούσε,18,μπορούσε,0.5094444444444445,0.44499999999999984,NA,8
ίσως,13,ίσως,0.4784615384615385,0.48999999999999977,NA,4
ξεμπερδέψει,1,ξεμπερδέψει,0.6600000000000001,0.6600000000000001,NA,11
νωρίτερα,6,νωρίτερα,0.6666666666666666,0.625,NA,8
με,546,με,0.15492673992673994,0.1499999999999999,0.047002773090103526,2
κεφάλι,65,κεφάλι,0.6067692307692307,0.5800000000000001,0.1260841446751396,6
έγνεψε,2,έγνεψε,0.5499999999999998,0.5499999999999998,NA,6
κουλός,54,κουλός,0.625,0.625,0.13214842998374907,6
κατά,25,κατά,0.25039999999999996,0.25,0.038565960811748665,4
τη,214,τη,0.12158878504672896,0.11000000000000021,0.03691506639781997,2
στεριά,4,στεριά,0.5824999999999999,0.5800000000000001,NA,6
πρέπει,48,πρέπει,0.3445833333333334,0.3299999999999999,0.06470747049289326,6
αυτή,35,αυτή,0.3482857142857143,0.34,0.10923492531037422,4
πάγει,10,πάγει,0.507,0.48,NA,5
στα,152,στα,0.1907236842105263,0.17999999999999994,0.044036438459127414,3
χέρια,53,χέρια,0.47962264150943407,0.45999999999999996,0.10032566709224326,5
βασιλόπουλου,13,βασιλόπουλου,0.8730769230769231,0.8900000000000001,NA,12
κοίταζε,13,κοίταζε,0.4869230769230769,0.45999999999999996,NA,7
κάτι,27,κάτι,0.36518518518518517,0.33999999999999986,0.09365938165544213,4
ένα,163,ένα,0.22920245398773006,0.20999999999999996,0.07614136945241344,3
φύλλο,2,φύλλο,0.43999999999999984,0.43999999999999984,NA,5
χαρτί,8,χαρτί,0.5175000000000001,0.55,NA,5
ποτάμι,49,ποτάμι,0.6261224489795919,0.6199999999999997,0.11479721843557107,6
φαρδύ,5,φαρδύ,0.434,0.40000000000000013,NA,5
δε,149,δε,0.18181208053691275,0.16999999999999993,0.06364018035625964,2
φθάνουν,6,φθάνουν,0.5933333333333332,0.6099999999999999,NA,7
βέλη,6,βέλη,0.3866666666666669,0.3650000000000002,NA,4
τους,239,τους,0.23748953974895395,0.20999999999999996,0.09439087612245915,4
χθες,13,χθες,0.5169230769230769,0.5,NA,4
βράδυ,10,βράδυ,0.5200000000000001,0.4900000000000001,NA,5
βρήκα,4,βρήκα,0.43999999999999995,0.43999999999999995,NA,5
γράμμα,15,γράμμα,0.4506666666666667,0.41000000000000014,NA,6
σπίτι,59,σπίτι,0.46593220338983055,0.46999999999999975,0.10780120023750929,5
λαγόκαρδου,9,λαγόκαρδου,0.7844444444444445,0.7599999999999998,NA,10
αυτό,63,αυτό,0.3842857142857143,0.3700000000000001,0.12566871817644437,4
λέγει,8,λέγει,0.44625,0.36999999999999966,NA,5
έφυγε,27,έφυγε,0.41444444444444434,0.3799999999999999,0.0943534000583132,5
γιος,24,γιος,0.30750000000000005,0.30000000000000016,0.050065174913610726,4
σου,272,σου,0.2538235294117647,0.22999999999999998,0.10438050477185468,3
προσδιορίζεται,1,προσδιορίζεται,0.8699999999999999,0.8699999999999999,NA,14
ακριβώς,1,ακριβώς,0.5100000000000002,0.5100000000000002,NA,7
συνημμένο,3,συνημμένο,0.6133333333333334,0.6200000000000001,NA,9
πίνακα,1,πίνακα,0.3899999999999997,0.3899999999999997,NA,6
συντεταγμένων,1,συντεταγμένων,1.06,1.06,NA,13
αποκρίθηκε,131,αποκρίθηκε,0.7916793893129771,0.78,0.1441535115063944,10
αδελφός,13,αδελφός,0.6092307692307694,0.6000000000000001,NA,7
της,278,της,0.26359712230215826,0.21999999999999997,0.11602630844604495,3
εξακολουθούσε,7,εξακολουθούσε,1.0385714285714285,1.0399999999999998,NA,13
κάθεται,8,κάθεται,0.47625000000000006,0.4750000000000001,NA,7
χάμω,12,χάμω,0.5475,0.5250000000000002,NA,4
λες,36,λες,0.3811111111111111,0.38,0.12686951176651154,3
ψέλλισε,2,ψέλλισε,0.7250000000000001,0.7250000000000001,NA,7
παρώνφώναξε,1,παρώνφώναξε,1.3699999999999999,1.3699999999999999,NA,11
αμαρτία,6,αμαρτία,0.6466666666666667,0.665,NA,7
κάνετε,9,κάνετε,0.4444444444444444,0.3899999999999997,NA,6
κλέφτης,5,κλέφτης,0.752,0.76,NA,7
πει,24,πει,0.23458333333333328,0.20999999999999996,0.0840796292687534,3
κι,203,κι,0.14842364532019703,0.1399999999999999,0.04744436901258453,2
έχει,80,έχει,0.31037499999999996,0.2649999999999999,0.1286683869389383,4
ταμείο,1,ταμείο,0.4099999999999997,0.4099999999999997,NA,6
παλατιού,4,παλατιού,0.6775,0.6599999999999999,NA,8
φώναξαν,4,φώναξαν,0.62,0.59,NA,7
άλλοι,11,άλλοι,0.34818181818181815,0.3400000000000001,NA,5
αρχικαγκελάριος,29,αρχικαγκελάριος,1.2237931034482759,1.21,0.1855188437310623,15
άνοιξε,31,άνοιξε,0.5329032258064516,0.48,0.1596912343323222,6
υπερηφάνεια,5,υπερηφάνεια,0.796,0.6600000000000001,NA,11
σακούλι,8,σακούλι,0.5275000000000001,0.525,NA,7
βασιλόπουλο,319,βασιλόπουλο,0.8171473354231975,0.8199999999999998,0.12294223313987175,11
δείχνοντας,12,δείχνοντας,0.6008333333333333,0.5800000000000001,NA,10
γέρο,6,γέρο,0.5183333333333332,0.5,NA,4
πατέρα,49,πατέρα,0.5555102040816327,0.54,0.13351125458941965,6
όταν,32,όταν,0.3421875,0.3500000000000001,0.08499466302030667,4
δουλεύεις,4,δουλεύεις,0.585,0.575,NA,9
χωρίς,57,χωρίς,0.4064912280701754,0.3900000000000001,0.1265686040407417,5
