 ,frequency,word,meanDuration,medianDuration,stDevDuration,n_characters
,33241,,0.45280486387292795,0.45999999999999996,0.35799492800421473,0
muidu,14,muidu,0.30785714285714283,0.29000000000000004,NA,5
tekib,23,tekib,0.3121739130434783,0.30999999999999994,0.03706123273239322,5
pärast,194,pärast,0.3587628865979382,0.33000000000000007,0.0783628584960219,6
moldovast,2,moldovast,0.565,0.565,NA,9
lahkudes,8,lahkudes,0.50625,0.4999999999999998,NA,8
lennujaamas,9,lennujaamas,0.6111111111111112,0.5699999999999998,NA,11
probleem,17,probleem,0.46529411764705886,0.4500000000000002,NA,8
esiteks,12,esiteks,0.5216666666666667,0.49500000000000005,NA,7
ei,1647,ei,0.10845173041894354,0.09999999999999964,0.04911080561375223,2
suudetud,6,suudetud,0.4316666666666668,0.43999999999999995,NA,8
sealt,25,sealt,0.29600000000000004,0.27999999999999936,0.10039920318408921,5
kohe,71,kohe,0.26746478873239443,0.26000000000000023,0.054300113087298436,4
tarnida,1,tarnida,0.45999999999999996,0.45999999999999996,NA,7
niipalju,4,niipalju,0.47999999999999987,0.48,NA,8
kui,1309,kui,0.15890756302521009,0.1499999999999999,0.04744131363284666,3
mahtus,3,mahtus,0.35666666666666685,0.3400000000000001,NA,6
meie,203,meie,0.2556650246305419,0.24,0.08075948667527291,4
turule,14,turule,0.39071428571428574,0.375,NA,6
enne,153,enne,0.24705882352941183,0.22999999999999998,0.07329662497416131,4
kontrasanktsioone,1,kontrasanktsioone,1.1099999999999994,1.1099999999999994,NA,17
pastoraadi,1,pastoraadi,0.56,0.56,NA,10
ehitusel,2,ehitusel,0.605,0.605,NA,8
läksid,10,läksid,0.3039999999999999,0.30499999999999994,NA,6
asjad,39,asjad,0.34948717948717944,0.32000000000000006,0.08758728153628528,5
siiski,121,siiski,0.4011570247933884,0.38000000000000034,0.08764305974648907,6
paremini,36,paremini,0.48777777777777787,0.45999999999999996,0.09994751709191935,8
normaalne,19,normaalne,0.6026315789473683,0.5999999999999999,NA,9
eesti,398,eesti,0.3377638190954774,0.3200000000000003,0.08411391233756216,5
mees,96,mees,0.330625,0.32999999999999974,0.07406096165772269,4
ühele,4,ühele,0.36250000000000004,0.38,NA,5
ega,104,ega,0.2065384615384615,0.20000000000000018,0.057341239535602016,3
teisele,10,teisele,0.46699999999999997,0.4299999999999999,NA,7
poole,85,poole,0.33647058823529413,0.32000000000000006,0.09375444626134605,5
kaldu,1,kaldu,0.41000000000000014,0.41000000000000014,NA,5
laupäeval,13,laupäeval,0.5907692307692307,0.5800000000000001,NA,9
kuulub,19,kuulub,0.3457894736842105,0.33999999999999986,NA,6
lava,10,lava,0.324,0.2749999999999999,NA,4
aga,667,aga,0.20410794602698648,0.19999999999999996,0.057703998701095556,3
meestele,5,meestele,0.52,0.5299999999999998,NA,8
ilmselt,37,ilmselt,0.4278378378378379,0.41000000000000003,0.11875787621413843,7
tuleb,222,tuleb,0.2726576576576577,0.2699999999999997,0.050068960641685555,5
üllatusi,3,üllatusi,0.5933333333333334,0.5999999999999996,NA,8
ja,3447,ja,0.11431969828836668,0.10999999999999988,0.044098090981622394,2
meeldejäävaid,2,meeldejäävaid,0.7600000000000002,0.7600000000000002,NA,13
elamusi,4,elamusi,0.4224999999999999,0.43500000000000005,NA,7
sealtki,2,sealtki,0.5149999999999997,0.5149999999999997,NA,7
korteris,8,korteris,0.6075,0.6000000000000002,NA,8
radiaatorit,2,radiaatorit,0.735,0.735,NA,11
välja,272,välja,0.310625,0.29000000000000004,0.08013760568914095,5
vahetada,7,vahetada,0.5528571428571428,0.56,NA,8
peab,118,peab,0.2244915254237288,0.2150000000000003,0.053466248780796574,4
see,863,see,0.20383545770567782,0.17999999999999994,0.08833338195335089,3
olema,116,olema,0.30396551724137927,0.29000000000000004,0.07040375321040611,5
täpselt,41,täpselt,0.4204878048780488,0.41999999999999993,0.0688919698500165,7
sama,75,sama,0.31213333333333326,0.2999999999999998,0.0705085022453951,4
võimsusega,2,võimsusega,0.73,0.73,NA,10
mis,587,mis,0.1989097103918228,0.18999999999999995,0.056591157781922176,3
eelmine,9,eelmine,0.3977777777777778,0.3600000000000001,NA,7
seejuures,14,seejuures,0.5592857142857143,0.5399999999999998,NA,9
võib,311,võib,0.20604501607717038,0.19999999999999996,0.051110980999169754,4
konkurentide,1,konkurentide,0.6699999999999997,0.6699999999999997,NA,12
juures,50,juures,0.34720000000000006,0.33000000000000007,0.07285712044817583,6
osutuda,3,osutuda,0.5000000000000003,0.5600000000000005,NA,7
hind,20,hind,0.29949999999999993,0.2950000000000004,0.07151748038067347,4
isegi,101,isegi,0.3157425742574257,0.30999999999999994,0.07170272147304123,5
soodsamaks,2,soodsamaks,0.7600000000000002,0.7600000000000002,NA,10
pikk,10,pikk,0.26399999999999996,0.25999999999999984,NA,4
tööpäev,3,tööpäev,0.4633333333333332,0.44999999999999996,NA,7
selja,13,selja,0.336923076923077,0.3200000000000003,NA,5
taga,42,taga,0.30523809523809525,0.28000000000000025,0.080836050869531,4
ole,301,ole,0.18501661129568106,0.17000000000000004,0.057792299575097475,3
ime,5,ime,0.30000000000000004,0.2999999999999998,NA,3
et,2009,et,0.16239920358387258,0.16000000000000014,0.046321295733065496,2
oled,62,oled,0.23677419354838716,0.22000000000000008,0.05833093003324384,4
väsinud,8,väsinud,0.5275000000000001,0.54,NA,7
võimalik,115,võimalik,0.44947826086956527,0.44000000000000006,0.0817615140489957,8
halvas,13,halvas,0.40076923076923077,0.3600000000000003,NA,6
tujus,3,tujus,0.4433333333333334,0.45999999999999996,NA,5
vahel,77,vahel,0.3248051948051948,0.3100000000000005,0.0736895980185187,5
on,3878,on,0.12831614234141311,0.11999999999999988,0.052308503893235075,2
vaja,95,vaja,0.26505263157894743,0.2599999999999998,0.060626096243337084,4
ümber,40,ümber,0.3067500000000001,0.2900000000000005,0.05582953967211258,5
otsustada,14,otsustada,0.5985714285714285,0.645,NA,9
uus,72,uus,0.25888888888888884,0.24,0.0663231892485484,3
valik,21,valik,0.34333333333333327,0.32999999999999996,0.08838947003290844,5
teha,161,teha,0.28732919254658384,0.2799999999999998,0.07645692786531956,4
mõned,39,mõned,0.29871794871794866,0.28000000000000025,0.06710800659860489,5
hotellid,1,hotellid,0.51,0.51,NA,8
majuta,1,majuta,0.34999999999999987,0.34999999999999987,NA,6
lemmikloomi,2,lemmikloomi,0.685,0.685,NA,11
üleüldse,5,üleüldse,0.5299999999999999,0.48999999999999977,NA,8
pangandusest,1,pangandusest,0.81,0.81,NA,12
pääsesid,3,pääsesid,0.5466666666666666,0.56,NA,8
portfelli,3,portfelli,0.6233333333333327,0.6299999999999999,NA,9
nordea,1,nordea,0.5800000000000001,0.5800000000000001,NA,6
swedbank,1,swedbank,0.7200000000000002,0.7200000000000002,NA,8
samuti,122,samuti,0.4660655737704918,0.45500000000000007,0.0856657379055378,6
soovib,34,soovib,0.3752941176470588,0.3849999999999998,0.08377965828211835,6
tema,256,tema,0.25046875,0.2400000000000002,0.04864346331664205,4
sõnul,205,sõnul,0.3416585365853658,0.33999999999999986,0.061081157429933884,5
tihedamat,2,tihedamat,0.5249999999999999,0.5249999999999999,NA,9
kaubanduskoostööd,2,kaubanduskoostööd,1.1300000000000003,1.1300000000000003,NA,17
raja,4,raja,0.3175,0.285,NA,4
tänava,11,tänava,0.3481818181818182,0.34999999999999964,NA,6
kinnistul,2,kinnistul,0.5850000000000001,0.5850000000000001,NA,9
ilus,18,ilus,0.33444444444444443,0.31000000000000005,NA,4
õunaaed,2,õunaaed,0.4500000000000002,0.4500000000000002,NA,7
kus,220,kus,0.19840909090909092,0.18999999999999995,0.04280734759669728,3
pole,330,pole,0.2395151515151515,0.22999999999999998,0.06047094028470565,4
praegu,125,praegu,0.3924,0.3700000000000001,0.09626131102369218,6
eriti,74,eriti,0.36959459459459454,0.355,0.07662543486388111,5
palju,219,palju,0.3047945205479452,0.29000000000000004,0.07574487801375133,5
hooldust,5,hooldust,0.42400000000000027,0.43000000000000016,NA,8
piknikumenüü,2,piknikumenüü,0.7799999999999999,0.7799999999999999,NA,12
peaks,124,peaks,0.2741129032258065,0.26999999999999996,0.06012100830789829,5
lihtne,34,lihtne,0.41970588235294115,0.4149999999999998,0.09760319709438305,6
liiga,78,liiga,0.30205128205128207,0.29000000000000004,0.06943654129913956,5
suur,92,suur,0.3175,0.31000000000000005,0.07696166465252008,4
askeldamine,2,askeldamine,0.6649999999999996,0.6649999999999996,NA,11
seltskonnal,3,seltskonnal,0.5733333333333338,0.5600000000000005,NA,11
hoogu,10,hoogu,0.3650000000000001,0.3650000000000002,NA,5
maha,63,maha,0.28111111111111114,0.26,0.05915036290758298,4
võtaks,3,võtaks,0.47666666666666685,0.5099999999999998,NA,6
meil,82,meil,0.22,0.20000000000000018,0.06965069642290107,4
oli,605,oli,0.18795041322314052,0.17000000000000015,0.06013289019580149,3
väga,326,väga,0.25736196319018406,0.25,0.05606009287651775,4
hea,147,hea,0.258639455782313,0.25,0.07405311070539851,3
meel,11,meel,0.35181818181818175,0.3500000000000001,NA,4
näha,61,näha,0.29442622950819675,0.28,0.07897965270575141,4
teaduslik,7,teaduslik,0.6071428571428569,0.5800000000000001,NA,9
meetod,4,meetod,0.4575,0.43500000000000005,NA,6
robustne,2,robustne,0.47499999999999987,0.47499999999999987,NA,8
asi,30,asi,0.2543333333333334,0.2400000000000001,0.06509906980048862,3
olegi,5,olegi,0.30000000000000004,0.31000000000000005,NA,5
ainult,96,ainult,0.30312500000000003,0.29499999999999993,0.06207039854068928,6
ühe,77,ühe,0.2203896103896104,0.20999999999999996,0.06415163769794745,3
perekonna,3,perekonna,0.4566666666666667,0.47999999999999976,NA,9
traagikas,2,traagikas,0.6800000000000002,0.6800000000000002,NA,9
ühes,20,ühes,0.29000000000000004,0.2749999999999999,0.14254823744964365,4
kaevandamisega,2,kaevandamisega,0.7550000000000001,0.7550000000000001,NA,14
hävib,2,hävib,0.3099999999999996,0.3099999999999996,NA,5
ka,1260,ka,0.12896825396825398,0.11000000000000032,0.05457817118562371,2
kohalik,13,kohalik,0.40692307692307683,0.40000000000000036,NA,7
loodus,5,loodus,0.454,0.46999999999999975,NA,6
seetõttu,57,seetõttu,0.5450877192982456,0.53,0.09670216178968491,8
mullu,19,mullu,0.33368421052631575,0.33000000000000007,NA,5
kodakondsuse,5,kodakondsuse,0.688,0.69,NA,12
saanud,119,saanud,0.3759663865546217,0.37,0.07806826712769517,6
määratlemata,2,määratlemata,0.685,0.685,NA,12
kodakondsusega,2,kodakondsusega,0.7699999999999998,0.7699999999999998,NA,14
inimesi,51,inimesi,0.48960784313725486,0.4900000000000002,0.10070264486885745,7
