frequency,word,meanDuration,medianDuration,stDevDuration,n_characters
923,io,0.2648104008667389,0.24,0.0944675788256922,2
1299,es,0.23244803695150118,0.18000000000000016,0.11640815779269478,2
75,multo,0.4657333333333332,0.42999999999999994,0.11687569434201421,5
9,occupate,0.69,0.7,NA,8
199,illa,0.3998994974874371,0.3699999999999999,0.13099845765823778,4
23,tanto,0.4339130434782609,0.39999999999999947,0.10878415369373272,5
21,alte,0.39428571428571435,0.3999999999999999,0.09851758363720817,4
161,como,0.33229813664596275,0.31999999999999984,0.07794427855209266,4
223,te,0.1942152466367713,0.17999999999999972,0.07887833224672341,2
104,isto,0.4540384615384615,0.43999999999999995,0.12913092047551153,4
804,un,0.18567164179104478,0.15999999999999992,0.08585035282536785,2
32,mal,0.35593749999999996,0.3700000000000001,0.08823938755526943,3
480,que,0.18350000000000002,0.1599999999999998,0.07518272799470976,3
20,deo,0.41550000000000004,0.4,0.09848724202710354,3
19,da,0.2336842105263158,0.22000000000000008,NA,2
184,al,0.16733695652173913,0.1499999999999999,0.068862542606944,2
10,filios,0.796,0.845,NA,6
849,de,0.13696113074204946,0.1200000000000001,0.055057428394008935,2
1,adam,0.75,0.75,NA,4
239,pro,0.22322175732217575,0.20999999999999996,0.057752705450176155,3
6,les,0.32499999999999996,0.2849999999999997,NA,3
1,tormentar,1.1499999999999995,1.1499999999999995,NA,9
71,facer,0.5223943661971829,0.47000000000000003,0.12339790214392272,5
81,bon,0.33432098765432094,0.31999999999999984,0.09066336459128542,3
6,facie,0.6283333333333333,0.625,NA,5
433,a,0.11256351039260969,0.10000000000000009,0.0584454181794188,1
41,ben,0.36243902439024395,0.3500000000000001,0.09120801740540356,3
160,illo,0.3908125,0.375,0.12686332900126426,4
8,cavallo,0.575,0.5350000000000001,NA,7
2,cursa,0.5499999999999998,0.5499999999999998,NA,5
11,nonne,0.36363636363636365,0.3400000000000003,NA,5
2,pandas,0.585,0.585,NA,6
25,vive,0.3836,0.3699999999999999,0.08717224328879006,4
456,in,0.1693859649122807,0.1499999999999999,0.08295408593922275,2
1,boschettos,0.7299999999999998,0.7299999999999998,NA,10
1,bambu,0.5,0.5,NA,5
590,non,0.2683898305084746,0.25,0.08093018579495871,3
22,cognosce,0.6995454545454544,0.69,0.09736907070900865,8
230,peter,0.4570869565217391,0.42999999999999994,0.12080060912664835,5
67,esque,0.39791044776119405,0.3699999999999999,0.10639459591870991,5
68,tote,0.3323529411764705,0.31999999999999984,0.05882221245233413,4
719,tu,0.1876077885952712,0.16000000000000003,0.07419845965770729,2
3,companiones,1.1733333333333336,1.2400000000000002,NA,11
7,classe,0.5671428571428571,0.5699999999999998,NA,6
2,arriva,0.5350000000000001,0.5350000000000001,NA,6
37,sempre,0.5408108108108108,0.5299999999999998,0.10822759912893386,6
3,lection,0.5433333333333333,0.5300000000000001,NA,7
67,tempore,0.5629850746268658,0.56,0.11057720359855444,7
265,il,0.18592452830188677,0.16999999999999998,0.07058732209131376,2
58,face,0.47,0.43999999999999995,0.12291774456857141,4
128,plus,0.353046875,0.33000000000000007,0.11174040918698835,4
4,calide,0.5150000000000001,0.46999999999999986,NA,6
29,cata,0.3820689655172415,0.37,0.06878430626369174,4
41,die,0.36268292682926834,0.3699999999999992,0.08482406469404494,3
256,nos,0.338125,0.28000000000000025,0.14367856281214922,3
578,ha,0.18711072664359862,0.17000000000000004,0.07603331972210128,2
16,bastante,0.6262500000000001,0.575,NA,8
22,prender,0.5186363636363637,0.47000000000000014,0.10890342836640503,7
1877,le,0.15935535428875866,0.14,0.0727561278960262,2
8,traino,0.6025000000000001,0.5599999999999999,NA,6
5,vitro,0.45599999999999996,0.42000000000000004,NA,5
57,ci,0.36070175438596497,0.3500000000000001,0.07103469094953352,2
1,mentionava,0.6599999999999999,0.6599999999999999,NA,10
43,maria,0.5493023255813952,0.56,0.09399582941196835,5
13,ulle,0.3046153846153846,0.3100000000000005,NA,4
3,alimento,0.6366666666666666,0.55,NA,8
41,multe,0.40341463414634143,0.3700000000000001,0.09653004081884463,5
34,personas,0.7314705882352941,0.705,0.16547694800441418,8
57,sape,0.4663157894736842,0.44999999999999996,0.09269056776923669,4
8,usar,0.4,0.39499999999999996,NA,4
3,correctemente,1.0566666666666662,1.02,NA,13
27,lor,0.2951851851851852,0.28,0.11105682434509936,3
23,prime,0.3852173913043478,0.3800000000000001,0.07266796000347875,5
14,lingua,0.43571428571428567,0.4149999999999998,NA,6
2,odora,0.48499999999999993,0.48499999999999993,NA,5
16,volerea,0.57125,0.5800000000000001,NA,7
14,venir,0.48928571428571427,0.4799999999999999,NA,5
198,mi,0.1807070707070707,0.15999999999999995,0.06910967558450835,2
9,festa,0.5022222222222221,0.52,NA,5
6,plagia,0.5099999999999999,0.49,NA,6
190,iste,0.33768421052631575,0.32000000000000006,0.09234112776199761,4
14,vespere,0.5578571428571429,0.5150000000000002,NA,7
230,pote,0.34560869565217395,0.3200000000000002,0.08407900169885181,4
6,attender,0.6166666666666666,0.5899999999999997,NA,8
40,alcun,0.44799999999999995,0.4099999999999996,0.1319518171579386,5
18,horas,0.6083333333333333,0.6100000000000001,NA,5
411,ille,0.3531386861313868,0.32999999999999985,0.12388872953021596,4
4,pulsava,0.6900000000000002,0.6850000000000002,NA,7
29,via,0.3948275862068967,0.39000000000000057,0.08978628155057877,3
10,equipa,0.5750000000000001,0.5249999999999999,NA,6
2,entrata,0.675,0.675,NA,7
4,usava,0.5449999999999999,0.5399999999999999,NA,5
1,virga,0.5099999999999998,0.5099999999999998,NA,5
1,optic,0.41999999999999993,0.41999999999999993,NA,5
