 ,frequency,word,meanDuration,medianDuration,stDevDuration,n_characters
de,21883,de,0.10501987844445458,0.09000000000000008,0.05422024398274613,2
hijskraan,21,hijskraan,0.6190476190476191,0.5699999999999998,0.12123962891335334,9
was,2964,was,0.20381241565452093,0.18999999999999995,0.06419658390273007,3
gigantisch,9,gigantisch,0.9155555555555558,0.9000000000000001,NA,10
ten,86,ten,0.18662790697674414,0.18500000000000005,0.04241560381902421,3
tweede,205,tweede,0.3296585365853659,0.32000000000000006,0.05072397901256887,6
moeten,463,moeten,0.26803455723542113,0.26,0.048815214945127854,6
wij,212,wij,0.17500000000000002,0.16000000000000003,0.06779883822349007,3
ervoor,14,ervoor,0.3835714285714285,0.32499999999999984,NA,6
zorgen,32,zorgen,0.4828125,0.5,0.09528342695145312,6
dat,2991,dat,0.18073553995319291,0.17000000000000004,0.05390125311771386,3
een,10702,een,0.12892730330779292,0.12,0.04201993270581032,3
fasering,1,fasering,0.5800000000000001,0.5800000000000001,NA,8
uit,753,uit,0.22434262948207173,0.19999999999999973,0.09550467573488518,3
kernenergie,3,kernenergie,0.8933333333333332,0.9099999999999997,NA,11
organiseren,2,organiseren,0.8300000000000001,0.8300000000000001,NA,11
je,6045,je,0.10366253101736972,0.09000000000000008,0.04195880469076783,2
wacht,62,wacht,0.3301612903225808,0.29500000000000004,0.09910239671356766,5
best,135,best,0.3140740740740741,0.2799999999999999,0.09148277952541649,4
tot,370,tot,0.17832432432432438,0.17000000000000026,0.03950098901307483,3
het,10138,het,0.14986683764056027,0.14,0.04703471065284214,3
solden,13,solden,0.5015384615384616,0.5,NA,6
is,7387,is,0.16578313253012048,0.15000000000000002,0.06565067746159334,2
voor,2316,voor,0.19507340241796198,0.17999999999999994,0.06524347992246148,4
nieuwe,519,nieuwe,0.25329479768786123,0.25,0.04975744052844375,6
kleedjes,6,kleedjes,0.4183333333333333,0.41500000000000004,NA,8
koopt,19,koopt,0.41947368421052633,0.3899999999999997,NA,5
hoe,330,hoe,0.16815151515151516,0.16000000000000003,0.050510236232497355,3
hoog,80,hoog,0.32325,0.29499999999999993,0.09101084926284508,4
hoogste,59,hoogste,0.4001694915254237,0.3900000000000001,0.08152620745172152,7
wolkenkrabber,7,wolkenkrabber,0.7371428571428572,0.69,NA,13
ter,57,ter,0.1675438596491228,0.16000000000000014,0.03878883776084418,3
wereld,121,wereld,0.4686776859504132,0.48999999999999977,0.09849654942145884,6
onze,464,onze,0.26476293103448273,0.26,0.046603282321526905,4
kinderen,246,kinderen,0.45796747967479673,0.44999999999999984,0.0902464593649399,8
zijn,3575,zijn,0.2353958041958042,0.21999999999999975,0.08563338348677517,4
nogal,67,nogal,0.3061194029850746,0.28,0.08722932548105938,5
verschillend,6,verschillend,0.5133333333333333,0.5099999999999999,NA,12
van,6243,van,0.17026429601153292,0.16000000000000014,0.04902651152548358,3
elkaar,118,elkaar,0.4103389830508474,0.395,0.109458122994848,6
kan,2061,kan,0.18828723920426976,0.18000000000000016,0.043353670600755054,3
even,466,even,0.28461373390557937,0.27,0.08673009017726777,4
meekijken,7,meekijken,0.8314285714285715,0.76,NA,9
mij,494,mij,0.20338056680161942,0.18000000000000005,0.07892860734670451,3
sushi,10,sushi,0.4389999999999999,0.42999999999999994,NA,5
met,2710,met,0.16923247232472324,0.16000000000000014,0.0444406753117172,3
sojasaus,8,sojasaus,0.6675000000000001,0.6800000000000002,NA,8
graag,268,graag,0.35690298507462687,0.33999999999999986,0.09801263920658126,5
ik,4561,ik,0.14853760140320105,0.14999999999999997,0.04568903713510705,2
heb,1739,heb,0.15870040253018977,0.15000000000000002,0.04221338002615502,3
vanmorgen,39,vanmorgen,0.5530769230769231,0.5,0.14316265769642744,9
ontbeten,8,ontbeten,0.5149999999999999,0.5149999999999999,NA,8
ontbijtgranen,15,ontbijtgranen,0.9099999999999999,0.9099999999999999,NA,13
botert,7,botert,0.4514285714285715,0.43000000000000005,NA,6
niet,2767,niet,0.2105818576075172,0.19000000000000017,0.06661141024195655,4
tussen,271,tussen,0.2888560885608856,0.28,0.04778599622289306,6
die,1940,die,0.14660309278350514,0.13999999999999968,0.049616967006008615,3
twee,693,twee,0.28483405483405483,0.26000000000000023,0.08439435640791189,4
er,2501,er,0.1266893242702919,0.1200000000000001,0.049986348556212895,2
staan,241,staan,0.33535269709543564,0.31000000000000005,0.11239059533510218,5
veel,858,veel,0.25643356643356646,0.24999999999999978,0.07246523097631884,4
