 ,frequency,word,meanDuration,medianDuration,stDevDuration,n_characters
,10966,,0.5372329016961517,0.5390000000000001,0.3485701131215094,0
lepo,23,lepo,0.4491304347826088,0.44999999999999973,0.0830355106580657,4
vreme,9,vreme,0.4811111111111111,0.47,NA,5
in,325,in,0.1811076923076923,0.18000000000000016,0.045876128559389495,2
slabo,11,slabo,0.5318181818181817,0.5299999999999998,NA,5
kratko,4,kratko,0.5300000000000001,0.5450000000000002,NA,6
trajata,2,trajata,0.6149999999999998,0.6149999999999998,NA,7
tisti,16,tisti,0.493125,0.5,NA,5
denar,24,denar,0.5016666666666666,0.49499999999999994,0.06817053778739193,5
je,1611,je,0.14617008069522036,0.14,0.05949022734473233,2
resničen,2,resničen,0.7250000000000001,0.7250000000000001,NA,8
ki,105,ki,0.1592380952380952,0.15999999999999925,0.03357139479903736,2
ga,114,ga,0.16482456140350876,0.15500000000000003,0.05059700525324702,2
človek,68,človek,0.5991176470588235,0.615,0.11023684787655072,6
v,441,v,0.1172562358276644,0.1100000000000001,0.057691415501491206,1
pesti,2,pesti,0.4849999999999999,0.4849999999999999,NA,5
drži,7,drži,0.457142857142857,0.46999999999999975,NA,4
ali,106,ali,0.2799056603773585,0.28,0.05896105659140803,3
si,167,si,0.24311377245508986,0.22999999999999998,0.0706759848906232,2
videl,27,videl,0.3903703703703703,0.3599999999999999,0.09366929539535797,5
mož,13,mož,0.4469230769230768,0.43999999999999995,NA,3
sonce,16,sonce,0.569375,0.55,NA,5
žena,10,žena,0.475,0.47499999999999964,NA,4
mesec,3,mesec,0.6999999999999998,0.71,NA,5
vlada,9,vlada,0.5244444444444444,0.4900000000000002,NA,5
podnevi,1,podnevi,0.7800000000000002,0.7800000000000002,NA,7
ponoči,2,ponoči,0.7050000000000002,0.7050000000000002,NA,6
sladka,5,sladka,0.6219999999999999,0.6100000000000001,NA,6
beseda,19,beseda,0.6531578947368422,0.67,NA,6
sladko,3,sladko,0.6566666666666666,0.6200000000000001,NA,6
vino,33,vino,0.45545454545454545,0.43999999999999995,0.08542552698788007,4
po,80,po,0.15999999999999998,0.15999999999999992,0.039338276525541886,2
navadi,4,navadi,0.5625,0.565,NA,6
nista,5,nista,0.53,0.4900000000000002,NA,5
naravna,2,naravna,0.655,0.655,NA,7
oči,21,oči,0.4590476190476191,0.44999999999999996,0.0905488430103971,3
iščejo,5,iščejo,0.7,0.69,NA,6
kar,64,kar,0.25125,0.25,0.04248161366991607,3
srcu,8,srcu,0.5499999999999999,0.52,NA,4
všeč,23,všeč,0.5543478260869565,0.5299999999999998,0.13821300784930615,4
onemogel,1,onemogel,0.66,0.66,NA,8
se,609,se,0.23123152709359604,0.22999999999999998,0.0533042257600172,2
zgrudil,1,zgrudil,0.5699999999999998,0.5699999999999998,NA,7
naslanjač,1,naslanjač,0.9100000000000001,0.9100000000000001,NA,9
ampak,28,ampak,0.4721428571428571,0.48,0.06667389416604756,5
to,284,to,0.19788732394366196,0.18000000000000016,0.0659473860485883,2
ni,217,ni,0.21944700460829492,0.20999999999999996,0.0594806106561039,2
bilo,96,bilo,0.36093749999999997,0.3649999999999999,0.0738675352263541,4
tako,114,tako,0.39421052631578946,0.375,0.08581799117023726,4
tem,37,tem,0.3348648648648649,0.3500000000000001,0.07213431996542032,3
vrstnem,3,vrstnem,0.5533333333333333,0.5800000000000001,NA,7
redu,12,redu,0.3825,0.38,NA,4
kdor,141,kdor,0.38595744680851063,0.3899999999999999,0.08744585942781892,4
izgubi,6,izgubi,0.5766666666666667,0.57,NA,6
užitek,2,užitek,0.6900000000000002,0.6900000000000002,NA,6
zaradi,11,zaradi,0.46727272727272723,0.43999999999999995,NA,6
užitka,1,užitka,0.6400000000000001,0.6400000000000001,NA,6
ničesar,14,ničesar,0.6942857142857143,0.665,NA,7
izgubil,4,izgubil,0.6375,0.6299999999999999,NA,7
sprejmi,2,sprejmi,0.595,0.595,NA,7
svojo,19,svojo,0.44789473684210523,0.4500000000000002,NA,5
prvo,3,prvo,0.41,0.3699999999999999,NA,4
ženo,8,ženo,0.4987500000000001,0.4850000000000003,NA,4
sreča,59,sreča,0.6120338983050847,0.6200000000000001,0.1151826796804213,5
svobodna,3,svobodna,0.6366666666666667,0.6700000000000002,NA,8
ptica,7,ptica,0.5271428571428572,0.48,NA,5
kjer,32,kjer,0.29000000000000004,0.2949999999999999,0.06837397165588668,4
ji,21,ji,0.14047619047619048,0.13000000000000034,0.05331632381820337,2
zdi,12,zdi,0.3400000000000001,0.3500000000000001,NA,3
tam,27,tam,0.33777777777777773,0.3500000000000001,0.07776190314187863,3
posedi,2,posedi,0.52,0.52,NA,6
zdaj,27,zdaj,0.43999999999999995,0.41999999999999993,0.09603240193925287,4
star,7,star,0.44714285714285706,0.4500000000000002,NA,4
osemnajst,1,osemnajst,0.8700000000000001,0.8700000000000001,NA,9
let,7,let,0.3628571428571429,0.3600000000000001,NA,3
premaknite,2,premaknite,0.975,0.975,NA,10
kad,1,kad,0.3600000000000001,0.3600000000000001,NA,3
na,277,na,0.1716967509025271,0.16999999999999993,0.0427528590500377,2
vroč,2,vroč,0.5800000000000001,0.5800000000000001,NA,4
ogenj,18,ogenj,0.4633333333333332,0.4399999999999999,NA,5
sekira,3,sekira,0.7233333333333333,0.75,NA,6
srca,18,srca,0.5861111111111109,0.5749999999999997,NA,4
odpira,5,odpira,0.584,0.5899999999999999,NA,6
oh,21,oh,0.39285714285714296,0.4,0.08902342426590439,2
ne,609,ne,0.19592775041050903,0.18000000000000016,0.07475521982882048,2
vem,24,vem,0.39625000000000005,0.38000000000000006,0.09357761929720874,3
kaj,237,kaj,0.24742616033755274,0.25,0.043152656009798875,3
hočeš,21,hočeš,0.6052380952380951,0.6199999999999999,0.16935786420417698,5
storiti,19,storiti,0.6599999999999999,0.6300000000000003,NA,7
kot,188,kot,0.23920212765957446,0.23999999999999977,0.04158945237274176,3
sem,113,sem,0.31610619469026546,0.30000000000000004,0.08803090394924606,3
tudi,72,tudi,0.3061111111111111,0.30000000000000004,0.0444270799411661,4
mislil,13,mislil,0.5453846153846154,0.5199999999999999,NA,6
prodaj,3,prodaj,0.47333333333333333,0.43000000000000005,NA,6
kože,3,kože,0.5333333333333333,0.53,NA,4
dokler,25,dokler,0.4799999999999999,0.45999999999999996,0.11702991070662233,6
medved,4,medved,0.5275,0.52,NA,6
brlogu,4,brlogu,0.5525000000000001,0.5500000000000003,NA,6
spi,6,spi,0.5133333333333333,0.5,NA,3
pravkar,4,pravkar,0.4575,0.44,NA,7
odprl,4,odprl,0.4599999999999999,0.45999999999999996,NA,5
povezavo,4,povezavo,0.7725000000000002,0.7350000000000001,NA,8
ste,47,ste,0.29659574468085104,0.29000000000000004,0.06811369080815753,3
mi,85,mi,0.15611764705882356,0.1499999999999999,0.051793574837654004,2
jo,45,jo,0.15577777777777782,0.14999999999999947,0.059235458183193285,2
poslali,6,poslali,0.5983333333333332,0.5949999999999999,NA,7
