frequency,word,meanDuration,medianDuration,stDevDuration,n_characters
2,valgañón,0.6550000000000002,0.6550000000000002,NA,8
293,queda,0.3057337883959044,0.28,0.10034473516324845,5
10,encuadrado,0.64,0.6400000000000001,NA,10
59469,en,0.1377473978038978,0.13,0.05944079804265846,2
1646,ese,0.24345078979343862,0.23999999999999977,0.06202460299168019,3
731,momento,0.5277428180574555,0.51,0.11429938847254767,7
73865,la,0.12885385500575372,0.12,0.05133567000539577,2
17,intendencia,0.8682352941176471,0.7600000000000007,NA,11
108873,de,0.11604585158854813,0.10000000000000009,0.05328929415213636,2
41,burgos,0.5629268292682927,0.5499999999999998,0.14133725450918852,6
51,actitud,0.5019607843137256,0.48999999999999977,0.09879310923021178,7
8,pasiva,0.5674999999999999,0.5499999999999998,NA,6
14839,no,0.23104656648022104,0.17999999999999994,0.16925087412518508,2
30,disfruta,0.542,0.5449999999999999,0.1083226343081088,8
11,atacando,0.6600000000000001,0.6699999999999999,NA,8
10315,al,0.1522355792535143,0.14999999999999947,0.06101243888346242,2
2819,ser,0.24741397658744238,0.22999999999999998,0.0770555731390162,3
133,humano,0.43774436090225566,0.43999999999999995,0.1134020505222751,6
15938,con,0.19393713138411342,0.1899999999999995,0.05203063869582149,3
54107,el,0.14005581532888534,0.13000000000000012,0.054898620779743036,2
1520,tiempo,0.4224276315789474,0.41000000000000014,0.09894886011813973,6
7182,sus,0.23316624895572263,0.22999999999999976,0.06803875086579035,3
88,orígenes,0.5437500000000001,0.5250000000000001,0.10552890871563414,8
2466,fueron,0.3390713706407137,0.3200000000000003,0.08227834182194273,6
429,generalmente,0.7744055944055944,0.75,0.13654082120918992,12
14,olvidados,0.6650000000000001,0.6949999999999998,NA,9
17558,por,0.18666533773778335,0.17999999999999972,0.05238768707483811,3
648,pueblo,0.3859104938271604,0.3700000000000001,0.10179579832884288,6
2,arnor,0.7000000000000002,0.7000000000000002,NA,5
49,cráteres,0.5710204081632653,0.56,0.10658026900649385,8
7567,más,0.25688515924408617,0.24,0.07990038339481233,3
397,pequeños,0.5337783375314862,0.5099999999999998,0.11777967461228053,8
31238,se,0.16787598437800116,0.16000000000000003,0.05859376172647809,2
658,encuentran,0.5543920972644377,0.5300000000000002,0.1112773957779382,10
29712,a,0.0858144857296715,0.07999999999999985,0.052659885046989936,1
5434,lo,0.13522635259477364,0.1299999999999999,0.05210879963246579,2
527,largo,0.35717267552182164,0.33999999999999986,0.09570518028467566,5
21199,del,0.17542006698429172,0.16999999999999993,0.05494872096103381,3
129,borde,0.3394573643410853,0.3200000000000003,0.08168451197212377,5
95,noreste,0.5719999999999998,0.5699999999999994,0.12733437302312164,7
8,simular,0.53375,0.5299999999999999,NA,7
5322,este,0.29177752724539646,0.28,0.08262010909373171,4
669,sistema,0.5045590433482809,0.49,0.09786795238724814,7
102,resulta,0.4991176470588235,0.4750000000000001,0.10383824951209253,7
4,oscilaciones,0.8424999999999998,0.825,NA,12
20223,que,0.1371957671957672,0.1299999999999999,0.048916897086540685,3
7,alejan,0.4314285714285714,0.4099999999999999,NA,6
18884,un,0.14506195721245496,0.13999999999999968,0.05901171438340116,2
39,equilibrio,0.5971794871794872,0.58,0.10575415178981255,10
41,inestable,0.6851219512195121,0.6699999999999999,0.12975210886955776,9
11,melanie,0.5536363636363637,0.5799999999999998,NA,7
23743,es,0.192427662890115,0.18000000000000016,0.07921649789341711,2
17,consciente,0.6641176470588236,0.6399999999999999,NA,10
6,scarlett,0.62,0.5999999999999999,NA,8
5,o'hara,0.7139999999999999,0.6199999999999997,NA,6
25,pretendía,0.576,0.56,0.09954061147759405,9
