frequency,word,meanDuration,medianDuration,stDevDuration,n_characters
114,ser,0.21877192982456142,0.20999999999999985,0.06842268876502691,3
2119,du,0.12439358187824447,0.10000000000000009,0.07130046463511283,2
20,nån,0.23700000000000002,0.20999999999999996,0.08098732844353523,3
2,vigselring,0.645,0.645,NA,10
845,på,0.14966863905325445,0.1200000000000001,0.08064099849672295,2
86,mitt,0.22453488372093022,0.20500000000000007,0.09659688189760197,4
4,finger,0.39750000000000013,0.40500000000000025,NA,6
1152,vi,0.13025173611111113,0.11000000000000001,0.0691667359053593,2
153,behöver,0.37326797385620913,0.36,0.11809245968040354,7
300,ett,0.15550000000000003,0.13000000000000034,0.07373968948958265,3
7,kontrakt,0.6157142857142858,0.6099999999999999,NA,8
4,jeff,0.31249999999999994,0.30999999999999994,NA,4
480,den,0.19464583333333335,0.17000000000000004,0.08594239697884294,3
2,andre,0.45000000000000007,0.45000000000000007,NA,5
2,jeffrey,0.665,0.665,NA,7
2,miljonären,0.7849999999999999,0.7849999999999999,NA,10
17,ibland,0.45588235294117657,0.43999999999999995,NA,6
114,tror,0.2585087719298246,0.25,0.07901195670848353,4
2884,jag,0.16677184466019418,0.14000000000000012,0.08204303726190698,3
1337,att,0.13023186237845924,0.11999999999999988,0.04617906538505662,3
3,grabben,0.4333333333333333,0.4399999999999997,NA,7
551,kan,0.1869328493647913,0.17000000000000004,0.06485671641712841,3
38,komma,0.29157894736842105,0.25,0.09906389736439901,5
191,göra,0.2954450261780105,0.27,0.10738364995548656,4
19,slut,0.4336842105263157,0.41000000000000014,NA,4
110,sig,0.2327272727272727,0.21000000000000002,0.09085636502682813,3
34,själv,0.3958823529411764,0.3849999999999999,0.09751822353575064,5
2,ödsla,0.48000000000000004,0.48000000000000004,NA,5
1446,inte,0.24767634854771783,0.21999999999999997,0.10341033436446509,4
312,min,0.1928205128205128,0.17999999999999994,0.0646115762356793,3
44,tid,0.34227272727272723,0.33,0.10637501971936822,3
44,folk,0.3804545454545455,0.3499999999999999,0.11547585160733713,4
615,i,0.07586991869918698,0.05999999999999983,0.05647214864399042,1
511,här,0.2554207436399217,0.24,0.10065164678349892,3
35,staden,0.45571428571428574,0.43999999999999995,0.11000763915414648,6
2359,är,0.12278083933870283,0.09999999999999987,0.0783344369310439,2
39,jävla,0.37615384615384617,0.32000000000000006,0.1245965147906462,5
2,pack,0.33499999999999974,0.33499999999999974,NA,4
2674,det,0.1663911742707554,0.1399999999999999,0.08673457330932294,3
12,födelsedag,0.7808333333333333,0.7550000000000001,NA,10
18,idag,0.3927777777777778,0.345,NA,4
175,ja,0.36405714285714286,0.37,0.1204688977978026,2
20,berättade,0.441,0.43500000000000005,0.06025384897074599,9
756,för,0.16260582010582011,0.14000000000000012,0.07042319130347807,3
197,er,0.20746192893401016,0.18999999999999995,0.1060306791487729,2
115,alla,0.302,0.29000000000000004,0.09799033249845564,4
21,antar,0.38333333333333336,0.38,0.07598245411496873,5
236,din,0.1896186440677966,0.17999999999999994,0.07580113056940795,3
7,pojkvän,0.5985714285714286,0.5300000000000002,NA,7
7,lagar,0.2885714285714286,0.27,NA,5
9,maten,0.46444444444444444,0.42999999999999994,NA,5
28,lämna,0.3357142857142857,0.32499999999999996,0.08608473738463754,5
152,något,0.3635526315789474,0.36,0.12589498353963968,5
21,alls,0.3966666666666668,0.4099999999999999,0.12768450702153855,4
273,bara,0.25318681318681313,0.2300000000000002,0.07793114118659575,4
556,så,0.19573741007194242,0.16999999999999993,0.10086470879771453,2
5,otroligt,0.54,0.53,NA,8
2,nervös,0.5100000000000001,0.5100000000000001,NA,6
589,vad,0.1729202037351443,0.1499999999999999,0.08471819281096417,3
85,fan,0.3638823529411765,0.32999999999999985,0.12612441059041152,3
87,gjorde,0.2929885057471265,0.2899999999999999,0.06803068634778386,6
373,ni,0.1483378016085791,0.13,0.07682492029950341,2
14,eftersom,0.4214285714285714,0.40000000000000013,NA,8
2,föreslog,0.5449999999999998,0.5449999999999998,NA,8
178,ta,0.15668539325842698,0.14,0.06868187459899477,2
603,dig,0.23661691542288554,0.21999999999999997,0.10150936087190382,3
2,häcken,0.505,0.505,NA,6
4,matchen,0.4724999999999999,0.4649999999999999,NA,7
25,börjar,0.28319999999999995,0.28,0.057786965081524526,6
302,nu,0.2287748344370861,0.2200000000000002,0.08566423461494994,2
741,och,0.14454790823211877,0.1200000000000001,0.06552669715114225,3
429,till,0.19230769230769232,0.16000000000000014,0.07926082850953081,4
9,lilla,0.24555555555555555,0.22999999999999998,NA,5
24,nya,0.3104166666666666,0.2899999999999999,0.13579009269958658,3
136,man,0.19242647058823528,0.15999999999999992,0.09146135653139031,3
11,hämtar,0.3272727272727272,0.31000000000000005,NA,6
148,dem,0.21891891891891896,0.2099999999999999,0.07923215810348015,3
2,receptionen,0.59,0.59,NA,11
28,morgon,0.4392857142857144,0.4350000000000002,0.10950828047259026,6
76,ville,0.2244736842105263,0.20999999999999996,0.07565526616333866,5
170,ha,0.11770588235294119,0.08500000000000002,0.07822003912940849,2
1,gravöl,0.6500000000000001,0.6500000000000001,NA,6
1,karaoke,0.6200000000000001,0.6200000000000001,NA,7
198,nej,0.3891919191919192,0.39,0.09686116253414223,3
2,nyfiken,0.715,0.715,NA,7
45,såg,0.3162222222222223,0.29000000000000004,0.10397309286735702,3
666,han,0.1978978978978979,0.18999999999999995,0.07690690649253298,3
549,som,0.18389799635701276,0.17000000000000004,0.05451943816946259,3
7,tecken,0.43,0.41999999999999993,NA,6
59,sen,0.32152542372881354,0.31000000000000005,0.09748233366601625,3
8,slog,0.27875,0.27,NA,4
466,var,0.1709871244635193,0.14000000000000012,0.08533987612786863,3
479,ska,0.18269311064718163,0.16999999999999993,0.057507974474586915,3
113,få,0.16743362831858405,0.1499999999999999,0.07494973030855351,2
7,ifrån,0.3614285714285715,0.3599999999999999,NA,5
213,vet,0.2630985915492958,0.2400000000000001,0.08713346219367142,3
123,hade,0.21178861788617886,0.19999999999999996,0.06654263418641874,4
14,hänt,0.45142857142857146,0.44499999999999995,NA,4
493,om,0.14908722109533468,0.1399999999999999,0.06376546918156345,2
50,varit,0.31,0.28,0.12896764346619846,5
217,där,0.2504608294930876,0.21999999999999997,0.10147417836688642,3
369,vill,0.18523035230352303,0.16000000000000003,0.07487317937204027,4
3,rymma,0.5666666666666667,0.51,NA,5
1405,en,0.14822775800711743,0.13000000000000012,0.07676270052510666,2
3,docka,0.54,0.54,NA,5
161,varför,0.35763975155279504,0.33000000000000007,0.1222063599406262,6
216,honom,0.32680555555555557,0.32000000000000006,0.10026234966172455,5
3,klinik,0.6366666666666666,0.6299999999999999,NA,6
982,har,0.15670061099796334,0.1399999999999999,0.06940925903060614,3
16,thomas,0.48937500000000006,0.52,NA,6
2,bjudit,0.24,0.24,NA,6
128,in,0.21703124999999995,0.19999999999999984,0.08150512640270709,2
2,vin,0.3400000000000001,0.3400000000000001,NA,3
54,några,0.25499999999999995,0.22499999999999998,0.08649899116000205,5
7,dumma,0.3242857142857143,0.32000000000000006,NA,5
2,tankar,0.365,0.365,NA,6
2,ung,0.18999999999999995,0.18999999999999995,NA,3
6,tjej,0.3783333333333334,0.405,NA,4
34,tycker,0.31882352941176473,0.2999999999999999,0.10713245005054464,6
164,gör,0.2366463414634146,0.21999999999999997,0.08809000861865568,3
287,hon,0.1852264808362369,0.17000000000000004,0.07322157862292863,3
7,sådär,0.42714285714285716,0.41999999999999993,NA,5
571,med,0.16998248686514886,0.14000000000000012,0.08305250743353648,3
3,tungan,0.7000000000000001,0.5999999999999999,NA,6
4,synd,0.41750000000000004,0.43000000000000005,NA,4
