 ,frequency,word,meanDuration,medianDuration,stDevDuration,n_characters
,63261,,0.5758944057160019,0.5919999999999996,0.38212827737561783,0
соңгы,47,соңгы,0.3593617021276596,0.3500000000000001,0.05868793254911944,5
елларда,15,елларда,0.5153333333333333,0.5099999999999998,NA,7
чүлмәккә,5,чүлмәккә,0.522,0.5200000000000002,NA,8
утыртылганнары,2,утыртылганнары,0.7349999999999999,0.7349999999999999,NA,14
да,2030,да,0.14616256157635468,0.1299999999999999,0.05985535255017973,2
киң,42,киң,0.27928571428571436,0.255,0.07152731270350528,3
кулланышка,2,кулланышка,0.5150000000000001,0.5150000000000001,NA,10
керә,123,керә,0.2864227642276423,0.29000000000000004,0.06364446573249952,4
башлады,52,башлады,0.52,0.5100000000000002,0.057646135369831375,7
я,44,я,0.20136363636363636,0.17000000000000015,0.0839802711975451,1
улым,48,улым,0.33666666666666667,0.32999999999999996,0.06295942255841368,4
син,458,син,0.2604148471615721,0.25,0.058634780709229534,3
алтын,174,алтын,0.3875862068965517,0.3799999999999999,0.06819454114468552,5
балык,61,балык,0.3516393442622951,0.3400000000000003,0.05537296280140764,5
тоткансың,3,тоткансың,0.59,0.6099999999999999,NA,9
укытучы,26,укытучы,0.5288461538461539,0.52,0.07566763982031109,7
әтинең,3,әтинең,0.5233333333333333,0.5599999999999998,NA,6
исемен,20,исемен,0.3955,0.3749999999999999,0.06651879433663839,6
сорады,8,сорады,0.4425,0.44000000000000017,NA,6
чара,14,чара,0.3414285714285715,0.31999999999999995,NA,4
күрү,16,күрү,0.3393750000000001,0.36,NA,4
андый,24,андый,0.3045833333333333,0.29999999999999993,0.06435443306840294,5
ук,172,ук,0.1636046511627907,0.1499999999999999,0.06974893165302805,2
мөмкинчелеге,2,мөмкинчелеге,0.6699999999999998,0.6699999999999998,NA,12
булмаган,48,булмаган,0.53625,0.54,0.0907979671211494,8
кешеләргә,21,кешеләргә,0.4971428571428572,0.4800000000000002,0.07031513128107515,9
бөтен,137,бөтен,0.32255474452554744,0.31999999999999984,0.05357345999817082,5
гаиләгә,3,гаиләгә,0.44333333333333363,0.41999999999999993,NA,7
бер,1726,бер,0.18705098493626884,0.17999999999999972,0.0557311535797634,3
корбан,40,корбан,0.40875000000000006,0.3900000000000001,0.05376743903144358,6
чалырга,3,чалырга,0.48666666666666636,0.46999999999999975,NA,7
ярый,72,ярый,0.4041666666666667,0.4,0.10031547460110252,4
алар,1067,алар,0.3345735707591378,0.32999999999999996,0.05345671526945545,4
район,9,район,0.32555555555555554,0.32000000000000006,NA,5
гәзитендә,1,гәзитендә,0.51,0.51,NA,9
дөнья,94,дөнья,0.3637234042553191,0.35499999999999976,0.07219925211130875,5
күргәләде,1,күргәләде,0.5999999999999999,0.5999999999999999,NA,9
аның,342,аның,0.2981578947368421,0.29000000000000004,0.05762703926150812,4
китабы,9,китабы,0.3899999999999999,0.3699999999999999,NA,6
бар,772,бар,0.2691062176165803,0.27,0.05978245633706911,3
инде,519,инде,0.2801156069364162,0.2899999999999998,0.07801725345940083,4
акыллы,46,акыллы,0.46521739130434786,0.47000000000000003,0.06261473400832937,6
атын,17,атын,0.3341176470588236,0.33999999999999986,NA,4
мактар,5,мактар,0.5419999999999998,0.54,NA,6
юләр,20,юләр,0.374,0.3799999999999999,0.05911006682452661,4
хатынын,8,хатынын,0.4862499999999999,0.49,NA,7
шыр,2,шыр,0.2999999999999998,0.2999999999999998,NA,3
тиле,48,тиле,0.32125,0.29000000000000004,0.07952004464284462,4
үзен,50,үзен,0.32359999999999994,0.32000000000000006,0.05552512944604449,4
яуга,4,яуга,0.34,0.33000000000000007,NA,4
каршы,140,каршы,0.38064285714285717,0.35999999999999943,0.08648047437994075,5
көрәшне,4,көрәшне,0.44749999999999995,0.46999999999999986,NA,7
оештыру,10,оештыру,0.49099999999999994,0.47999999999999987,NA,7
бурычы,7,бурычы,0.5185714285714286,0.53,NA,6
үзеннән,20,үзеннән,0.43949999999999995,0.43999999999999995,0.04104570623098111,7
үзе,258,үзе,0.24806201550387597,0.24,0.049204170734229134,3
сөембикә,16,сөембикә,0.60375,0.595,NA,8
җилкәсенә,12,җилкәсенә,0.5483333333333333,0.54,NA,9
төшә,65,төшә,0.3316923076923077,0.3299999999999996,0.07786713004104112,4
илчегә,2,илчегә,0.52,0.52,NA,6
үлем,15,үлем,0.34733333333333327,0.32999999999999985,NA,4
юк,592,юк,0.31239864864864864,0.33,0.09166804387813739,2
ә,230,ә,0.1402608695652174,0.13,0.04842674197563048,1
бу,1500,бу,0.19570666666666667,0.18999999999999995,0.0674840768049932,2
рәсемдә,1,рәсемдә,0.44000000000000006,0.44000000000000006,NA,7
нәрсә,275,нәрсә,0.3443272727272727,0.32000000000000006,0.0804159763740909,5
азгын,2,азгын,0.48000000000000004,0.48000000000000004,NA,5
ауга,14,ауга,0.3128571428571428,0.3049999999999998,NA,4
чыкса,21,чыкса,0.4538095238095239,0.41999999999999993,0.09916202184285935,5
артыннан,82,артыннан,0.5121951219512194,0.5099999999999999,0.06631455695403178,8
гауга,5,гауга,0.348,0.3400000000000001,NA,5
чыгар,43,чыгар,0.4337209302325582,0.43999999999999995,0.07143132189713335,5
йөрәгемнең,4,йөрәгемнең,0.585,0.595,NA,10
ярасы,2,ярасы,0.515,0.515,NA,5
күрә,128,күрә,0.30156249999999996,0.30499999999999994,0.06182684363405591,4
болар,258,болар,0.32573643410852715,0.32000000000000006,0.07430061706211832,5
ерак,70,ерак,0.30028571428571427,0.29000000000000004,0.048017003790961646,4
түгел,539,түгел,0.3592207792207792,0.3600000000000001,0.07502717784969926,5
ут,73,ут,0.20328767123287672,0.19999999999999996,0.04979560399039882,2
яна,10,яна,0.3660000000000001,0.3450000000000001,NA,3
моны,152,моны,0.25394736842105264,0.24,0.06483945654193703,4
алып,553,алып,0.2699276672694394,0.26,0.0650552290986324,4
төшәләр,7,төшәләр,0.5042857142857144,0.56,NA,7
дә,1677,дә,0.14480023852116874,0.1299999999999999,0.05432876619213623,2
патшага,44,патшага,0.4636363636363636,0.445,0.06491571140160801,7
бирәләр,29,бирәләр,0.5275862068965517,0.5299999999999998,0.05799257814664841,7
хаклык,8,хаклык,0.4575,0.43000000000000005,NA,6
өчен,475,өчен,0.29774736842105265,0.2899999999999996,0.06188426692685946,4
утка,23,утка,0.33478260869565224,0.3100000000000005,0.06742916187715495,4
кер,15,кер,0.2446666666666667,0.22999999999999998,NA,3
суга,45,суга,0.3517777777777778,0.3300000000000005,0.06896984490465986,4
төш,30,төш,0.264,0.24,0.07213875518748572,3
анысы,35,анысы,0.40285714285714286,0.3899999999999999,0.06035946741085812,5
ни,355,ни,0.16608450704225353,0.15999999999999992,0.0547943007416928,2
дигән,137,дигән,0.30766423357664235,0.29000000000000004,0.06653315702367264,5
сүз,228,сүз,0.2957456140350877,0.2899999999999999,0.08137990952161207,3
тагын,295,тагын,0.32566101694915256,0.31999999999999984,0.059308046777188136,5
дөресен,7,дөресен,0.4185714285714286,0.41999999999999993,NA,7
әйткәндә,8,әйткәндә,0.5774999999999999,0.595,NA,8
ул,957,ул,0.18849529780564261,0.18000000000000005,0.053812177993047335,2
һич,65,һич,0.26738461538461533,0.26,0.07237247507118293,3
туктамастан,1,туктамастан,0.7100000000000004,0.7100000000000004,NA,11
ротасын,1,ротасын,0.48999999999999977,0.48999999999999977,NA,7
куып,31,куып,0.293225806451613,0.30000000000000004,0.03888669204108298,4
җитәргә,1,җитәргә,0.3700000000000001,0.3700000000000001,NA,7
тиеш,148,тиеш,0.43128378378378385,0.4500000000000002,0.07465488530027015,4
бүгенгесе,2,бүгенгесе,0.6200000000000001,0.6200000000000001,NA,9
хәл,82,хәл,0.2792682926829268,0.2799999999999998,0.057078903193456654,3
ителмәгән,3,ителмәгән,0.51,0.5099999999999998,NA,9
килеш,3,килеш,0.3033333333333334,0.3099999999999996,NA,5
киләчәккә,8,киләчәккә,0.5987500000000001,0.5900000000000003,NA,9
план,1,план,0.33000000000000007,0.33000000000000007,NA,4
корып,13,корып,0.3615384615384615,0.31999999999999984,NA,5
булмый,189,булмый,0.43412698412698414,0.4399999999999997,0.083373988571194,6
кем,160,кем,0.20074999999999998,0.18999999999999995,0.04224260290275681,3
безне,63,безне,0.3095238095238095,0.31000000000000005,0.058511390057320534,5
эзләп,56,эзләп,0.3394642857142857,0.33000000000000007,0.059324159221576314,5
килсен,6,килсен,0.43833333333333346,0.43000000000000005,NA,6
без,281,без,0.2418505338078292,0.23999999999999932,0.07150735279167987,3
төрмәдә,10,төрмәдә,0.433,0.3950000000000001,NA,7
яткан,46,яткан,0.39304347826086955,0.4,0.06537083398372544,5
шикелле,27,шикелле,0.4374074074074074,0.41999999999999993,0.08711816549919502,7
ятабыз,6,ятабыз,0.5133333333333335,0.5550000000000002,NA,6
әйбәтләп,6,әйбәтләп,0.49,0.47,NA,8
кара,144,кара,0.3259722222222222,0.31000000000000005,0.07398685548089347,4
гел,49,гел,0.2171428571428572,0.1900000000000004,0.055842343673405945,3
тере,11,тере,0.25,0.2300000000000002,NA,4
сыман,22,сыман,0.38499999999999995,0.3799999999999999,0.06692940650077105,5
ич,10,ич,0.21200000000000002,0.17000000000000004,NA,2
ана,55,ана,0.31090909090909086,0.2999999999999998,0.06702164446241442,3
янында,63,янында,0.4123809523809524,0.3999999999999999,0.08209004513462079,6
бала,170,бала,0.33111764705882346,0.32499999999999996,0.0684572707889778,4
ятим,19,ятим,0.3568421052631579,0.3400000000000003,NA,4
язда,5,язда,0.43000000000000005,0.41999999999999993,NA,4
килгән,111,килгән,0.3828828828828828,0.3700000000000001,0.0722032589839628,6
янган,10,янган,0.40599999999999997,0.40500000000000025,NA,5
пешекчеләр,2,пешекчеләр,0.56,0.56,NA,10
бик,820,бик,0.2264878048780488,0.21999999999999997,0.05302881037066343,3
кайгырды,4,кайгырды,0.7025,0.7,NA,8
анасы,58,анасы,0.41517241379310343,0.39500000000000024,0.08516194267617723,5
егетне,88,егетне,0.39818181818181825,0.39000000000000007,0.08081327319176561,6
тыңлап,30,тыңлап,0.38766666666666655,0.3799999999999999,0.05817693319139086,6
машинаны,4,машинаны,0.49999999999999994,0.4999999999999999,NA,8
борып,5,борып,0.2839999999999999,0.26,NA,5
көмеш,51,көмеш,0.3788235294117647,0.34999999999999964,0.09112901991076272,5
сарайга,31,сарайга,0.4567741935483871,0.44999999999999973,0.0685982740671717,7
килеп,347,килеп,0.28072046109510085,0.26000000000000023,0.06079018303704868,5
төштеләр,6,төштеләр,0.5683333333333332,0.5750000000000002,NA,8
аларның,316,аларның,0.48917721518987345,0.49,0.05719127566769251,7
яхшы,187,яхшы,0.3532620320855615,0.3400000000000001,0.08201050410183078,4
нәтиҗәләре,6,нәтиҗәләре,0.5666666666666668,0.5549999999999998,NA,10
безгә,76,безгә,0.3530263157894737,0.34,0.06405219370174249,5
түземле,3,түземле,0.49,0.5,NA,7
булырга,103,булырга,0.36854368932038833,0.3599999999999999,0.06325181246860576,7
кирәк,339,кирәк,0.4128023598820059,0.43999999999999995,0.08611643620355791,5
чыктым,17,чыктым,0.48,0.46999999999999975,NA,6
аркылы,28,аркылы,0.3942857142857143,0.38500000000000006,0.0721322481591264,6
күпер,7,күпер,0.3614285714285715,0.3100000000000005,NA,5
һәйкәл,8,һәйкәл,0.4012499999999999,0.41999999999999993,NA,6
алпамшаның,7,алпамшаның,0.6328571428571429,0.6399999999999999,NA,10
элек,48,элек,0.2839583333333333,0.2749999999999999,0.05306205421223554,4
куеп,21,куеп,0.33238095238095233,0.33000000000000007,0.060388012205574215,4
калдырган,19,калдырган,0.5031578947368421,0.48999999999999977,NA,9
мылтыгы,4,мылтыгы,0.39749999999999996,0.395,NA,7
икән,544,икән,0.35340073529411764,0.3599999999999999,0.0757900622039005,4
шуннан,227,шуннан,0.43414096916299566,0.41999999999999993,0.08332589511849608,6
соң,461,соң,0.2526681127982646,0.24,0.0759754815636241,3
кыз,348,кыз,0.25057471264367814,0.22999999999999998,0.08839379394971954,3
белән,1426,белән,0.2562482468443198,0.2400000000000002,0.06082778739957462,5
егет,448,егет,0.3223883928571429,0.31000000000000005,0.07485915971907287,4
киңәш,22,киңәш,0.3936363636363636,0.395,0.04280457224361292,5
итәләр,34,итәләр,0.44382352941176473,0.45999999999999996,0.08138560018181974,6
суктырырга,2,суктырырга,0.8050000000000002,0.8050000000000002,NA,10
шикәрсез,1,шикәрсез,0.6100000000000001,0.6100000000000001,NA,8
калгансың,1,калгансың,0.6199999999999999,0.6199999999999999,NA,9
әгәр,43,әгәр,0.3213953488372093,0.31999999999999984,0.03956633495899785,4
ычкындырсаң,3,ычкындырсаң,0.7199999999999999,0.7199999999999998,NA,11
шул,526,шул,0.25815589353612167,0.25,0.05945428663356861,3
вакыт,128,вакыт,0.379375,0.3650000000000001,0.0800561326507845,5
һәлак,18,һәлак,0.3355555555555556,0.33999999999999986,NA,5
булырсың,21,булырсың,0.5361904761904762,0.53,0.06152631573842752,8
авыл,189,авыл,0.32587301587301587,0.32,0.05485820839647105,4
кырыенда,4,кырыенда,0.48500000000000004,0.42500000000000004,NA,8
өйдә,34,өйдә,0.301764705882353,0.28000000000000014,0.06586396802301714,4
фәкать,7,фәкать,0.4057142857142857,0.40000000000000013,NA,6
сүнми,2,сүнми,0.42500000000000004,0.42500000000000004,NA,5
тора,291,тора,0.26553264604810994,0.27,0.059244743698365576,4
тукаебыз,4,тукаебыз,0.665,0.675,NA,8
йорты,22,йорты,0.3504545454545454,0.355,0.08444886956169358,5
булган,234,булган,0.4005555555555555,0.41000000000000003,0.0729368002321884,6
болгар,26,болгар,0.42307692307692313,0.42999999999999994,0.0729999594714972,6
номерлары,5,номерлары,0.52,0.5,NA,9
турында,116,турында,0.3807758620689655,0.355,0.07403576561212884,7
фикеремне,2,фикеремне,0.5699999999999998,0.5699999999999998,NA,9
әйтәсем,2,әйтәсем,0.48999999999999977,0.48999999999999977,NA,7
килә,277,килә,0.32256317689530684,0.33000000000000007,0.06409267163581467,4
алтының,1,алтының,0.45000000000000007,0.45000000000000007,NA,7
мактанма,3,мактанма,0.63,0.6200000000000001,NA,8
акылың,12,акылың,0.45333333333333337,0.46,NA,6
мактан,2,мактан,0.5299999999999998,0.5299999999999998,NA,6
вәлинең,11,вәлинең,0.5081818181818183,0.5,NA,7
сүзне,31,сүзне,0.35193548387096774,0.34999999999999987,0.04720711775464955,5
ишеткәч,12,ишеткәч,0.5525000000000001,0.515,NA,7
куркуыннан,3,куркуыннан,0.6833333333333335,0.6699999999999999,NA,10
башыннан,20,башыннан,0.508,0.49499999999999994,0.05853204250664765,8
төтен,20,төтен,0.3135,0.31000000000000005,0.054247119739208274,5
чыга,201,чыга,0.34029850746268653,0.3500000000000001,0.06505191533932432,4
әйдәгез,12,әйдәгез,0.5,0.47000000000000003,NA,7
утырыгыз,2,утырыгыз,0.6750000000000002,0.6750000000000002,NA,8
алырмын,5,алырмын,0.4879999999999999,0.48,NA,7
хәзер,341,хәзер,0.36381231671554254,0.3500000000000001,0.06296309928647832,5
үк,49,үк,0.14448979591836736,0.1200000000000001,0.0649979975983498,2
атаңның,7,атаңның,0.48285714285714293,0.4700000000000002,NA,7
өенә,84,өенә,0.34678571428571425,0.33000000000000007,0.052534811911579486,4
кайтып,228,кайтып,0.34149122807017546,0.33000000000000007,0.06295685596126072,6
китәрбез,3,китәрбез,0.6066666666666666,0.6199999999999997,NA,8
азактагы,1,азактагы,0.5599999999999999,0.5599999999999999,NA,8
хәрефе,1,хәрефе,0.3900000000000001,0.3900000000000001,NA,6
генә,451,генә,0.21252771618625277,0.20000000000000018,0.04950572552046355,4
кырылып,4,кырылып,0.36750000000000005,0.36,NA,7
төште,45,төште,0.37288888888888894,0.3600000000000003,0.08090109797969981,5
нык,36,нык,0.2313888888888889,0.20999999999999996,0.08127979036013597,3
һәм,695,һәм,0.2186906474820144,0.20999999999999996,0.046739881592013505,3
уңайлы,6,уңайлы,0.44333333333333336,0.42500000000000027,NA,6
булуы,22,булуы,0.3613636363636364,0.34499999999999975,0.06545612371834585,5
зур,331,зур,0.23960725075528702,0.22999999999999954,0.05814995051596888,3
әһәмияткә,1,әһәмияткә,0.5899999999999999,0.5899999999999999,NA,9
ия,25,ия,0.29119999999999996,0.2899999999999996,0.058056524181180506,2
дип,469,дип,0.18752665245202557,0.17999999999999994,0.05091342450648248,3
белдерде,15,белдерде,0.4726666666666665,0.45999999999999996,NA,8
рөстәм,38,рөстәм,0.36921052631578943,0.355,0.06538877977738708,6
аерым,62,аерым,0.37483870967741933,0.375,0.05595914222301007,5
алганда,16,алганда,0.5349999999999999,0.5349999999999999,NA,7
түбәндәгеләрне,1,түбәндәгеләрне,0.69,0.69,NA,14
сөйләде,12,сөйләде,0.5049999999999999,0.515,NA,7
җирдә,81,җирдә,0.3554320987654321,0.34999999999999987,0.06150478015581337,5
миңа,192,миңа,0.27963541666666664,0.27,0.04941714863276771,4
аларда,45,аларда,0.4620000000000001,0.45999999999999996,0.06820231341791534,6
радиокүзәнәкләр,4,радиокүзәнәкләр,0.9324999999999999,0.925,NA,15
анда,138,анда,0.31456521739130433,0.31499999999999995,0.06680188712531605,4
үсә,24,үсә,0.3458333333333334,0.3599999999999999,0.05574620066774868,3
миләш,4,миләш,0.4475,0.43500000000000005,NA,5
тырышсаң,3,тырышсаң,0.6266666666666665,0.6599999999999999,NA,8
морадыңа,3,морадыңа,0.5266666666666667,0.53,NA,8
ирешерсең,3,ирешерсең,0.6866666666666665,0.6799999999999997,NA,9
айсылу,6,айсылу,0.5599999999999999,0.54,NA,6
элеккеге,7,элеккеге,0.5000000000000001,0.4700000000000002,NA,8
образымны,1,образымны,0.54,0.54,NA,9
тудыру,4,тудыру,0.41500000000000004,0.42500000000000004,NA,6
бары,56,бары,0.2983928571428572,0.28999999999999987,0.06073292781027573,4
тик,148,тик,0.21662162162162163,0.20999999999999996,0.047711889476003175,3
эш,220,эш,0.23395454545454544,0.20999999999999996,0.07971139833670833,2
булганын,8,булганын,0.5112500000000001,0.5049999999999999,NA,8
аңлый,17,аңлый,0.3447058823529412,0.3200000000000003,NA,5
ай,145,ай,0.22951724137931034,0.2200000000000002,0.06143492250125199,2
аллам,10,аллам,0.406,0.365,NA,5
нинди,176,нинди,0.29494318181818185,0.28,0.061671759036071826,5
хикмәтле,4,хикмәтле,0.5225000000000001,0.5150000000000001,NA,8
кунак,33,кунак,0.33848484848484844,0.33000000000000007,0.06656603975917048,5
булды,215,булды,0.3615813953488372,0.3700000000000001,0.07295944479023611,5
чыннан,39,чыннан,0.40974358974358976,0.40000000000000013,0.05366024071197954,6
шулай,573,шулай,0.3553403141361256,0.3400000000000001,0.08034891883973662,5
мунча,18,мунча,0.35555555555555557,0.33000000000000007,NA,5
пәрие,9,пәрие,0.42999999999999994,0.3799999999999999,NA,5
баш,74,баш,0.2917567567567568,0.28,0.07743101739190981,3
тыккысыз,2,тыккысыз,0.76,0.76,NA,8
мин,772,мин,0.2076036269430052,0.19999999999999998,0.055606252558798176,3
шат,18,шат,0.37555555555555553,0.3799999999999999,NA,3
актерлар,9,актерлар,0.62,0.6200000000000001,NA,8
мәгълүмат,21,мәгълүмат,0.48857142857142855,0.48,0.04074142787849037,9
бай,62,бай,0.25806451612903225,0.2549999999999999,0.061246164058352634,3
моңа,141,моңа,0.2784397163120568,0.27,0.04849923137423058,4
ничек,247,ничек,0.33437246963562756,0.31999999999999995,0.07754005711020553,5
карыйсыз,8,карыйсыз,0.6225,0.6050000000000001,NA,8
сак,13,сак,0.30307692307692313,0.30999999999999994,NA,3
булыгыз,42,булыгыз,0.5516666666666666,0.5599999999999999,0.07230611732885821,7
сиңа,153,сиңа,0.3242483660130719,0.3099999999999996,0.07034641464129954,4
уңаена,1,уңаена,0.5599999999999999,0.5599999999999999,NA,6
