frequency,word,meanDuration,medianDuration,stDevDuration,n_characters
4,bayanlar,0.5674999999999999,0.5599999999999999,NA,8
4,sekizlide,0.6775,0.6100000000000001,NA,9
4,rumenler,0.595,0.5850000000000001,NA,8
145,son,0.2936551724137931,0.28000000000000025,0.061619506664144647,3
4,şampiyondular,0.9424999999999997,0.9049999999999996,NA,13
40,avrupa,0.43050000000000005,0.41999999999999993,0.0742466437124541,6
7,komisyonu,0.6642857142857144,0.69,NA,9
12,anlaşmaya,0.5808333333333334,0.56,NA,9
8,yeşil,0.4375,0.47000000000000003,NA,5
4,ışık,0.2925,0.29499999999999993,NA,4
4,yaktı,0.4675,0.47,NA,5
97,projenin,0.5672164948453607,0.55,0.1700596847925827,8
1105,iki,0.23624434389140272,0.22999999999999998,0.06431012121943515,3
691,bin,0.19030390738060782,0.17999999999999994,0.05775054023776512,3
746,on,0.20455764075067023,0.20000000000000018,0.04860889002911621,2
138,yılında,0.3602173913043478,0.33999999999999986,0.08739095304113009,7
34,tamamlanması,0.7411764705882353,0.7450000000000001,0.08223265980546252,12
8,düşünülüyor,0.68875,0.7150000000000001,NA,11
37,tabii,0.3318918918918919,0.32000000000000006,0.053997831120941905,5
94,ki,0.2224468085106383,0.23999999999999988,0.08910168372970463,2
3,menünün,0.4566666666666667,0.47,NA,7
22,başında,0.4227272727272728,0.3999999999999999,0.06881180810780176,7
17,balık,0.3547058823529412,0.3500000000000001,NA,5
197,yer,0.1881725888324873,0.18000000000000016,0.049741276128752614,3
103,alıyor,0.4396116504854368,0.4400000000000004,0.06313574435988414,6
130,türkiye,0.47823076923076924,0.45999999999999996,0.09239672956908491,7
110,ile,0.20827272727272725,0.19000000000000006,0.07587845291218684,3
631,çok,0.24779714738510303,0.24,0.04692510132867924,3
200,iyi,0.1946,0.18000000000000016,0.06735371268954167,3
4,geleneksel,0.6275,0.6399999999999999,NA,10
21,ilişkiler,0.5390476190476191,0.5500000000000003,0.08294002422864134,9
554,var,0.2917328519855596,0.29000000000000004,0.08314279381232254,3
3104,bu,0.15668492268041237,0.1399999999999999,0.07698597972726601,2
26,alanda,0.3796153846153846,0.3800000000000001,0.060826360682241655,6
2765,bir,0.18186980108499096,0.16999999999999993,0.07492503037501576,3
4,aksama,0.4225,0.415,NA,6
385,mı,0.17729870129870132,0.17999999999999994,0.06322888830287399,2
17,partinin,0.5100000000000001,0.5,NA,8
153,hükümet,0.5041176470588234,0.5,0.09054316658632984,7
4,gündemini,0.46749999999999997,0.45999999999999996,NA,9
4,sunmak,0.49250000000000005,0.5149999999999999,NA,6
462,fakat,0.4318181818181818,0.41000000000000003,0.08987183845712284,5
4,görevinin,0.5125,0.47499999999999987,NA,9
11,kendisine,0.5472727272727271,0.53,NA,9
4,uydurulması,0.6325000000000002,0.6350000000000002,NA,11
97,gerekiyor,0.6020618556701031,0.6000000000000005,0.08078956905042853,9
15,yunanistan'da,0.7246666666666666,0.7,NA,13
25,hayat,0.34480000000000005,0.32000000000000006,0.06940941338656213,5
149,artık,0.4065771812080537,0.3999999999999999,0.07970190926602308,5
4,zorlaşmıştı,0.7750000000000001,0.7650000000000001,NA,11
465,daha,0.23427956989247312,0.22999999999999998,0.05040747019578296,4
24,net,0.2525,0.255,0.05268858468892227,3
33,ifade,0.42818181818181816,0.44999999999999996,0.07919337667438427,5
3,edelim,0.3,0.32000000000000006,NA,6
63,resmi,0.4371428571428571,0.4099999999999999,0.13731795657581233,5
14,yarışma,0.4471428571428572,0.43000000000000005,NA,7
3,programında,0.6699999999999999,0.6599999999999997,NA,11
287,dokuz,0.3643205574912892,0.33999999999999986,0.10656825037739576,5
91,film,0.2914285714285714,0.27,0.08322087650171853,4
7,davaların,0.7442857142857144,0.7300000000000001,NA,9
4,çoğunda,0.5575,0.5599999999999999,NA,7
4,iddianameler,0.8975000000000001,0.9200000000000002,NA,12
108,hala,0.4085185185185185,0.3999999999999999,0.08174287033204272,4
96,bekliyor,0.5516666666666666,0.56,0.08872982844647197,8
37,kıbrıs,0.4335135135135134,0.4099999999999999,0.09065245649108397,6
1231,da,0.14472786352558895,0.11999999999999988,0.07346966540816599,2
152,buna,0.2417105263157895,0.22999999999999998,0.0559182979659009,4
14,istisna,0.5928571428571426,0.5599999999999999,NA,7
12,olamaz,0.6074999999999999,0.585,NA,6
31,bakan,0.39451612903225797,0.3899999999999999,0.06201283252561088,5
154,şu,0.21350649350649348,0.20999999999999996,0.04348438931871443,2
37,ana,0.22216216216216217,0.22999999999999987,0.046555530470798176,3
500,kadar,0.31342,0.30000000000000027,0.05830353509358431,5
19,yorum,0.2884210526315789,0.28000000000000025,NA,5
11,yapmadı,0.5272727272727273,0.5,NA,7
213,durum,0.30685446009389666,0.2899999999999999,0.07734974747988779,5
4,değişmek,0.435,0.42500000000000004,NA,8
15,üzere,0.332,0.32000000000000006,NA,5
24,sc,0.5337500000000001,0.54,0.10383148973634908,2
4,vatandaşlarının,0.8675,0.8500000000000001,NA,15
11,tepkileri,0.5445454545454544,0.5099999999999998,NA,9
70,karışık,0.48414285714285715,0.48,0.07830621529634327,7
405,oldu,0.37911111111111107,0.38000000000000034,0.07800228481040518,4
187,ülke,0.340427807486631,0.31999999999999995,0.10202692495677199,4
540,için,0.28111111111111114,0.27,0.06937480325845287,4
4,otoyol,0.5775000000000001,0.5950000000000001,NA,6
4,insanın,0.48750000000000004,0.49,NA,7
4,damarları,0.515,0.52,NA,9
4,gibidir,0.5624999999999999,0.5249999999999999,NA,7
63,bölgede,0.4585714285714287,0.44999999999999984,0.08741552867985118,7
10,geleceğe,0.43200000000000005,0.425,NA,8
18,yönelik,0.40722222222222215,0.3899999999999999,NA,7
22,özelleştirme,0.7354545454545455,0.745,0.10613231960185014,12
35,çalışmaları,0.6488571428571429,0.6600000000000001,0.07375521630890326,11
44,açısından,0.5302272727272729,0.5100000000000001,0.08953338045469307,9
87,neler,0.3705747126436781,0.3400000000000001,0.09822087498768628,5
40,yapılması,0.49375,0.4849999999999999,0.07879501155627712,9
52,yıldır,0.3221153846153847,0.31499999999999995,0.08945009647100838,6
23,süren,0.327391304347826,0.33000000000000007,0.04013810152057379,5
8,savaşı,0.4575,0.43000000000000016,NA,6
50,kazandı,0.5588000000000001,0.5599999999999998,0.07460480916817903,7
3,i̇halede,0.5,0.5,NA,8
139,sadece,0.4835971223021583,0.49,0.08265527499447613,6
8,rakip,0.3675000000000001,0.3700000000000001,NA,5
13,i̇talyan,0.5069230769230769,0.5100000000000002,NA,8
3,air,0.27333333333333326,0.29000000000000004,NA,3
3,one,0.21666666666666648,0.21999999999999975,NA,3
55,vardı,0.44636363636363635,0.43999999999999995,0.07053666334198742,5
10,bilgiler,0.4870000000000001,0.485,NA,8
267,olarak,0.3683520599250937,0.3600000000000001,0.06644221035734234,6
10,doğrulanmış,0.735,0.7149999999999999,NA,11
546,değil,0.36974358974358973,0.3700000000000001,0.06832416127461123,5
4,saldırganların,0.9524999999999999,0.9599999999999999,NA,14
8,hiçbiri,0.41375000000000006,0.4,NA,7
8,tespit,0.44374999999999987,0.43999999999999984,NA,6
6,edilemedi,0.6,0.6100000000000001,NA,9
900,ancak,0.4537888888888889,0.43999999999999995,0.08677884058572427,5
12,kara,0.30583333333333335,0.265,NA,4
3,mayını,0.27,0.27,NA,6
59,sorunu,0.40440677966101696,0.3999999999999999,0.0660791371541489,6
44,engel,0.3434090909090909,0.3400000000000001,0.05921750141278289,5
11,yasanın,0.42090909090909084,0.4099999999999999,NA,7
4,geçirilmesi,0.6500000000000001,0.6649999999999999,NA,11
8,engellendi,0.755,0.7300000000000001,NA,10
194,yaklaşık,0.5548453608247422,0.5499999999999998,0.08416137228315707,8
286,otuz,0.318006993006993,0.31999999999999984,0.05314541408856991,4
7,aileyi,0.3385714285714286,0.33000000000000007,NA,6
28,alan,0.2767857142857143,0.265,0.05149998715775257,4
266,büyük,0.28770676691729324,0.27,0.07607595826366007,5
3,ahırdı,0.47333333333333333,0.43999999999999995,NA,6
71,ülkenin,0.44788732394366204,0.43999999999999995,0.07383215507308735,7
19,anki,0.27789473684210525,0.29000000000000004,NA,4
15,nüfusu,0.5193333333333333,0.5,NA,6
139,yetmiş,0.39208633093525186,0.3799999999999999,0.07747346268560856,6
270,milyon,0.34725925925925927,0.33999999999999986,0.07754533035375058,6
31,priştine,0.5858064516129031,0.56,0.11017483661733252,8
51,belgrad,0.522156862745098,0.52,0.07857006364997282,7
4,diyaloğu,0.3550000000000001,0.3500000000000002,NA,8
4,kurtarılabilir,0.7799999999999999,0.7599999999999998,NA,14
437,mi,0.18096109839816935,0.1899999999999995,0.06143162714326922,2
40,siz,0.30225,0.28,0.07950124978859588,3
12,meseleyi,0.4599999999999999,0.44000000000000006,NA,8
269,nasıl,0.32022304832713755,0.3199999999999994,0.05950625882986395,5
33,değerlendiriyorsunuz,1.2021212121212121,1.2000000000000002,0.1440650368704525,20
515,ise,0.29792233009708735,0.27,0.09603295572874852,3
