word,frequency,n_characters
و,710,1
في,652,2
من,544,2
ب,536,1
ل,442,1
ه,309,1
أن,293,2
ها,275,2
على,213,3
إلى,198,3
عام,129,3
كان,113,3
التي,100,4
هم,98,2
ما,86,2
مع,85,2
عن,76,2
خلال,73,4
ذلك,71,3
هذا,69,3
كانت,67,4
الذي,65,4
لكن,65,3
بعد,62,3
س,62,1
لا,61,2
لم,57,2
بين,54,3
ك,53,1
قد,52,2
قبل,52,3
غير,46,3
كل,45,2
هذه,44,3
يمكن,43,4
أكثر,39,4
هو,37,2
إن,37,2
أو,35,2
نا,33,2
يكون,31,4
الأول,30,5
مثل,30,3
ف,30,1
هناك,30,4
عندما,29,5
حتى,27,3
حيث,27,3
الخاصة,26,6
علي,26,3
هي,25,2
الوقت,24,5
الذين,24,5
نحو,22,3
اسم,22,3
كما,21,3
أحد,21,3
العديد,21,6
قال,21,3
القرن,20,5
ذات,20,3
كبيرة,20,5
المتحدة,20,7
البحر,19,5
هما,19,3
الأمر,19,5
يوم,19,3
بعض,18,3
عند,17,3
لدي,17,3
الحرب,17,5
تشرين,17,5
أجل,17,3
الثاني,17,6
إذا,17,3
تكون,17,4
سبب,16,3
العام,16,5
شأن,16,3
النسبة,16,6
شركة,16,4
العالم,16,6
دون,15,3
منذ,15,3
وضع,15,3
الأولى,15,6
فقط,15,3
تلك,15,3
الكثير,15,6
الصين,15,5
أي,15,2
منطقة,15,5
نهاية,14,5
سي,14,2
عمل,14,3
المنطقة,14,7
أول,14,3
إحدى,14,4
جنوب,13,4
ي,13,1
أخرى,13,4
تم,13,2
يكن,13,3
كانوا,13,5
المدينة,13,7
عدة,13,3
العمل,12,5
شكل,12,3
كبير,12,4
نفس,12,3
استخدام,12,7
بي,12,2
عشر,12,3
أكبر,12,4
حول,12,3
فترة,12,4
الجديدة,12,7
الدول,11,5
مدينة,11,5
بدأت,11,4
البريطانية,11,10
قالت,11,4
مجلس,11,4
أفضل,11,4
م,11,1
كانون,11,5
الناس,11,5
إسترليني,11,8
مرة,11,3
جنيه,11,4
جديدة,11,5
تحت,11,3
ترامب,11,5
حلول,11,4
ضد,10,2
بدأ,10,3
الثالث,10,6
الحكومة,10,7
يقول,10,4
فيلم,10,4
الولايات,10,8
ليس,10,3
المتوسط,10,7
بات,9,3
التالي,9,6
نيسان,9,5
وجود,9,4
الرغم,9,5
الجيش,9,5
الشمالية,9,8
دولار,9,5
الأراضي,9,7
الأمريكية,9,9
عبر,9,3
الإنترنت,9,8
المطاف,8,6
ثلاث,8,4
سنوات,8,5
مما,8,3
تحقيق,8,5
إنتاج,8,5
تاريخ,8,5
يعمل,8,4
نهر,8,3
ثم,8,2
ثمة,8,3
المحيط,8,6
تكن,8,3
حيات,8,4
الميلاد,8,7
فرنسا,8,5
برنامج,8,6
الأرض,8,5
بطولة,8,5
حكم,8,3
حماية,8,5
زيادة,8,5
الكبير,8,6
سلالة,8,5
أصبح,8,4
الاتحاد,8,7
الخاص,8,5
مليون,8,5
الوطني,8,6
تقول,8,4
منع,8,3
دي,8,2
وسع,8,3
الفعل,8,5
أمام,8,4
فيما,8,4
شمال,7,4
حدث,7,3
الأكثر,7,6
أفريقيا,7,7
جزيرة,7,5
الملكية,7,7
الكبيرة,7,7
القديمة,7,7
الانتقال,7,8
روسيا,7,5
ترك,7,3
الجمهور,7,7
الجزر,7,5
تضم,7,3
الجنوبية,7,8
فعل,7,3
نسبة,7,4
النمو,7,5
الأمريكي,7,8
يعود,7,4
الفيلم,7,6
هونغ,7,4
أدى,7,3
إلي,7,3
الإمبراطور,7,10
الإمبراطورية,7,12
خاصة,7,4
الشركات,7,7
تشكل,7,4
العصر,7,5
جانب,7,4
الشرطة,7,6
المناطق,7,7
شرطة,7,4
المزيد,7,6
الشركة,7,6
مرات,7,4
لن,7,2
اليوم,7,5
الماضي,7,6
مجال,7,4
الأخيرة,7,7
يورو,7,4
الأسبوع,7,7
