,word,frequency,n_characters
के,के,998,2
में,में,825,3
है,है,533,2
की,की,509,2
और,और,438,2
से,से,398,2
को,को,371,2
का,का,319,2
ने,ने,255,2
एक,एक,229,2
कि,कि,211,2
पर,पर,200,2
हैं,हैं,193,3
था,था,190,2
किया,किया,165,4
लिए,लिए,146,3
गया,गया,144,3
करने,करने,126,4
नहीं,नहीं,124,4
यह,यह,104,2
कर,कर,99,2
जो,जो,99,2
इस,इस,97,2
रूप,रूप,93,3
साथ,साथ,86,3
तक,तक,86,2
बाद,बाद,82,3
भी,भी,80,2
हो,हो,77,2
थी,थी,72,2
वह,वह,70,2
लेकिन,लेकिन,69,5
अपने,अपने,68,4
दिया,दिया,67,4
थे,थे,62,2
कहा,कहा,61,3
वर्ष,वर्ष,59,4
उसने,उसने,57,4
हुए,हुए,56,3
उसके,उसके,55,4
गयी,गयी,52,3
ही,ही,52,2
कई,कई,52,2
लोगों,लोगों,52,5
द्वारा,द्वारा,49,6
वाले,वाले,48,4
ज्यादा,ज्यादा,48,6
समय,समय,47,3
पहले,पहले,46,4
गए,गए,44,2
क्षेत्र,क्षेत्र,42,7
जाता,जाता,42,4
उसे,उसे,42,3
अपनी,अपनी,42,4
होने,होने,41,4
कम,कम,41,2
या,या,40,2
बहुत,बहुत,38,4
सकता,सकता,38,4
करते,करते,37,4
तरह,तरह,37,3
तो,तो,36,2
दो,दो,36,2
शुरू,शुरू,36,4
हुआ,हुआ,35,3
बीच,बीच,34,3
काम,काम,33,3
कारण,कारण,33,4
इसके,इसके,33,4
रहा,रहा,33,3
उसकी,उसकी,32,4
जब,जब,32,2
लिया,लिया,32,4
सबसे,सबसे,31,4
लगभग,लगभग,30,4
बारे,बारे,30,4
वे,वे,28,2
हुई,हुई,28,3
दी,दी,28,2
साल,साल,28,3
रहे,रहे,28,3
होता,होता,28,4
कुछ,कुछ,28,3
जाने,जाने,28,4
उसका,उसका,27,4
करता,करता,26,4
उस,उस,26,2
जा,जा,26,2
केवल,केवल,25,4
युद्ध,युद्ध,25,5
बार,बार,25,3
करना,करना,24,4
प्रति,प्रति,24,5
शामिल,शामिल,24,5
नये,नये,23,3
तौर,तौर,23,3
कोई,कोई,22,3
फिर,फिर,22,3
प्राप्त,प्राप्त,22,7
इसका,इसका,22,4
वहां,वहां,22,4
मैं,मैं,22,3
जिसमें,जिसमें,22,6
किए,किए,22,3
व्यक्ति,व्यक्ति,22,7
उपयोग,उपयोग,21,5
पूर्व,पूर्व,21,5
दिन,दिन,21,3
जैसे,जैसे,21,4
अमेरिका,अमेरिका,21,7
शहर,शहर,21,3
होती,होती,21,4
किसी,किसी,21,4
उन्हें,उन्हें,20,6
