word,frequency,n_characters
の,1753,1
に,1162,3
は,1157,3
た,918,4
を,851,3
が,681,5
て,637,1
と,587,2
で,585,3
し,548,1
こと,214,4
いる,212,3
ある,202,4
年,201,6
さ,201,2
れ,198,2
な,196,4
する,193,3
い,161,2
も,155,3
彼,144,8
的,117,8
ない,110,6
から,107,5
その,100,2
この,95,3
か,85,3
人,83,2
者,79,8
や,77,3
だ,74,6
それ,72,3
ます,68,5
ため,67,6
まし,66,4
月,66,4
よう,64,4
より,62,4
ら,59,2
なっ,57,5
あり,55,5
これ,54,4
れる,53,3
私,53,7
あっ,51,4
彼女,51,11
まで,50,6
なる,49,5
日,49,4
後,47,9
つ,44,1
しかし,42,5
また,40,7
なかっ,39,8
られ,39,4
多く,37,7
もの,37,4
へ,36,1
いう,36,4
性,35,8
たち,35,6
前,34,9
中,33,4
間,33,12
つい,32,3
できる,31,7
海,29,10
可能,28,15
必要,28,14
地域,27,17
でき,27,6
なく,27,5
よる,26,3
家,26,10
ず,25,4
州,24,6
だろう,24,9
など,24,8
世界,24,14
ば,24,5
一,24,1
映画,24,17
時,23,10
人々,23,5
さらに,23,7
政府,22,17
歴史,22,19
述べ,22,11
都市,22,15
新しい,21,16
地,21,6
だっ,21,7
化,21,4
言っ,21,8
考え,20,8
支配,20,14
です,20,5
大,20,3
英国,20,16
何,20,7
最も,19,15
戦争,19,19
せ,19,3
第,19,11
対する,19,10
おり,19,5
代,19,5
他,19,5
影響,18,35
約,18,9
国,18,8
万,18,3
受け,18,11
投資,18,20
米国,18,14
なり,18,6
よっ,18,3
対し,18,8
達,18,12
発生,17,14
不,17,4
使用,17,13
投票,17,18
数,17,13
中国,17,12
おい,17,5
以上,17,7
世紀,17,14
大統領,17,29
なら,16,6
世,16,5
せる,16,4
だけ,16,9
党,16,10
今,16,4
大きな,16,10
時代,15,15
問題,15,29
川,15,3
高い,15,12
および,15,8
ほとんど,15,11
上,15,3
アメリカ,15,8
知ら,15,10
語,15,14
企業,15,19
関係,15,23
研究,15,16
氏,15,4
成長,15,14
次,15,6
フランス,15,7
最初,14,19
調査,14,24
自分,14,10
ローマ,14,6
非常,14,19
場合,14,18
見,14,7
選挙,14,25
国家,14,18
ヨーロッパ,14,13
一部,14,11
一方,13,5
現在,13,17
そこ,13,3
経済,13,22
警察,13,33
時間,13,22
紀元,13,13
そして,13,3
共和,13,14
スペイン,13,8
始め,12,10
ポンド,12,11
労働,12,20
語っ,12,15
所,12,8
計画,12,17
保護,12,29
る,12,1
オーストラリア,12,14
軍,12,9
年間,12,18
システム,12,10
すべて,12,6
目的,12,13
おけ,12,6
行動,12,17
度,12,9
べき,11,6
増加,11,19
完全,11,13
ギリシャ,11,12
会,11,6
トランプ,11,8
学校,11,18
結果,11,20
設立,11,16
際,11,13
地区,11,10
力,11,2
歳,11,13
持っ,11,10
戻っ,11,8
本,11,5
ところ,11,5
名前,11,15
自身,11,13
ロシア,11,8
様々,11,17
最高,11,22
ん,11,1
誰,10,15
政治,10,17
同じ,10,9
地中,10,10
ほど,10,8
南,10,9
き,10,3
法律,10,17
でし,10,4
市,10,5
最終,10,23
期間,10,24
気候,10,16
利用,10,12
ドル,10,6
重要,10,18
系,10,7
院,10,9
建設,10,19
ませ,10,6
女性,10,11
どう,10,6
事件,10,14
含ま,10,10
なけれ,9,9
しか,9,4
全て,9,7
自由,9,11
同,9,6
特に,9,13
帝国,9,17
下,9,3
場,9,12
部,9,10
宣言,9,16
報告,9,19
初めて,9,10
とっ,9,3
平均,9,12
最後,9,21
島,9,10
最近,9,19
頃,9,11
ながら,9,11
植民,9,17
得,9,11
点,9,9
多数,9,19
独立,9,14
レベル,9,6
技術,9,18
億,9,15
方法,9,12
提供,9,20
成功,9,11
ドイツ,9,9
男性,9,15
作品,9,16
ユーロ,9,6
しれ,9,3
体,9,7
監督,9,27
与え,8,5
開始,8,20
勝利,8,19
民族,8,16
実際,8,21
人間,8,14
理由,8,16
情報,8,23
データ,8,9
インド,8,8
二,8,2
イタリア,8,9
意味,8,21
機,8,16
移動,8,22
契約,8,18
決定,8,15
られる,8,5
新た,8,17
持つ,8,10
理解,8,24
かけ,8,6
貿易,8,20
地方,8,10
発表,8,17
小さな,8,9
教,8,11
教育,8,19
大陸,8,13
線,8,15
水,8,4
教会,8,17
関する,8,17
開発,8,21
分,8,4
移行,8,17
明らか,8,13
人口,8,5
関し,7,15
旧,7,5
境界,7,23
天皇,7,13
説明,7,22
革命,7,17
種,7,14
市場,7,17
イギリス,7,11
航空,7,18
ゲーム,7,8
自然,7,18
修道,7,21
のみ,7,2
いく,7,3
状態,7,21
土地,7,9
役,7,7
社会,7,13
見る,7,8
素晴らしい,7,27
エリア,7,7
すぐ,7,5
地球,7,17
協定,7,16
変化,7,13
代表,7,13
上昇,7,11
王国,7,12
常,7,11
条約,7,16
主義,7,18
アルバム,7,10
たい,7,6
音楽,7,22
現代,7,16
北京,7,13
適切,7,18
活動,7,20
しよう,7,5
子供,7,11
会社,7,13
行わ,7,8
要求,7,16
エジプト,7,12
妻,7,8
公,7,4
とも,7,5
写真,7,15
アフリカ,7,7
香港,7,21
大学,7,11
破壊,7,26
北部,7,15
先住,7,13
カリブ,7,7
裁判,7,19
大半,6,8
方,6,4
部分,6,14
最大,6,15
使う,6,10
内,6,4
学,6,8
続く,6,14
出版,6,13
長,6,8
平和,6,13
役割,6,19
連邦,6,16
パリ,6,5
得る,6,12
最新,6,25
当時,6,16
物,6,8
自治,6,14
アジア,6,9
お,6,3
官,6,8
人生,6,7
名,6,6
量,6,12
王,6,4
少なく,6,9
再び,6,9
認め,6,16
場所,6,20
制限,6,16
機能,6,26
議論,6,35
批判,6,14
文化,6,8
資金,6,21
一人,6,3
信じ,6,12
フォン,6,6
文明,6,12
戦い,6,15
オスマン,6,9
銀行,6,20
期,6,12
始まっ,6,12
既に,6,12
クリントン,6,10
まだ,6,9
あろう,6,6
状況,6,15
公開,6,16
統治,6,20
率,6,11
冬,6,5
国際,6,21
発電,6,22
向け,6,9
予定,6,12
山脈,6,13
家族,6,21
示し,6,6
形成,6,13
一般,6,11
思わ,6,11
伝統,6,18
かかわら,6,10
含む,6,10
書,6,10
とき,6,5
専門,6,17
科学,6,17
責任,6,17
獲得,6,27
金,6,8
ポロニウム,6,15
警告,6,26
アルバニア,6,12
主に,6,8
