,word,frequency,length
の,の,1753,1
に,に,1162,3
は,は,1157,3
た,た,918,4
を,を,851,3
が,が,681,5
て,て,637,1
と,と,587,2
で,で,585,3
し,し,548,1
こと,こと,214,4
いる,いる,212,3
ある,ある,202,4
さ,さ,201,2
年,年,201,6
れ,れ,198,2
な,な,196,4
する,する,193,3
い,い,161,2
も,も,155,3
彼,彼,144,8
的,的,117,8
ない,ない,110,6
から,から,107,5
その,その,100,2
この,この,95,3
か,か,85,3
人,人,83,2
者,者,79,8
や,や,77,3
だ,だ,74,6
それ,それ,72,3
ます,ます,68,5
ため,ため,67,6
月,月,66,4
まし,まし,66,4
よう,よう,64,4
より,より,62,4
ら,ら,59,2
なっ,なっ,57,5
あり,あり,55,5
これ,これ,54,4
れる,れる,53,3
私,私,53,7
あっ,あっ,51,4
彼女,彼女,51,11
まで,まで,50,6
なる,なる,49,5
日,日,49,4
後,後,47,9
つ,つ,44,1
しかし,しかし,42,5
また,また,40,7
られ,られ,39,4
なかっ,なかっ,39,8
もの,もの,37,4
多く,多く,37,7
いう,いう,36,4
へ,へ,36,1
たち,たち,35,6
性,性,35,8
前,前,34,9
中,中,33,4
間,間,33,12
つい,つい,32,3
できる,できる,31,7
海,海,29,10
可能,可能,28,15
必要,必要,28,14
地域,地域,27,17
なく,なく,27,5
でき,でき,27,6
よる,よる,26,3
家,家,26,10
ず,ず,25,4
など,など,24,8
州,州,24,6
ば,ば,24,5
だろう,だろう,24,9
映画,映画,24,17
一,一,24,1
世界,世界,24,14
さらに,さらに,23,7
時,時,23,10
人々,人々,23,5
政府,政府,22,17
歴史,歴史,22,19
述べ,述べ,22,11
都市,都市,22,15
言っ,言っ,21,8
だっ,だっ,21,7
地,地,21,6
化,化,21,4
新しい,新しい,21,16
支配,支配,20,14
です,です,20,5
何,何,20,7
考え,考え,20,8
大,大,20,3
英国,英国,20,16
他,他,19,5
対する,対する,19,10
代,代,19,5
第,第,19,11
おり,おり,19,5
戦争,戦争,19,19
最も,最も,19,15
せ,せ,19,3
受け,受け,18,11
国,国,18,8
達,達,18,12
約,約,18,9
影響,影響,18,35
万,万,18,3
投資,投資,18,20
米国,米国,18,14
なり,なり,18,6
よっ,よっ,18,3
対し,対し,18,8
世紀,世紀,17,14
投票,投票,17,18
中国,中国,17,12
おい,おい,17,5
使用,使用,17,13
不,不,17,4
大統領,大統領,17,29
