word,frequency,n_characters
的,1,8
在,1,6
了,1,2
一,1,1
是,1,9
和,1,8
年,1,6
個,1,10
他,1,5
這,1,10
為,1,9
於,1,8
中,1,4
有,1,6
被,1,10
人,1,2
他們,2,15
月,1,4
上,1,3
來,1,8
並,1,8
會,1,13
她,1,6
對,1,14
也,1,3
我,1,7
但,1,7
說,1,14
不,1,4
就,1,12
與,1,13
兩,1,8
而,1,6
從,1,11
次,1,6
但是,2,16
其,1,8
還,1,16
它,1,5
我們,2,17
時,1,10
都,1,10
後,1,9
著,1,11
將,1,11
該,1,13
能,1,10
位,1,7
已經,2,16
以及,2,7
到,1,8
公司,2,9
可能,2,15
這些,2,18
世紀,2,14
地區,2,17
可以,2,9
工作,2,10
美國,2,20
那,1,6
此,1,6
沒有,2,13
所,1,8
把,1,7
開始,2,20
因為,2,15
自,1,6
政府,2,17
自己,2,9
之,1,3
下,1,3
前,1,9
之後,2,12
日,1,4
多,1,6
電影,2,28
讓,1,24
英國,2,19
很多,2,15
種,1,14
地,1,6
以,1,4
認為,2,23
其他,2,13
向,1,6
之間,2,15
用,1,5
國家,2,21
最,1,12
名,1,6
第一,2,12
世界,2,14
當,1,13
由,1,5
影響,2,35
發生,2,17
過,1,11
系統,2,19
作,1,7
很,1,9
內,1,4
成,1,6
獲得,2,27
至,1,6
要,1,9
包括,2,14
一直,2,9
因,1,6
元,1,4
最後,2,21
其中,2,12
方面,2,13
同時,2,16
成功,2,11
已,1,3
進行,2,17
如果,2,14
歷史,2,21
接受,2,19
使,1,8
建立,2,13
可,1,5
通過,2,21
中國,2,15
決定,2,15
年代,2,11
正,1,5
及,1,3
更,1,7
戰爭,2,24
主要,2,14
公元,2,8
能夠,2,21
總統,2,29
所有,2,14
令,1,5
許多,2,17
三,1,3
需要,2,23
軍隊,2,20
提供,2,20
之前,2,12
稱,1,14
導致,2,25
表示,2,13
現在,2,17
或,1,8
城市,2,14
區域,2,22
發現,2,23
非常,2,19
如,1,6
當時,2,23
期間,2,24
一些,2,9
希望,2,18
研究,2,16
法國,2,19
六,1,4
不是,2,13
歐,1,15
由於,2,13
使用,2,13
一樣,2,16
新,1,13
德國,2,26
給,1,12
不同,2,10
人們,2,12
發展,2,22
經濟,2,30
只,1,5
部分,2,14
比,1,4
你,1,7
時間,2,22
特別,2,17
出現,2,16
調查,2,24
去,1,5
歐洲,2,24
重要,2,18
第二,2,13
希臘,2,26
它們,2,15
四,1,5
項,1,12
政治,2,17
只有,2,11
情況,2,19
十,1,2
根據,2,26
事件,2,14
問題,2,29
約,1,9
技術,2,18
處,1,11
得,1,11
地方,2,10
方法,2,12
獨立,2,21
超過,2,23
則,1,9
宣布,2,14
必須,2,17
人口,2,5
數據,2,31
事,1,8
代表,2,13
做,1,11
看到,2,17
曾,1,12
未,1,5
看,1,9
關於,2,27
一起,2,11
另,1,5
座,1,10
天,1,4
裡,1,12
什麼,2,18
要求,2,16
存在,2,12
所以,2,12
才,1,3
而且,2,11
歲,1,13
隨後,2,23
條約,2,19
提出,2,17
生活,2,14
擁有,2,22
市場,2,17
計劃,2,23
水平,2,9
南,1,9
幫助,2,24
想,1,13
家,1,10
全球,2,17
最高,2,22
形成,2,13
活動,2,20
起,1,10
系列,2,13
發布,2,17
進入,2,13
像,1,13
投資,2,20
特朗普,3,32
國際,2,24
保護,2,29
比賽,2,21
北部,2,15
為了,2,11
管理,2,25
任何,2,13
出,1,5
