character,frequencyTot,frequencyRet
а,262,0.22450728363324765
и,89,0.07626392459297343
р,84,0.07197943444730077
ы,77,0.06598114824335904
ә,66,0.056555269922879174
у,56,0.04798628963153385
з,43,0.03684661525278492
ь,38,0.032562125107112254
ҳ,38,0.032562125107112254
ш,36,0.030848329048843187
н,30,0.02570694087403599
л,30,0.02570694087403599
о,28,0.023993144815766924
е,25,0.021422450728363324
х,25,0.021422450728363324
ҭ,24,0.02056555269922879
г,23,0.01970865467009426
т,20,0.01713796058269066
с,18,0.015424164524421594
м,17,0.01456726649528706
ҟ,15,0.012853470437017995
д,15,0.012853470437017995
ԥ,13,0.011139674378748929
к,13,0.011139674378748929
ц,12,0.010282776349614395
ҵ,12,0.010282776349614395
п,11,0.009425878320479864
қ,10,0.00856898029134533
б,9,0.007712082262210797
ӡ,8,0.006855184233076264
ж,5,0.004284490145672665
ҿ,5,0.004284490145672665
ҩ,4,0.003427592116538132
ф,2,0.001713796058269066
ҽ,2,0.001713796058269066
в,1,0.000856898029134533
ӷ,1,0.000856898029134533
