character,frequency,frequencyRel
ا,26716,0.1290815093974972
ل,22652,0.10944581340290864
ي,14923,0.07210223703918442
ن,12359,0.05971396820795284
م,12015,0.05805189157848964
ت,10293,0.04973184519495579
ر,8782,0.04243127023240083
ب,8124,0.039252065516741555
أ,8016,0.03873025076097985
ك,7791,0.0376431366864763
ع,6689,0.03231869353046335
ه,6614,0.0319563221722955
و,6311,0.030492341885297387
د,6117,0.02955500797216988
س,5543,0.0267816591776586
ة,5128,0.02477653766246316
ف,4806,0.023220756631395854
ح,4101,0.01981446586461806
ق,4061,0.019621201140261873
ج,2932,0.0141663042953085
ذ,2549,0.01231579455959801
إ,2214,0.010697202493114944
ط,2121,0.01024786200898681
ش,1876,0.009064115572305164
ى,1827,0.008827366284968836
ص,1757,0.00848915301734551
خ,1662,0.008030149296999566
ض,1384,0.006686959462724067
ز,1077,0.005203652703290332
غ,1043,0.005039377687587573
ث,1021,0.004933082089191671
ئ,697,0.0033676378219065564
ء,656,0.003169541479441465
َ,527,0.0025462627433927624
ّ,506,0.002444798763105764
ظ,494,0.0023868193457989083
ُ,421,0.002034111223848867
آ,372,0.001797361936512538
ِ,340,0.0016427501570275885
ْ,168,0.0008117118422959849
ؤ,149,0.0007199110982267961
ً,130,0.0006281103541576074
ی,4,1.932647243561869e-05
ـ,2,9.663236217809345e-06
