character,frequency,frequencyRel
e,3880928,0.1599596140850165
n,2310683,0.09523906677805108
i,2030662,0.08369748417314307
r,1749507,0.072109161664178
s,1625909,0.06701484185672991
t,1607104,0.06623975905620676
a,1451529,0.05982744814467311
h,1127428,0.046469026941144485
d,1125029,0.04637014772612428
l,908355,0.037439528703494415
u,880315,0.03628380832451705
c,737337,0.030390706029744384
g,684263,0.02820316311270285
m,641382,0.02643574351316903
o,617701,0.02545968736856978
b,481834,0.019859678070049184
f,413776,0.017054541923385794
w,392380,0.01617266627329308
k,371671,0.015319106596822247
z,283470,0.011683739508869948
p,236064,0.009729813678420558
v,209950,0.008653476946016318
ü,149531,0.006163196290615699
ä,129925,0.00535509879595699
ö,67777,0.0027935542127656486
j,52535,0.00216532703671811
ß,41322,0.0017031625356669982
y,27811,0.0011462817211034047
x,14048,0.0005790142611937949
q,6864,0.00028291243513910933
',1260,5.1933226730081255e-05
’,578,2.38233373412595e-05
é,340,1.4013727847799705e-05
–,306,1.2612355063019734e-05
á,286,1.1788018130796223e-05
í,283,1.1664367590962694e-05
ó,196,8.078501935790418e-06
ō,136,5.6054911391198815e-06
ã,109,4.49263628061814e-06
š,96,3.956817274672858e-06
ú,60,2.473010796670536e-06
ș,58,2.3905771034481847e-06
č,56,2.3081434102258335e-06
ł,55,2.266926563614658e-06
ş,51,2.1020591771699557e-06
ř,49,2.0196254839476045e-06
ă,44,1.8135412508917264e-06
ć,43,1.7723244042805508e-06
â,40,1.648673864447024e-06
ž,38,1.5662401712246728e-06
ø,37,1.5250233246134972e-06
à,36,1.4838064780023216e-06
ʻ,35,1.442589631391146e-06
ý,35,1.442589631391146e-06
ı,34,1.4013727847799704e-06
ñ,30,1.236505398335268e-06
ô,30,1.236505398335268e-06
ā,30,1.236505398335268e-06
ū,28,1.1540717051129167e-06
ë,26,1.0716380118905657e-06
@,22,9.067706254458632e-07
/,21,8.655537788346876e-07
ě,20,8.24336932223512e-07
ʿ,18,7.419032390011608e-07
´,17,7.006863923899852e-07
æ,15,6.18252699167634e-07
ś,15,6.18252699167634e-07
ī,15,6.18252699167634e-07
å,14,5.770358525564584e-07
đ,13,5.358190059452829e-07
ə,13,5.358190059452829e-07
ț,13,5.358190059452829e-07
ê,12,4.946021593341073e-07
ń,12,4.946021593341073e-07
ň,10,4.12168466111756e-07
î,10,4.12168466111756e-07
ð,10,4.12168466111756e-07
œ,9,3.709516195005804e-07
ğ,9,3.709516195005804e-07
̇,8,3.297347728894048e-07
ą,8,3.297347728894048e-07
ò,7,2.885179262782292e-07
ç,7,2.885179262782292e-07
ė,7,2.885179262782292e-07
ę,7,2.885179262782292e-07
ï,5,2.06084233055878e-07
ż,5,2.06084233055878e-07
ź,5,2.06084233055878e-07
ů,4,1.648673864447024e-07
ő,4,1.648673864447024e-07
=,4,1.648673864447024e-07
ả,3,1.2365053983352682e-07
−,3,1.2365053983352682e-07
ġ,3,1.2365053983352682e-07
о,3,1.2365053983352682e-07
ḫ,3,1.2365053983352682e-07
а,3,1.2365053983352682e-07
и,3,1.2365053983352682e-07
ť,2,8.24336932223512e-08
õ,2,8.24336932223512e-08
ì,2,8.24336932223512e-08
‘,2,8.24336932223512e-08
ṣ,2,8.24336932223512e-08
ắ,2,8.24336932223512e-08
ế,2,8.24336932223512e-08
ď,2,8.24336932223512e-08
с,2,8.24336932223512e-08
е,2,8.24336932223512e-08
р,2,8.24336932223512e-08
ф,2,8.24336932223512e-08
м,2,8.24336932223512e-08
в,2,8.24336932223512e-08
ш,2,8.24336932223512e-08
辶,1,4.12168466111756e-08
≡,1,4.12168466111756e-08
孙,1,4.12168466111756e-08
道,1,4.12168466111756e-08
临,1,4.12168466111756e-08
無,1,4.12168466111756e-08
ồ,1,4.12168466111756e-08
‑,1,4.12168466111756e-08
ạ,1,4.12168466111756e-08
ש,1,4.12168466111756e-08
ב,1,4.12168466111756e-08
א,1,4.12168466111756e-08
נ,1,4.12168466111756e-08
ע,1,4.12168466111756e-08
カ,1,4.12168466111756e-08
ṟ,1,4.12168466111756e-08
ộ,1,4.12168466111756e-08
支,1,4.12168466111756e-08
ǔ,1,4.12168466111756e-08
尣,1,4.12168466111756e-08
幺,1,4.12168466111756e-08
乡,1,4.12168466111756e-08
þ,1,4.12168466111756e-08
ч,1,4.12168466111756e-08
к,1,4.12168466111756e-08
ứ,1,4.12168466111756e-08
ọ,1,4.12168466111756e-08
û,1,4.12168466111756e-08
ņ,1,4.12168466111756e-08
ǐ,1,4.12168466111756e-08
ṭ,1,4.12168466111756e-08
µ,1,4.12168466111756e-08
ħ,1,4.12168466111756e-08
ŏ,1,4.12168466111756e-08
ù,1,4.12168466111756e-08
臣,1,4.12168466111756e-08
„,1,4.12168466111756e-08
ễ,1,4.12168466111756e-08
ē,1,4.12168466111756e-08
