character,frequency,frequencyRel
e,43464,0.15733631614956073
n,25429,0.09205101194936452
i,23101,0.08362383212246922
t,20432,0.07396225868690927
a,19547,0.07075862718055088
r,17672,0.06397127229419836
s,15313,0.05543187486651535
d,13361,0.048365785939496614
o,13318,0.048210129267436265
l,10045,0.03636212257781929
k,9708,0.03514220865957886
m,7518,0.027214578152319105
h,7438,0.026924984343834727
f,6472,0.023428139106385904
w,6408,0.023196464059598406
j,5635,0.020398263885118135
y,5473,0.01981183642293728
g,4767,0.01725617106306267
b,4282,0.015500508599126151
p,3972,0.0143783325912492
u,3695,0.013375614029372053
c,2724,0.009860669178892955
û,1480,0.00535748545696093
z,1010,0.003656121832115229
ê,934,0.0033810077140550734
ú,909,0.0032905096489037064
â,839,0.003037115066479879
',498,0.0018027214578152319
ô,386,0.0013972901259371076
v,364,0.0013176518286039044
ë,16,5.791876169687492e-05
ä,15,5.429883909082024e-05
x,7,2.533945824238278e-05
é,5,1.8099613030273412e-05
ï,3,1.0859767818164047e-05
á,3,1.0859767818164047e-05
‘,1,3.6199226060546827e-06
q,1,3.6199226060546827e-06
ü,1,3.6199226060546827e-06
ó,1,3.6199226060546827e-06
à,1,3.6199226060546827e-06
è,1,3.6199226060546827e-06
