character,frequency,frequencyRel
e,21406,0.15146540622390783
a,15232,0.1077791772214596
o,11536,0.08162687686625249
i,11309,0.08002066144941483
t,9717,0.06875592601502908
n,9349,0.06615201732165348
r,9329,0.06601050054483959
s,9279,0.06565670860280486
l,9129,0.06459533277670068
u,5856,0.04143611225110737
c,5398,0.03819537806206926
p,4638,0.03281774054314139
m,4344,0.030737443923977186
d,4028,0.028501478850317705
v,2961,0.020951558807296607
b,1685,0.011922788446570342
h,1421,0.010054766992626975
f,1396,0.009877871021609612
g,1210,0.008561764997240423
q,1146,0.00810891131143597
j,348,0.0024623919165617084
x,321,0.002271344267862955
y,156,0.001103830859148352
k,59,0.0004174744916009793
z,35,0.00024765435942430974
w,35,0.00024765435942430974
',3,2.1227516522083692e-05
