character,frequency,frequencyRel
e,287459,0.18830359786502046
n,144312,0.09453337281176387
a,114490,0.0749981003188844
i,103721,0.0679437327554809
t,102408,0.06708363575383278
r,87878,0.05756557830223533
o,87058,0.05702842709023878
d,80434,0.052689293397232495
s,64141,0.04201636083984247
l,56990,0.037332009233760344
g,47421,0.03106371661474205
h,43361,0.028404163052905464
k,42151,0.027611537483983723
m,37318,0.02444562064547234
v,32782,0.021474257355696292
j,32332,0.021179479251551843
u,28618,0.018746577298679658
p,25795,0.016897335992013478
b,25367,0.016616969261849426
w,24764,0.016221966602295863
z,20957,0.013728143841233824
c,19349,0.012674803415757658
f,12759,0.008357941846175615
y,1370,0.000897435561506434
ë,951,0.0006229643934252692
x,716,0.0004690247168165013
é,668,0.00043758171904109336
',385,0.0002521990446569176
ï,200,0.00013101249073086627
q,191,0.0001251169286479773
è,77,5.043980893138352e-05
ü,50,3.275312268271657e-05
’,37,2.4237310785210262e-05
ö,16,1.0480999258469303e-05
û,15,9.82593680481497e-06
à,7,4.58543717558032e-06
ê,7,4.58543717558032e-06
î,6,3.930374721925988e-06
—,6,3.930374721925988e-06
ç,4,2.6202498146173256e-06
ó,1,6.550624536543314e-07
