character,frequency,frequencyRel
a,166721,0.12258401314652716
e,162340,0.1193628198859605
o,146202,0.10749712327810272
s,101549,0.07466536279782802
r,87262,0.0641606405623302
m,76732,0.05641830661260023
i,73359,0.05393825984978549
n,70375,0.05174423093183732
u,67406,0.0495612309796295
d,62530,0.04597608184963108
t,61486,0.0452084658341023
c,49145,0.03613456808732
l,39273,0.02887603810140031
p,35756,0.026290113267478155
v,23212,0.0170669568510097
h,18530,0.01362444901125322
g,15952,0.011728937432677356
b,14292,0.01050839855741128
f,13801,0.010147383745510292
q,13098,0.009630492884478937
ã,11649,0.008565094793960538
á,8574,0.00630415681718754
é,6796,0.004996856744763999
ç,5885,0.004327030892133038
ê,5650,0.004154243762200793
z,5326,0.003916018102209102
j,4693,0.003450595747966075
x,2862,0.002104326663259942
ó,2304,0.0016940491377186952
í,2140,0.0015734657789574686
ú,1000,0.0007352643826904059
õ,763,0.0005610067239927798
k,711,0.0005227729760928786
y,662,0.0004867450213410487
à,607,0.0004463054802930764
w,484,0.00035586796122215645
â,446,0.00032792791467992104
ô,436,0.00032057527085301696
ü,27,1.9852138332640958e-05
',16,1.1764230123046495e-05
ñ,3,2.2057931480712175e-06
