character,frequency,frequencyRel
о,430451,0.10674279621088131
е,370191,0.09179958339532808
и,304976,0.07562763477657095
а,301827,0.07484674899568516
н,276056,0.06845608292416804
т,265161,0.06575435203094777
с,229060,0.056802063185041905
р,202844,0.050301046471259235
в,175296,0.04346972176759411
л,155656,0.038599414769627534
м,131944,0.03271933740018847
д,130279,0.03230645241283539
п,117726,0.029193572385061747
к,102453,0.025406189555125726
у,96465,0.023921291474482964
я,94629,0.02346600208302336
ы,79476,0.019708376729653327
ь,68648,0.017023260427515747
г,65311,0.01619575460000992
б,64005,0.015871894063383424
з,63459,0.015736497545008183
ч,46770,0.011597976491593514
ж,45996,0.011406040767742896
й,44868,0.011126320488022616
х,35370,0.008771016217824728
ю,30990,0.007684868323166195
ц,25544,0.006334374845013143
ш,24695,0.006123840698308783
э,21165,0.005248474929325993
щ,15649,0.003880622923176115
ф,11250,0.0027897634280613006
ъ,2435,0.000603828795318157
ё,850,0.0002107821256757427
f,241,5.9762932103357634e-05
o,153,3.7940782621633684e-05
i,132,3.2733224222585926e-05
e,130,3.223726627981947e-05
r,126,3.124535039428657e-05
x,115,2.851758170907107e-05
',76,1.884640182512523e-05
c,23,5.703516341814214e-06
l,22,5.455537370430988e-06
m,12,2.9757476565987204e-06
a,11,2.727768685215494e-06
t,11,2.727768685215494e-06
‑,10,2.479789713832267e-06
g,10,2.479789713832267e-06
z,6,1.4878738282993602e-06
s,6,1.4878738282993602e-06
b,5,1.2398948569161334e-06
k,5,1.2398948569161334e-06
h,5,1.2398948569161334e-06
n,5,1.2398948569161334e-06
−,1,2.479789713832267e-07
