character,frequency,frequencyRel
e,14078,0.11682115028753039
a,12534,0.10400882921607514
o,11115,0.09223377507074161
i,9811,0.08141300649744003
n,7253,0.060186376121285544
j,6403,0.053132961023657985
r,6156,0.051083321577641505
l,5757,0.047772365549461036
s,5634,0.046751694894157286
t,5440,0.0451418566248164
k,4623,0.03836227999568497
v,4501,0.03734990747579019
d,4083,0.033881286874839225
m,3951,0.03278593300085471
p,3668,0.03043756068011518
b,2580,0.021409189355151896
z,2514,0.02086151241815964
u,2327,0.019309761096681574
č,2088,0.017326506733936885
g,1740,0.01443875561161407
š,1433,0.011891228041059174
h,1098,0.009111352679053017
ž,834,0.006920644931083985
c,786,0.006522334431453253
f,86,0.0007136396451717299
w,10,8.298135408973603e-05
y,4,3.3192541635894417e-05
x,2,1.6596270817947208e-05
