character,frequency,frequencyRel
a,74914,0.11565925031611222
e,56072,0.08656920580565776
i,56001,0.08645958935516193
r,46745,0.07216930955531231
l,41904,0.06469532030390003
n,41355,0.0638477226796436
k,32374,0.04998201363875667
d,29753,0.04593546833242501
ı,28410,0.04386201913501813
y,24008,0.0370657992042772
u,22416,0.034607920483300476
t,21975,0.033927063375291215
m,21407,0.033050131771324646
o,20998,0.03241867926072196
s,20712,0.031977125671400757
b,18160,0.02803710902822701
ü,13071,0.020180234146913834
ş,10677,0.01648415270343501
z,10056,0.01552539473501381
g,7512,0.011597729241191701
ç,7291,0.011256528740352595
c,7092,0.010949293900230504
v,6389,0.009863936650954976
h,5929,0.009153745563235569
p,5312,0.00820116316949019
ö,4908,0.007577430127232277
ğ,4855,0.00749560376277765
f,3516,0.005428330140046594
',2100,0.0032421767048059864
̇,819,0.0012644489148743348
j,664,0.0010251453961862738
â,221,0.0003412005008391062
x,47,7.256300244089589e-05
w,42,6.484353409611974e-05
ë,4,6.175574675820927e-06
î,3,4.631681006865695e-06
q,1,1.5438936689552317e-06
