character,frequency,frequencyRel
e,17485,0.16619616565437662
n,10760,0.10227456347961637
i,8549,0.08125885159732718
r,7847,0.07458629178666819
t,6486,0.06164989021643046
s,6453,0.06133622287490376
a,6160,0.05855123708498484
d,5564,0.052886214795593446
h,4369,0.041527655003944605
u,3968,0.03771612155084738
l,3654,0.03473152927086601
g,2996,0.028477192582242628
o,2929,0.027840352828233862
c,2827,0.026870835590787685
m,2746,0.026100924843403955
b,1989,0.018905586130200464
f,1628,0.015474255515317422
w,1605,0.015255638883344264
k,1493,0.01419107093634454
z,1333,0.01267025958348779
v,1066,0.01013240563840809
p,1012,0.009619131806818938
ü,660,0.00627334683053409
ä,587,0.005579476650793198
ö,291,0.0027659756480082126
j,289,0.002746965506097503
y,195,0.001853488836294163
ß,148,0.0014067505013924929
x,65,0.0006178296120980543
q,28,0.00026614198674993107
á,9,8.554563859819213e-05
í,4,3.8020283821418724e-05
é,3,2.8515212866064047e-05
ó,3,2.8515212866064047e-05
è,2,1.9010141910709362e-05
ô,1,9.505070955354681e-06
ō,1,9.505070955354681e-06
ñ,1,9.505070955354681e-06
î,1,9.505070955354681e-06
