character,frequency,frequencyRel
a,11744,0.12177898524425272
i,10421,0.10806018436906996
t,9281,0.09623899540632745
n,8547,0.08862780882856165
e,7856,0.0814625092028993
s,7345,0.07616371309766998
l,5508,0.05711500772525068
o,5188,0.053796779244480855
k,4754,0.04929643186743677
u,4640,0.04811431297116252
ä,4029,0.04177857046569263
m,2966,0.030755830231135352
r,2455,0.025457034125906032
v,2273,0.023569791677468192
h,1877,0.019463483932515527
j,1838,0.019059074836421705
p,1657,0.01718220185198627
y,1613,0.01672594543588042
d,951,0.009861360266287835
ö,387,0.004012982568931012
g,337,0.003494509368810726
b,245,0.0025405186805894002
c,233,0.0024160851125605317
f,125,0.0012961830003007145
w,73,0.0007569708721756172
z,36,0.00037330070408660577
x,11,0.00011406410402646287
q,10,0.00010369464002405716
á,9,9.332517602165144e-05
ü,6,6.22167840144343e-05
š,5,5.184732001202858e-05
í,4,4.147785600962286e-05
ó,4,4.147785600962286e-05
è,2,2.073892800481143e-05
ô,2,2.073892800481143e-05
é,2,2.073892800481143e-05
ō,1,1.0369464002405715e-05
ñ,1,1.0369464002405715e-05
î,1,1.0369464002405715e-05
