character,frequency,frequencyRel
の,2016,0.04631714377613381
に,1222,0.028075173459541424
は,1172,0.02692643477461747
た,1145,0.026306115884758535
る,1020,0.02343426917244865
し,947,0.02175711069245968
と,874,0.020079952212470706
を,851,0.01955153241740569
い,813,0.018678491016863485
ー,796,0.018287919863989338
で,730,0.01677158479988972
が,711,0.01633506409961862
て,703,0.016151265910030785
ン,681,0.015645820888664248
な,627,0.014405183108946376
れ,536,0.01231447870238478
ス,472,0.010844093185682122
こ,425,0.009764278821853606
っ,407,0.009350732895280982
か,397,0.00912098515829619
す,385,0.008845287873914441
ル,377,0.008661489684326609
ら,373,0.008569590589532694
あ,342,0.007857372604879842
ト,342,0.007857372604879842
ア,337,0.007742498736387446
リ,330,0.007581675320498093
ま,320,0.007351927583513302
り,289,0.006639709598860451
ラ,287,0.006593760051463493
さ,281,0.006455911409272618
イ,269,0.00618021412489087
も,251,0.005766668198318246
年,240,0.005513945687634977
ド,222,0.005100399761062353
そ,218,0.005008500666268437
う,218,0.005008500666268437
ッ,218,0.005008500666268437
よ,209,0.004801727702982125
彼,195,0.0044800808712034184
人,188,0.004319257455314065
く,184,0.004227358360520149
き,172,0.0039516610761384
ロ,170,0.0039057115287414418
ク,167,0.0038367872076460045
国,166,0.0038138124339475257
め,154,0.003538115149565777
マ,151,0.0034691908284703397
け,149,0.0034232412810733816
カ,149,0.0034232412810733816
フ,149,0.0034232412810733816
シ,149,0.0034232412810733816
だ,144,0.003308367412580986
ィ,144,0.003308367412580986
的,142,0.003262417865184028
タ,141,0.003239443091485549
レ,137,0.0031475439966916325
地,136,0.0031245692229931537
つ,129,0.0029637458071038
大,128,0.002940771033405321
デ,123,0.0028258971649129257
テ,122,0.0028029223912144465
ジ,121,0.0027799476175159677
プ,117,0.002688048522722051
オ,115,0.002642098975325093
コ,110,0.0025272251068326978
え,101,0.002320452143546386
者,98,0.002251527822450949
ニ,98,0.002251527822450949
間,97,0.00222855304875247
や,96,0.0022055782750539906
バ,96,0.0022055782750539906
最,93,0.0021366539539585537
メ,91,0.0020907044065615952
ム,89,0.002044754859164637
一,88,0.002021780085466158
中,84,0.0019298809906722419
わ,83,0.0019069062169737628
月,82,0.0018839314432752838
ど,82,0.0018839314432752838
お,81,0.0018609566695768046
上,81,0.0018609566695768046
ナ,81,0.0018609566695768046
サ,81,0.0018609566695768046
ブ,80,0.0018379818958783256
ャ,79,0.0018150071221798465
ウ,79,0.0018150071221798465
ん,78,0.0017920323484813675
後,76,0.0017460828010844092
エ,76,0.0017460828010844092
パ,74,0.0017001332536874512
行,74,0.0017001332536874512
e,74,0.0017001332536874512
女,73,0.0016771584799889722
日,72,0.001654183706290493
ち,72,0.001654183706290493
生,72,0.001654183706290493
時,70,0.0016082341588935349
グ,70,0.0016082341588935349
世,68,0.0015622846114965768
代,68,0.0015622846114965768
キ,68,0.0015622846114965768
発,67,0.0015393098377980976
出,67,0.0015393098377980976
ュ,67,0.0015393098377980976
a,67,0.0015393098377980976
会,65,0.0014933602904011396
多,64,0.0014703855167026605
言,63,0.0014474107430041815
自,63,0.0014474107430041815
せ,62,0.0014244359693057023
前,61,0.0014014611956072232
学,61,0.0014014611956072232
性,60,0.0013784864219087442
チ,60,0.0013784864219087442
部,58,0.001332536874511786
ポ,58,0.001332536874511786
ば,57,0.001309562100813307
対,57,0.001309562100813307
用,57,0.001309562100813307
ビ,57,0.001309562100813307
私,56,0.001286587327114828
