character,frequency,frequencyRel
u,11646,0.1259694324561119
a,11568,0.12512574228510237
i,9712,0.10505024283133768
o,8697,0.09407145406756011
k,6158,0.06660825734713524
n,5993,0.06482352813923051
r,5821,0.062963083146748
e,5694,0.06158938248369406
s,5683,0.061470400536500415
t,5253,0.056819288055294154
y,2767,0.02992936798952959
m,2552,0.027603811748926458
h,1916,0.02072449189300278
d,1765,0.019091194254253603
b,1725,0.018658532628094884
z,1616,0.017479529696812365
g,1569,0.016971152286075868
p,1126,0.012179424776368021
w,429,0.004640295940552292
c,239,0.0025851532162983635
v,175,0.0018928946144444083
l,174,0.0018820780737904403
',64,0.0006922586018539551
-,45,0.0004867443294285622
f,38,0.0004110285448507858
x,20,0.00021633081307936096
q,4,4.326616261587219e-05
j,2,2.1633081307936096e-05
