character,frequency,frequencyRel
ー,2569,0.057028058959332266
ン,2284,0.0507014739833067
ス,1397,0.03101136565441307
ル,1195,0.026527259811756347
ト,962,0.021354999112058248
リ,924,0.020511454448588172
ア,905,0.020089682116853136
ラ,831,0.01844698987746404
イ,773,0.017159474338483395
ッ,757,0.016804297638074943
ク,631,0.014007281122358373
ィ,620,0.013763097140827562
ド,581,0.012897353933581957
レ,488,0.010832889362457822
テ,482,0.010699698099804653
シ,474,0.010522109749600427
フ,468,0.010388918486947256
る,435,0.009656366542354822
タ,434,0.009634167998579293
マ,424,0.00941218256082401
カ,405,0.008990410229088973
ジ,403,0.008946013141537914
ロ,392,0.008701829160007104
コ,368,0.008169064109394424
デ,367,0.008146865565618895
プ,360,0.007991475759190196
い,343,0.007614100515006216
バ,340,0.00754750488367963
し,332,0.007369916533475404
り,320,0.007103534008169064
ニ,318,0.007059136920618008
ウ,318,0.007059136920618008
っ,307,0.006814952939087196
サ,304,0.006748357307760611
オ,282,0.006259989344698988
ブ,276,0.006126798082045818
グ,267,0.005927011188066063
ャ,265,0.0058826141005150065
ュ,264,0.005860415556739478
ナ,259,0.005749422837861836
チ,252,0.005594033031433138
エ,247,0.005483040312555496
ム,243,0.005394246137453383
メ,235,0.005216657787249156
ェ,232,0.005150062155922571
か,226,0.005016870893269402
キ,198,0.004395311667554609
く,196,0.004350914580003552
ョ,191,0.00423992186112591
け,182,0.004040134967146156
パ,179,0.00397353933581957
セ,178,0.003951340792044042
ガ,177,0.0039291422482685134
き,175,0.003884745160717457
れ,171,0.0037959509856153434
ノ,171,0.0037959509856153434
ハ,170,0.003773752441839815
ミ,169,0.003751553898064287
ら,168,0.0037293553542887587
ベ,163,0.003618362635411117
ま,161,0.0035739655478600604
ズ,158,0.0035073699165334756
ビ,157,0.003485171372757947
モ,154,0.003418575741431362
ネ,152,0.0033741786538803056
ポ,149,0.0033075830225537204
わ,141,0.003129994672349494
ダ,141,0.003129994672349494
ァ,138,0.003063399041022909
た,137,0.0030412004972473804
え,136,0.003019001953471852
さ,129,0.002863612147043154
う,128,0.0028414136032676256
ケ,127,0.0028192150594920974
ヴ,121,0.0026860237968389274
め,120,0.002663825253063399
ピ,120,0.002663825253063399
ボ,120,0.002663825253063399
ソ,115,0.0025528325341857574
す,111,0.0024640383590836443
な,110,0.0024418398153081156
ヒ,101,0.002242052921328361
上,99,0.0021976558337773043
出,98,0.002175457290001776
ペ,97,0.0021532587462262474
つ,96,0.002131060202450719
ォ,94,0.0020866631148996626
ち,91,0.002020067483573078
ツ,87,0.0019312733084709643
ん,85,0.0018868762209199076
ヘ,85,0.0018868762209199076
取,83,0.001842479133368851
ゴ,79,0.0017536849582667378
人,74,0.001642692239389096
ワ,74,0.001642692239389096
大,72,0.0015982951518380393
ゲ,71,0.001576096608062511
ヤ,69,0.0015316995205114545
て,68,0.001509500976735926
と,67,0.0014873024329603978
こ,67,0.0014873024329603978
み,67,0.0014873024329603978
国,65,0.001442905345409341
が,64,0.0014207068016338128
立,64,0.0014207068016338128
あ,63,0.0013985082578582846
地,63,0.0013985082578582846
ホ,63,0.0013985082578582846
合,62,0.001376309714082756
も,61,0.0013541111703072278
生,61,0.0013541111703072278
の,59,0.0013097140827561713
ば,59,0.0013097140827561713
せ,59,0.0013097140827561713
ゼ,58,0.0012875155389806428
げ,58,0.0012875155389806428
ユ,57,0.0012653169952051146
入,57,0.0012653169952051146
見,54,0.0011987213638785296
付,54,0.0011987213638785296
ギ,53,0.0011765228201030013
ザ,52,0.0011543242763274728
よ,50,0.0011099271887764163
じ,50,0.0011099271887764163
言,49,0.001087728645000888
気,49,0.001087728645000888
行,48,0.0010655301012253596
当,46,0.001021133013674303
作,45,0.0009989344698987746
一,44,0.0009767359261232463
起,44,0.0009767359261232463
分,43,0.000954537382347718
会,43,0.000954537382347718
引,42,0.0009323388385721897
そ,40,0.000887941751021133
事,40,0.000887941751021133
戦,39,0.0008657432072456047
発,38,0.0008435446634700764
定,38,0.0008435446634700764
物,38,0.0008435446634700764
力,37,0.000821346119694548
子,37,0.000821346119694548
ヌ,37,0.000821346119694548
動,36,0.0007991475759190197
間,35,0.0007769490321434914
ろ,35,0.0007769490321434914
業,35,0.0007769490321434914
ど,34,0.000754750488367963
々,34,0.000754750488367963
目,34,0.000754750488367963
