character,frequency,frequencyRel
a,8280,0.08910315735101049
i,7746,0.08335664937692357
e,7233,0.07783612767148053
o,7187,0.07734111013064159
n,5554,0.05976798743085896
z,4781,0.05144954049458709
r,4588,0.04937261907324107
w,4314,0.046424036329982994
s,3910,0.042076490971310505
y,3631,0.03907410197361341
c,3616,0.03891268321029637
t,3612,0.038869638206745154
d,3102,0.03338140025396552
k,2891,0.031110776316639045
p,2751,0.029604201192346597
m,2601,0.02799001355917612
j,2244,0.024148246992230376
l,2169,0.023341153175645137
u,2161,0.02325506316854271
ł,1617,0.01740094268557777
g,1334,0.014355508684329466
b,1279,0.01376363988550029
h,1104,0.011880420980134731
ę,1024,0.011019520909110476
ą,933,0.010040247078320384
ó,876,0.009426855777715602
ż,757,0.008146266922067021
ś,559,0.006015539246281988
f,344,0.0037018703054043003
ć,335,0.0036050190474140715
ń,185,0.001990831414243592
v,83,0.0008931838236876655
ź,65,0.0006994813077072079
x,24,0.00025827002130727675
q,8,8.609000710242559e-05
á,7,7.532875621462238e-05
ü,4,4.3045003551212796e-05
ö,3,3.2283752663409594e-05
í,2,2.1522501775606398e-05
è,2,2.1522501775606398e-05
é,2,2.1522501775606398e-05
ô,2,2.1522501775606398e-05
ä,2,2.1522501775606398e-05
â,1,1.0761250887803199e-05
ō,1,1.0761250887803199e-05
ñ,1,1.0761250887803199e-05
î,1,1.0761250887803199e-05
