character,frequency,frequencyRel
e,12266,0.12854882151353503
a,11692,0.12253324809524309
o,9630,0.10092329619887025
s,7334,0.07686100252570242
r,6407,0.06714595625609156
i,6230,0.06529097978390049
d,5056,0.052987350527672686
m,4838,0.05070269023988933
n,4795,0.050252046238170596
t,4669,0.048931554512204066
u,3754,0.03934226935935191
c,3420,0.03584191827623429
l,2745,0.028767855458556472
p,2539,0.026608956287531835
v,1279,0.013404039027866568
g,1146,0.012010186650457456
f,960,0.010060889340697345
b,924,0.009683605990421194
h,834,0.008740397614730819
q,714,0.007482786447143651
ã,645,0.006759660025781029
ç,526,0.005512528951257087
é,458,0.004799882622957692
á,390,0.004087236294658296
z,333,0.0034898709900543917
í,297,0.0031125876397782412
x,249,0.002609543172743374
j,222,0.0023265806600362613
ó,195,0.002043618147329148
ê,161,0.0016872949831794506
õ,150,0.0015720139594839603
k,121,0.0012680912606503946
ú,119,0.0012471310745239418
y,113,0.0011842505161445834
â,70,0.0007336065144258481
w,68,0.0007126463282993953
ô,51,0.0005344847462245465
ü,6,6.288055837935841e-05
ö,3,3.1440279189679205e-05
è,2,2.09601861264528e-05
ä,2,2.09601861264528e-05
​,2,2.09601861264528e-05
ō,1,1.04800930632264e-05
ß,1,1.04800930632264e-05
ñ,1,1.04800930632264e-05
î,1,1.04800930632264e-05
