character,frequencyTot,frequencyRet
о,10300,0.10779583677826501
е,8156,0.08535755774403199
и,7648,0.08004102521166707
а,7426,0.07771765863256272
н,6432,0.06731483710269909
т,5648,0.05910979476928551
с,4918,0.05146989565781625
р,4808,0.05031867798348526
в,4336,0.04537890759908321
л,4292,0.04491842052935082
к,3132,0.032778306872769516
м,3047,0.0318887295789683
д,2928,0.0306433213676466
п,2597,0.027179202729432448
у,2008,0.021014955364151083
ы,1837,0.019225335161327458
я,1832,0.019173007085221506
г,1676,0.017540371110715745
б,1558,0.016305428514615233
з,1494,0.01563562914045902
ь,1475,0.015436782451256396
й,1201,0.012569203880650123
ч,1200,0.012558738265428934
х,858,0.008979497859781688
ж,840,0.008791116785800253
ю,694,0.0072631369635063996
ш,565,0.0059130725999727895
ц,527,0.005515379221567539
э,356,0.003725759018743917
ф,324,0.003390859331665812
щ,310,0.003244340718569141
a,115,0.0012035457504369395
e,101,0.0010570271373402686
i,100,0.0010465615221190777
r,72,0.000753524295925736
o,72,0.000753524295925736
t,72,0.000753524295925736
n,69,0.0007221274502621636
s,69,0.0007221274502621636
c,49,0.0005128151458383481
l,40,0.0004186246088476311
m,38,0.00039769337840524953
ъ,34,0.00035583091752048647
u,33,0.00034536530229929566
b,29,0.00030350284141453254
d,27,0.000282571610972151
y,27,0.000282571610972151
h,27,0.000282571610972151
g,24,0.00025117476530857867
v,23,0.0002407091500873879
p,22,0.0002302435348661971
w,19,0.00019884668920262477
k,18,0.000188381073981434
ё,14,0.0001465186130966709
f,14,0.0001465186130966709
x,11,0.00011512176743309855
z,4,4.1862460884763113e-05
ó,2,2.0931230442381557e-05
í,1,1.0465615221190778e-05
j,1,1.0465615221190778e-05
ö,1,1.0465615221190778e-05
