character,frequency,frequencyRel
e,13607,0.13594085618662272
a,11594,0.1158299615365403
o,8168,0.08160247764623607
n,7301,0.07294070632898746
s,7229,0.07222138967980418
r,6631,0.06624706528797643
i,6464,0.06457865028223188
l,5636,0.056306508816624204
d,5093,0.05088166242070034
t,4638,0.04633598081822269
c,4382,0.043778410510015485
u,3801,0.037973924771467105
m,2828,0.028253159498476448
p,2561,0.025585693591088466
b,1398,0.013966731604975274
g,1204,0.012028572855787002
v,936,0.009351116439382587
h,845,0.008441980118887058
ó,842,0.008412008591837754
y,795,0.007942454668065337
f,763,0.0076227583795394375
q,653,0.0065238023877316545
í,556,0.005554723013137519
j,434,0.004335880913132524
á,415,0.004146061241820271
z,335,0.0033468205205055197
é,290,0.0028972476147659724
ñ,182,0.0018182726409910585
x,175,0.0017483390778760177
k,134,0.0013387282082022078
ú,118,0.0011788800639392577
w,71,0.0007093261401668415
ü,7,6.993356311504072e-05
ö,3,2.9971527049303162e-05
ä,2,1.9981018032868775e-05
ō,1,9.990509016434387e-06
è,1,9.990509016434387e-06
ô,1,9.990509016434387e-06
î,1,9.990509016434387e-06
