character,frequency,frequencyRel
a,10354,0.1178371857466398
e,7996,0.09100117222620552
i,7899,0.08989723104237085
n,6662,0.07581913573924226
r,6283,0.07150579853642437
l,6135,0.06982143466830551
ı,4090,0.04654762311220367
k,3843,0.04373655638635665
d,3694,0.04204081168129104
t,3249,0.03697633923998771
m,2939,0.0334482797864955
s,2854,0.03248090864602183
y,2757,0.03137696746218717
u,2541,0.02891870668168937
o,2450,0.027883050519535206
b,2055,0.023387619925569328
ü,1486,0.01691192370286911
ş,1437,0.016354262692478406
g,1168,0.013292817553802906
z,1052,0.011972640467980016
v,1041,0.011847451261565776
h,1000,0.011380836946749065
ç,955,0.010868699284145356
c,869,0.009889947306724937
ğ,788,0.008968099514038262
p,767,0.008729101938156533
ö,721,0.008205583438606076
f,479,0.005451420897492802
j,108,0.0012291303902488989
̇,88,0.0010015136513139176
w,63,0.000716992727645191
â,13,0.00014795088030773783
á,6,6.828502168049438e-05
x,6,6.828502168049438e-05
q,4,4.5523347786996255e-05
ó,3,3.414251084024719e-05
í,3,3.414251084024719e-05
é,2,2.2761673893498128e-05
î,2,2.2761673893498128e-05
ä,2,2.2761673893498128e-05
ô,2,2.2761673893498128e-05
è,1,1.1380836946749064e-05
