character,frequency,frequencyRel
的,1375,0.04385545242879469
在,449,0.014320798647657321
了,392,0.012502790801518195
一,366,0.011673524064682805
是,324,0.010333939335948714
他,282,0.00899435460721462
人,281,0.008962459732720952
有,242,0.007718559627467866
年,238,0.00759098012949319
和,222,0.0070806621375944885
為,212,0.0067617133926578
國,206,0.006570344145695787
這,201,0.006410869773227443
中,200,0.006378974898733773
個,197,0.006283290275252767
大,185,0.005900551781328741
a,175,0.005581603036392052
們,172,0.005485918412911045
不,164,0.005230759416961694
斯,163,0.0051988645424680255
地,159,0.00507128504449335
於,158,0.005039390169999681
e,152,0.004848020923037668
來,144,0.004592861927088317
r,142,0.00452907217810098
時,139,0.004433387554619973
會,137,0.004369597805632635
n,137,0.004369597805632635
以,136,0.004337702931138966
後,121,0.003859279813733933
能,116,0.0036998054412655888
i,116,0.0036998054412655888
爾,113,0.003604120817784582
上,110,0.0035084361943035756
到,109,0.0034765413198099065
發,108,0.003444646445316238
之,107,0.003412751570822569
對,106,0.0033808566963289
多,106,0.0033808566963289
作,104,0.0033170669473415624
o,104,0.0033170669473415624
被,103,0.0032851720728478933
其,103,0.0032851720728478933
但,102,0.0032532771983542243
我,101,0.0032213823238605556
可,101,0.0032213823238605556
成,97,0.00309380282588588
生,95,0.0030300130768985425
法,95,0.0030300130768985425
出,94,0.0029981182024048734
用,93,0.0029662233279112047
部,92,0.0029343284534175357
公,91,0.002902433578923867
最,91,0.002902433578923867
要,89,0.0028386438299365293
特,89,0.0028386438299365293
自,87,0.0027748540809491916
s,87,0.0027748540809491916
t,86,0.0027429592064555225
前,85,0.002711064331961854
行,83,0.002647274582974516
利,83,0.002647274582974516
月,81,0.0025834848339871784
說,79,0.0025196950849998407
家,79,0.0025196950849998407
區,76,0.002424010461518834
世,75,0.0023921155870251652
分,75,0.0023921155870251652
c,75,0.0023921155870251652
拉,75,0.0023921155870251652
過,74,0.002360220712531496
並,73,0.0023283258380378275
而,73,0.0023283258380378275
l,73,0.0023283258380378275
經,72,0.0022964309635441584
方,72,0.0022964309635441584
西,72,0.0022964309635441584
得,70,0.0022326412145568207
克,70,0.0022326412145568207
工,69,0.0022007463400631516
同,69,0.0022007463400631516
也,68,0.002168851465569483
美,68,0.002168851465569483
當,68,0.002168851465569483
現,68,0.002168851465569483
亞,68,0.002168851465569483
她,67,0.002136956591075814
就,67,0.002136956591075814
所,67,0.002136956591075814
開,67,0.002136956591075814
因,67,0.002136956591075814
學,67,0.002136956591075814
海,65,0.002073166842088476
德,64,0.0020412719675948075
很,63,0.0020093770931011385
