character,frequency,frequencyRel
n,9752,0.11311387941633609
h,5151,0.059746676873825594
i,5091,0.059050734219500314
g,4906,0.056904911035330685
u,3512,0.0407358433665066
s,3188,0.03697775303315007
à,3070,0.03560906581297701
l,2477,0.028730832579395457
ì,2325,0.02696777785510474
ā,2215,0.02569188298884172
d,2159,0.025042336511471454
y,2136,0.024775558493980096
z,2007,0.023279281787180736
o,1996,0.023151692300554434
ī,1955,0.02267613148676549
j,1921,0.02228176398264783
ǎ,1896,0.02199178787667896
r,1775,0.02058830352378964
á,1668,0.019347205790242884
é,1610,0.01867446122439511
b,1604,0.01860486695896258
x,1499,0.017386967313893335
è,1463,0.016969401721298166
t,1449,0.0168070151019556
c,1436,0.016656227526851787
í,1420,0.01647064281903171
ù,1387,0.016087874359152807
m,1384,0.016053077226436542
a,1028,0.011923817477439858
f,1010,0.011715034681142274
e,997,0.011564247106038462
k,946,0.010972695849861972
ē,921,0.010682719743893104
ǐ,912,0.010578328345744311
ě,875,0.010149163708910386
q,865,0.010033173266522838
w,833,0.009662003850882688
ò,788,0.009140046860138725
ō,746,0.008652887002111026
ó,685,0.007945345303546987
ú,647,0.007504581622474308
p,631,0.007318996914654233
ǔ,581,0.0067390447027164966
ū,561,0.006507063817941402
ǒ,465,0.005393555571020948
v,120,0.0013918853086505672
ǚ,42,0.0004871598580276985
ǜ,41,0.00047556081378894376
ü,28,0.00032477323868513236
ä,19,0.0002203818405363398
ǘ,6,6.959426543252836e-05
î,6,6.959426543252836e-05
ñ,5,5.7995221193773634e-05
ö,4,4.63961769550189e-05
