 ,frequency,word,meanDuration,medianDuration,stDevDuration,n_characters
zei,50,zei,0.2722,0.27,0.057686344014110325,3
ruang,9,ruang,0.30333333333333323,0.31000000000000005,NA,5
ah,449,ah,0.23091314031180402,0.2200000000000002,0.07962139222136358,2
dah,65,dah,0.25015384615384617,0.2400000000000002,0.07438271614789593,3
bia,35,bia,0.2899999999999999,0.27,0.08888194417315588,3
na,576,na,0.1469097222222222,0.14000000000000012,0.04738554733901844,2
el,3,el,0.22333333333333338,0.22999999999999998,NA,2
khawh,39,khawh,0.29025641025641025,0.29000000000000004,0.06888156041875067,5
lio,22,lio,0.26318181818181813,0.26,0.07530170197509697,3
lo,306,lo,0.2923856209150327,0.30000000000000004,0.08908567430476413,2
mihlen,1,mihlen,0.6000000000000001,0.6000000000000001,NA,6
a,1827,a,0.0808264915161467,0.07999999999999985,0.036113578876993485,1
hman,16,hman,0.31499999999999995,0.30499999999999994,NA,4
caah,108,caah,0.47638888888888886,0.45499999999999996,0.10073058666732104,4
hohmanhnih,1,hohmanhnih,0.79,0.79,NA,10
an,488,an,0.16956967213114754,0.16000000000000014,0.05086539855661699,2
zum,4,zum,0.25750000000000006,0.24,NA,3
ti,100,ti,0.2409,0.2200000000000001,0.07684557517672974,2
faknak,2,faknak,0.635,0.635,NA,6
hi,140,hi,0.28321428571428575,0.26,0.12575680456806132,2
sibawi,15,sibawi,0.5493333333333333,0.5199999999999999,NA,6
nih,260,nih,0.2758846153846154,0.2699999999999997,0.07557492736728,3
chim,32,chim,0.341875,0.31999999999999995,0.06703092690161999,4
ning,16,ning,0.28812499999999996,0.28500000000000014,NA,4
siloin,1,siloin,0.73,0.73,NA,6
dang,10,dang,0.24699999999999994,0.24,NA,4
si,328,si,0.3679268292682927,0.3700000000000001,0.13184865575411256,2
ko,121,ko,0.2911570247933884,0.2999999999999998,0.09210673231496731,2
rua,11,rua,0.3127272727272727,0.2999999999999998,NA,3
tiah,16,tiah,0.31187500000000007,0.27500000000000013,NA,4
ruat,3,ruat,0.28000000000000014,0.27000000000000046,NA,4
maw,196,maw,0.38882653061224487,0.3800000000000002,0.08991819935123418,3
ṭingtang,1,ṭingtang,0.6399999999999999,0.6399999999999999,NA,8
hri,8,hri,0.38875,0.33999999999999986,NA,3
kha,169,kha,0.3131360946745562,0.30000000000000004,0.10299785798230644,3
rengh,1,rengh,0.31000000000000005,0.31000000000000005,NA,5
ahcun,90,ahcun,0.509888888888889,0.4899999999999999,0.1329737191610267,5
ṭha,60,ṭha,0.2876666666666667,0.27,0.08644321476282033,3
lai,301,lai,0.32800664451827244,0.3200000000000003,0.10250209732343633,3
nan,64,nan,0.22703125000000002,0.22999999999999998,0.05141427408186447,3
inn,63,inn,0.23539682539682538,0.21999999999999997,0.08734110728641703,3
vang,2,vang,0.4600000000000001,0.4600000000000001,NA,4
pe,16,pe,0.246875,0.25,NA,2
zeizat,9,zeizat,0.4844444444444444,0.4900000000000002,NA,6
nikhat,7,nikhat,0.4685714285714285,0.46999999999999975,NA,6
tangka,15,tangka,0.43333333333333335,0.43000000000000005,NA,6
zakhat,4,zakhat,0.46749999999999997,0.46499999999999997,NA,6
hlawh,4,hlawh,0.32750000000000007,0.32999999999999996,NA,5
ṭhim,2,ṭhim,0.385,0.385,NA,4
sum,5,sum,0.392,0.3999999999999999,NA,3
cu,388,cu,0.3022164948453608,0.29000000000000004,0.10278918761989565,2
fawi,12,fawi,0.34,0.32500000000000007,NA,4
ka,600,ka,0.12501666666666666,0.12000000000000005,0.032641110976269844,2
tuah,72,tuah,0.32583333333333336,0.32000000000000006,0.09857791656249797,4
hrimhrim,6,hrimhrim,0.5133333333333333,0.5099999999999999,NA,8
naa,38,naa,0.21394736842105266,0.21,0.051388266285277026,3
kam,18,kam,0.29999999999999993,0.3,NA,3
nu,39,nu,0.2643589743589743,0.26,0.0628613709428542,2
zapei,1,zapei,0.45999999999999974,0.45999999999999974,NA,5
pum,9,pum,0.3088888888888888,0.29000000000000015,NA,3
mi,138,mi,0.23528985507246375,0.2199999999999998,0.09157336836733386,2
te,48,te,0.239375,0.20999999999999996,0.07875105537962176,2
chiah,12,chiah,0.41083333333333344,0.41000000000000014,NA,5
rawl,45,rawl,0.3255555555555556,0.32999999999999996,0.06659086599784862,4
khop,1,khop,0.30000000000000004,0.30000000000000004,NA,4
ngai,126,ngai,0.37246031746031744,0.3700000000000001,0.10335714011474204,4
kaa,58,kaa,0.22586206896551728,0.2100000000000002,0.05678628703872337,3
hmu,22,hmu,0.23363636363636375,0.2250000000000002,0.07587869106393279,3
thih,2,thih,0.38500000000000006,0.38500000000000006,NA,4
thawng,6,thawng,0.35166666666666657,0.31999999999999995,NA,6
lung,48,lung,0.33687500000000004,0.30999999999999994,0.10171207275776484,4
suk,6,suk,0.28499999999999986,0.2799999999999998,NA,3
nizaan,14,nizaan,0.5642857142857143,0.5449999999999999,NA,6
kan,424,kan,0.21745283018867922,0.20999999999999996,0.09791018531865933,3
rian,39,rian,0.34538461538461535,0.33000000000000007,0.09227664795106624,4
hrang,10,hrang,0.4469999999999999,0.415,NA,5
i,297,i,0.17053872053872055,0.1299999999999999,0.10814645045333086,1
ceer,1,ceer,0.4299999999999997,0.4299999999999997,NA,4
dih,70,dih,0.2657142857142858,0.2549999999999999,0.08713759614842426,3
palhnak,3,palhnak,0.5233333333333333,0.48,NA,7
tuahmi,13,tuahmi,0.4961538461538462,0.4800000000000001,NA,6
ruangah,16,ruangah,0.458125,0.4450000000000002,NA,7
mawhchiat,3,mawhchiat,0.5266666666666667,0.54,NA,9
keimah,18,keimah,0.4538888888888889,0.43500000000000005,NA,6
lawng,27,lawng,0.29,0.28,0.07098212125924061,5
nunnak,3,nunnak,0.4599999999999999,0.4999999999999998,NA,6
thleng,2,thleng,0.30999999999999994,0.30999999999999994,NA,6
tuchan,3,tuchan,0.49333333333333323,0.46999999999999975,NA,6
cun,49,cun,0.31938775510204076,0.31999999999999984,0.09290246146867573,3
sarlam,1,sarlam,0.5799999999999998,0.5799999999999998,NA,6
puai,5,puai,0.40800000000000003,0.3799999999999999,NA,4
sawsawh,1,sawsawh,0.4299999999999997,0.4299999999999997,NA,7
zongah,9,zongah,0.498888888888889,0.48,NA,6
lam,34,lam,0.34029411764705886,0.33499999999999985,0.06478333559187871,3
changreu,8,changreu,0.7225,0.565,NA,8
rawh,7,rawh,0.26999999999999996,0.27,NA,4
duh,88,duh,0.24636363636363637,0.23000000000000043,0.0715217484515542,3
lel,1,lel,0.32999999999999996,0.32999999999999996,NA,3
tuk,124,tuk,0.2241129032258064,0.21999999999999997,0.06005433984810908,3
hna,147,hna,0.3020408163265306,0.28,0.09959464952008051,3
hnawh,5,hnawh,0.29000000000000015,0.27,NA,5
sobul,1,sobul,0.15,0.15,NA,5
cawk,11,cawk,0.3063636363636363,0.27,NA,4
ei,50,ei,0.22619999999999998,0.20500000000000007,0.07974167476218165,2
hnu,22,hnu,0.2590909090909091,0.235,0.07450849046595401,3
it,11,it,0.2490909090909091,0.2300000000000002,NA,2
thlum,5,thlum,0.41600000000000004,0.3899999999999997,NA,5
mei,24,mei,0.31333333333333335,0.32000000000000006,0.07376028545325004,3
khu,1,khu,0.28,0.28,NA,3
umtu,1,umtu,0.49,0.49,NA,4
nawr,4,nawr,0.25499999999999995,0.245,NA,4
cang,105,cang,0.34895238095238096,0.3300000000000003,0.09434922658282133,4
khua,63,khua,0.3079365079365079,0.31000000000000005,0.07750460402887897,4
lin,1,lin,0.3500000000000001,0.3500000000000001,NA,3
palh,6,palh,0.305,0.30999999999999994,NA,4
minung,8,minung,0.4125,0.41000000000000003,NA,6
phung,12,phung,0.31083333333333324,0.2999999999999998,NA,5
ngaihthiam,5,ngaihthiam,0.5880000000000001,0.6000000000000001,NA,10
pathian,15,pathian,0.4680000000000001,0.45999999999999996,NA,7
ta,10,ta,0.31699999999999995,0.3300000000000003,NA,2
ngakchia,29,ngakchia,0.5755172413793103,0.55,0.12333422091723403,8
lente,4,lente,0.6475000000000002,0.55,NA,5
aa,110,aa,0.17354545454545459,0.17999999999999983,0.05388718020233075,2
celh,3,celh,0.3633333333333333,0.33999999999999997,NA,4
ralkap,5,ralkap,0.534,0.53,NA,6
lut,6,lut,0.25333333333333324,0.245,NA,3
bal,22,bal,0.21500000000000002,0.20000000000000007,0.06292474719475483,3
zaithum,1,zaithum,0.45999999999999985,0.45999999999999985,NA,7
komh,1,komh,0.2200000000000002,0.2200000000000002,NA,4
hrual,2,hrual,0.39500000000000013,0.39500000000000013,NA,5
himnak,1,himnak,0.5499999999999999,0.5499999999999999,NA,6
herh,13,herh,0.32999999999999996,0.29000000000000004,NA,4
van,11,van,0.309090909090909,0.26,NA,3
le,87,le,0.21965517241379307,0.19000000000000017,0.11458162801579057,2
vawlei,6,vawlei,0.38500000000000006,0.395,NA,6
hram,5,hram,0.33399999999999985,0.32999999999999985,NA,4
ser,14,ser,0.39857142857142863,0.41500000000000026,NA,3
thok,5,thok,0.2819999999999999,0.28,NA,4
cawhnuk,4,cawhnuk,0.5075000000000001,0.49,NA,7
vaiṭamen,1,vaiṭamen,0.6599999999999999,0.6599999999999999,NA,8
kawi,5,kawi,0.32799999999999996,0.3400000000000001,NA,4
ral,24,ral,0.33416666666666667,0.31,0.07840345304433576,3
man,17,man,0.27058823529411763,0.25,NA,3
