frequency,word,meanDuration,medianDuration,stDevDuration,n_characters
116,γιατί,0.4142241379310346,0.4,0.12273088879523267,5
52,όχι,0.4603846153846154,0.485,0.1341635165402182,3
108,αν,0.2049074074074074,0.21,0.07209152244313416,2
263,είναι,0.27809885931558936,0.26,0.09593750808056847,5
18,ανάγκη,0.4783333333333333,0.45,NA,6
827,ο,0.09602176541717049,0.09000000000000008,0.045077436846143196,1
186,βασιλιάς,0.7267204301075268,0.73,0.13872585180395514,8
31,σηκώθηκε,0.7529032258064516,0.73,0.12124887761369439,8
52,μ',0.13153846153846152,0.13000000000000012,0.03219941634988129,2
26,έναν,0.2876923076923077,0.29,0.06993183494276078,4
6,πήδο,0.525,0.5049999999999999,NA,4
1665,και,0.15639039039039038,0.15000000000000002,0.035692044253370005,3
5,στάθηκε,0.6199999999999999,0.63,NA,7
44,μπροστά,0.45,0.45000000000000007,0.09167688456088971,7
433,στο,0.18461893764434179,0.17999999999999994,0.04668060616987856,3
20,γιο,0.2625,0.27,0.020487480130686245,3
1063,του,0.19522107243650047,0.16999999999999993,0.08774064593522939,3
103,φώναξε,0.5976699029126213,0.5799999999999998,0.11815745463272559,6
154,μια,0.23980519480519485,0.22999999999999998,0.06722774461515302,3
2,θυμωμένη,0.6000000000000001,0.6000000000000001,NA,8
48,φωνή,0.46937500000000004,0.4400000000000003,0.1110377786965875,4
446,που,0.16856502242152469,0.1599999999999997,0.0636048477826979,3
8,αξίζει,0.63875,0.6100000000000001,NA,6
2,πιότερο,0.6450000000000001,0.6450000000000001,NA,7
388,από,0.20226804123711337,0.18999999999999995,0.055795958188371526,3
3,κείνα,0.4033333333333335,0.3500000000000001,NA,5
452,δεν,0.23904867256637172,0.2300000000000001,0.06773646155799763,3
3,έμαθες,0.6233333333333334,0.6699999999999999,NA,6
1,φύγανε,0.59,0.59,NA,6
559,τα,0.13105545617173522,0.1299999999999999,0.036722276521706766,2
3,παλικάρια,0.7399999999999999,0.7799999999999998,NA,9
16,πρόσθεσε,0.680625,0.63,NA,8
94,πάλι,0.36000000000000004,0.3400000000000001,0.09041124680252507,4
372,η,0.10524193548387094,0.09999999999999998,0.05518110896439379,1
21,βασίλισσα,0.7752380952380953,0.7600000000000002,0.13959294565339064,9
157,μας,0.29050955414012736,0.25,0.11219714893278744,3
330,είπε,0.34454545454545454,0.3200000000000002,0.10225395732091097,4
1502,το,0.11882157123834887,0.11000000000000032,0.030067813441028633,2
15,μαγειριό,0.6613333333333333,0.6499999999999995,NA,8
176,ήταν,0.3097159090909091,0.29999999999999993,0.08349117303060229,4
177,σε,0.1859322033898305,0.18999999999999995,0.047113932655119393,2
1,τάξη,0.56,0.56,NA,4
13,όλες,0.38384615384615384,0.3599999999999999,NA,4
146,οι,0.11164383561643838,0.10000000000000009,0.04509036745914116,2
10,γυναίκες,0.666,0.6600000000000003,NA,8
2,φώναζαν,0.4999999999999999,0.4999999999999999,NA,7
59,μαζί,0.39152542372881355,0.3799999999999999,0.09145968698005574,4
231,τι,0.1573160173160173,0.14,0.06791093690287144,2
20,κάνεις,0.4734999999999999,0.43499999999999994,0.14184034761141245,6
59,λοιπόν,0.48881355932203396,0.48,0.10957731872286396,6
8,επανέλαβε,0.78125,0.7200000000000001,NA,9
11,πικρόχολη,0.9027272727272727,0.9199999999999999,NA,9
93,πού,0.1854838709677419,0.16000000000000003,0.07924255731108482,3
1132,να,0.14042402826855124,0.13,0.05221695598157285,2
2,ακολουθήσει,0.855,0.855,NA,11
357,θα,0.16529411764705884,0.16000000000000003,0.044110882935967335,2
1,εννοήσεις,0.6500000000000001,0.6500000000000001,NA,9
39,τότε,0.37307692307692314,0.3700000000000001,0.10756035872583719,4
4,καλύτερα,0.55,0.52,NA,8
53,αλλά,0.28547169811320755,0.27,0.08502411508000471,4
146,είχε,0.28294520547945207,0.27,0.082730704038145,4
38,άλλο,0.34078947368421053,0.32499999999999996,0.12529708650324628,4
34,κάνει,0.37470588235294117,0.34499999999999975,0.11701425176389635,5
18,μπορούσε,0.5094444444444445,0.44499999999999984,NA,8
13,ίσως,0.4784615384615385,0.48999999999999977,NA,4
1,ξεμπερδέψει,0.6600000000000001,0.6600000000000001,NA,11
6,νωρίτερα,0.6666666666666666,0.625,NA,8
546,με,0.15492673992673994,0.1499999999999999,0.047002773090103526,2
65,κεφάλι,0.6067692307692307,0.5800000000000001,0.1260841446751396,6
2,έγνεψε,0.5499999999999998,0.5499999999999998,NA,6
54,κουλός,0.625,0.625,0.13214842998374907,6
25,κατά,0.25039999999999996,0.25,0.038565960811748665,4
214,τη,0.12158878504672896,0.11000000000000021,0.03691506639781997,2
4,στεριά,0.5824999999999999,0.5800000000000001,NA,6
48,πρέπει,0.3445833333333334,0.3299999999999999,0.06470747049289326,6
35,αυτή,0.3482857142857143,0.34,0.10923492531037422,4
10,πάγει,0.507,0.48,NA,5
152,στα,0.1907236842105263,0.17999999999999994,0.044036438459127414,3
53,χέρια,0.47962264150943407,0.45999999999999996,0.10032566709224326,5
13,βασιλόπουλου,0.8730769230769231,0.8900000000000001,NA,12
13,κοίταζε,0.4869230769230769,0.45999999999999996,NA,7
27,κάτι,0.36518518518518517,0.33999999999999986,0.09365938165544213,4
163,ένα,0.22920245398773006,0.20999999999999996,0.07614136945241344,3
2,φύλλο,0.43999999999999984,0.43999999999999984,NA,5
8,χαρτί,0.5175000000000001,0.55,NA,5
49,ποτάμι,0.6261224489795919,0.6199999999999997,0.11479721843557107,6
5,φαρδύ,0.434,0.40000000000000013,NA,5
149,δε,0.18181208053691275,0.16999999999999993,0.06364018035625964,2
6,φθάνουν,0.5933333333333332,0.6099999999999999,NA,7
6,βέλη,0.3866666666666669,0.3650000000000002,NA,4
239,τους,0.23748953974895395,0.20999999999999996,0.09439087612245915,4
13,χθες,0.5169230769230769,0.5,NA,4
10,βράδυ,0.5200000000000001,0.4900000000000001,NA,5
4,βρήκα,0.43999999999999995,0.43999999999999995,NA,5
15,γράμμα,0.4506666666666667,0.41000000000000014,NA,6
59,σπίτι,0.46593220338983055,0.46999999999999975,0.10780120023750929,5
9,λαγόκαρδου,0.7844444444444445,0.7599999999999998,NA,10
63,αυτό,0.3842857142857143,0.3700000000000001,0.12566871817644437,4
8,λέγει,0.44625,0.36999999999999966,NA,5
27,έφυγε,0.41444444444444434,0.3799999999999999,0.0943534000583132,5
24,γιος,0.30750000000000005,0.30000000000000016,0.050065174913610726,4
272,σου,0.2538235294117647,0.22999999999999998,0.10438050477185468,3
1,προσδιορίζεται,0.8699999999999999,0.8699999999999999,NA,14
1,ακριβώς,0.5100000000000002,0.5100000000000002,NA,7
3,συνημμένο,0.6133333333333334,0.6200000000000001,NA,9
1,πίνακα,0.3899999999999997,0.3899999999999997,NA,6
1,συντεταγμένων,1.06,1.06,NA,13
131,αποκρίθηκε,0.7916793893129771,0.78,0.1441535115063944,10
13,αδελφός,0.6092307692307694,0.6000000000000001,NA,7
278,της,0.26359712230215826,0.21999999999999997,0.11602630844604495,3
7,εξακολουθούσε,1.0385714285714285,1.0399999999999998,NA,13
8,κάθεται,0.47625000000000006,0.4750000000000001,NA,7
12,χάμω,0.5475,0.5250000000000002,NA,4
36,λες,0.3811111111111111,0.38,0.12686951176651154,3
2,ψέλλισε,0.7250000000000001,0.7250000000000001,NA,7
1,παρώνφώναξε,1.3699999999999999,1.3699999999999999,NA,11
6,αμαρτία,0.6466666666666667,0.665,NA,7
9,κάνετε,0.4444444444444444,0.3899999999999997,NA,6
5,κλέφτης,0.752,0.76,NA,7
24,πει,0.23458333333333328,0.20999999999999996,0.0840796292687534,3
203,κι,0.14842364532019703,0.1399999999999999,0.04744436901258453,2
80,έχει,0.31037499999999996,0.2649999999999999,0.1286683869389383,4
1,ταμείο,0.4099999999999997,0.4099999999999997,NA,6
4,παλατιού,0.6775,0.6599999999999999,NA,8
4,φώναξαν,0.62,0.59,NA,7
11,άλλοι,0.34818181818181815,0.3400000000000001,NA,5
29,αρχικαγκελάριος,1.2237931034482759,1.21,0.1855188437310623,15
31,άνοιξε,0.5329032258064516,0.48,0.1596912343323222,6
5,υπερηφάνεια,0.796,0.6600000000000001,NA,11
8,σακούλι,0.5275000000000001,0.525,NA,7
319,βασιλόπουλο,0.8171473354231975,0.8199999999999998,0.12294223313987175,11
12,δείχνοντας,0.6008333333333333,0.5800000000000001,NA,10
6,γέρο,0.5183333333333332,0.5,NA,4
49,πατέρα,0.5555102040816327,0.54,0.13351125458941965,6
32,όταν,0.3421875,0.3500000000000001,0.08499466302030667,4
4,δουλεύεις,0.585,0.575,NA,9
57,χωρίς,0.4064912280701754,0.3900000000000001,0.1265686040407417,5
2,απολαβή,0.7350000000000001,0.7350000000000001,NA,7
232,για,0.18185344827586206,0.17999999999999994,0.05408439041682191,3
3,ξένο,0.37333333333333313,0.36999999999999966,NA,4
2,όφελος,0.7000000000000002,0.7000000000000002,NA,6
19,εμπρός,0.4842105263157894,0.42000000000000004,NA,6
29,παιδιά,0.47,0.4500000000000002,0.09373214115613858,6
21,είχαν,0.3180952380952381,0.32000000000000006,0.05971758933673121,5
6,φάγει,0.42166666666666647,0.4349999999999997,NA,5
54,όλα,0.28388888888888886,0.27999999999999986,0.07903705046313374,3
62,πώς,0.26483870967741935,0.24,0.10748605606071936,3
2,ζούσαν,0.4850000000000001,0.4850000000000001,NA,6
2,εργάτες,0.645,0.645,NA,7
35,στρατιώτες,0.8537142857142858,0.8599999999999999,0.18815021711834584,10
28,υπασπιστής,0.8735714285714286,0.8799999999999999,0.1296209369723398,10
13,ακούμπησε,0.5692307692307692,0.5499999999999999,NA,9
7,βιβλίο,0.5071428571428571,0.44999999999999973,NA,6
30,τραπέζι,0.6563333333333333,0.6450000000000002,0.12699398121315755,7
7,σιδεράς,0.8185714285714286,0.8099999999999998,NA,7
3,τρεμουλιαστά,0.7833333333333335,0.77,NA,12
65,τ',0.08246153846153847,0.08000000000000007,0.01601081365347037,2
27,αδέλφια,0.5744444444444444,0.55,0.11029099040312665,7
2,αποχαιρέτησαν,0.8899999999999999,0.8899999999999999,NA,13
2,τράβηξαν,0.495,0.495,NA,8
43,χώρα,0.48465116279069775,0.4500000000000002,0.12821761332852574,4
4,προτείνω,0.5425000000000001,0.54,NA,8
23,πάω,0.29173913043478256,0.2400000000000002,0.11594090085090154,3
48,αμέσως,0.5854166666666667,0.56,0.1708297439512209,6
30,άρχισε,0.47666666666666674,0.5049999999999999,0.10121105750321722,6
6,ομιλίες,0.7633333333333333,0.7849999999999999,NA,7
420,τον,0.1970714285714286,0.18999999999999995,0.050607239974247875,3
9,πρωτομάστορη,0.9522222222222223,0.94,NA,12
5,κρέμασε,0.5760000000000001,0.6000000000000001,NA,7
1,γλώσσα,0.3600000000000001,0.3600000000000001,NA,6
18,κάθισε,0.495,0.48,NA,6
8,αντίκρυ,0.525,0.5149999999999999,NA,7
18,χαμογέλασε,0.8966666666666667,0.8900000000000001,NA,10
4,καθρέφτη,0.7400000000000001,0.735,NA,8
1,κατακτήσω,0.7899999999999999,0.7899999999999999,NA,9
4,ωραίο,0.38250000000000006,0.385,NA,5
1,κτήμα,0.56,0.56,NA,5
1,φοβούνταν,0.62,0.62,NA,9
31,μη,0.18354838709677415,0.17000000000000015,0.052188656947448786,2
3,δούμε,0.38333333333333336,0.3700000000000001,NA,5
45,παιδί,0.4033333333333332,0.3700000000000001,0.11497035190944582,5
9,πούλησε,0.5044444444444445,0.5,NA,7
53,σας,0.33716981132075474,0.30000000000000004,0.1175941089329433,3
10,δώσει,0.367,0.375,NA,5
30,όπλα,0.4566666666666667,0.47499999999999987,0.09188948884894035,4
2,φωνάζετε,0.6699999999999999,0.6699999999999999,NA,8
38,έτσι,0.3792105263157895,0.36500000000000005,0.1353150793408215,4
2,εξοργισμένο,0.8150000000000002,0.8150000000000002,NA,11
22,βγήκε,0.4431818181818181,0.42,0.08323153955976768,5
22,δάσος,0.6490909090909092,0.6749999999999999,0.11023391107783097,5
18,πέρασε,0.4466666666666666,0.43999999999999995,NA,6
1,κατάξερο,0.5699999999999998,0.5699999999999998,NA,8
10,κάμπο,0.45500000000000007,0.45500000000000007,NA,5
1,ριχθώ,0.43999999999999995,0.43999999999999995,NA,5
116,στη,0.19284482758620686,0.18999999999999995,0.044989004153822114,3
8,φωτιά,0.51125,0.47,NA,5
1,σκαλίσουμε,0.7299999999999999,0.7299999999999999,NA,10
11,κελάρι,0.609090909090909,0.6000000000000001,NA,6
40,όλοι,0.32225000000000004,0.27999999999999997,0.1495889667534306,4
3,ξεκαρδίστηκαν,0.8433333333333333,0.8399999999999999,NA,13
12,γέλια,0.5558333333333334,0.51,NA,5
32,ξέρεις,0.49,0.47000000000000003,0.14535828926505884,6
4,λαός,0.3950000000000001,0.405,NA,4
391,μου,0.2386700767263427,0.21999999999999997,0.09386444726985906,3
50,παλάτι,0.6332,0.625,0.10816540621677896,6
9,όλος,0.39,0.3700000000000001,NA,4
9,τόπος,0.44555555555555565,0.42000000000000015,NA,5
12,ακολούθησε,0.7691666666666667,0.69,NA,10
1,στολίζεται,0.77,0.77,NA,10
91,σαν,0.32241758241758245,0.32000000000000006,0.08119032043210651,3
19,πάντα,0.39263157894736844,0.3400000000000001,NA,5
48,γύρισε,0.5168750000000001,0.5099999999999999,0.11133916460288393,6
35,κοίταξε,0.4997142857142858,0.45999999999999996,0.12735974325382676,7
21,πρόσωπο,0.5876190476190476,0.5600000000000003,0.12782428415229877,7
1,ακολουθήσαμε,0.72,0.72,NA,12
10,πάρε,0.372,0.3349999999999999,NA,4
19,λέει,0.48842105263157903,0.5199999999999996,NA,4
2,γιατρό,0.54,0.54,NA,6
35,πρωτομάστορης,1.0962857142857143,1.0899999999999999,0.18673803157625604,13
13,έπεσε,0.4307692307692309,0.44999999999999996,NA,5
10,γόνατα,0.524,0.55,NA,6
119,πως,0.23084033613445368,0.21999999999999997,0.04800388105660025,3
2,γραμμένο,0.6200000000000001,0.6200000000000001,NA,8
7,πανουργάκο,0.8071428571428572,0.7800000000000002,NA,10
1,ξανακάθισε,0.74,0.74,NA,10
131,στην,0.2444274809160305,0.23999999999999977,0.06648493531323772,4
